date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,0,0.0
1996-01-02,1496,0,0.0
1996-01-03,1988,0,0.0
1996-01-04,2248,8,0.0035587188612099642
1996-01-05,2120,16,0.007547169811320755
1996-01-06,172,0,0.0
1996-01-07,240,0,0.0
1996-01-08,2052,0,0.0
1996-01-09,2436,0,0.0
1996-01-10,2312,4,0.0017301038062283738
1996-01-11,2512,12,0.004777070063694267
1996-01-12,1820,16,0.008791208791208791
1996-01-13,252,0,0.0
1996-01-14,192,8,0.041666666666666664
1996-01-15,1516,8,0.005277044854881266
1996-01-16,3288,40,0.012165450121654502
1996-01-17,3556,12,0.003374578177727784
1996-01-18,3304,32,0.009685230024213076
1996-01-19,2352,12,0.00510204081632653
1996-01-20,680,4,0.0058823529411764705
1996-01-21,336,28,0.08333333333333333
1996-01-22,2444,4,0.0016366612111292963
1996-01-23,3100,4,0.0012903225806451613
1996-01-24,3168,8,0.0025252525252525255
1996-01-25,3904,40,0.010245901639344262
1996-01-26,2004,16,0.007984031936127744
1996-01-27,208,16,0.07692307692307693
1996-01-28,252,0,0.0
1996-01-29,2056,4,0.0019455252918287938
1996-01-30,2956,16,0.005412719891745603
1996-01-31,3556,28,0.007874015748031496
1996-02-01,3744,16,0.004273504273504274
1996-02-02,2872,0,0.0
1996-02-03,48,0,0.0
1996-02-04,180,12,0.06666666666666667
1996-02-05,2292,4,0.0017452006980802793
1996-02-06,3404,4,0.0011750881316098707
1996-02-07,3796,12,0.003161222339304531
1996-02-08,4556,20,0.004389815627743635
1996-02-09,2988,4,0.0013386880856760374
1996-02-10,128,0,0.0
1996-02-11,212,4,0.018867924528301886
1996-02-12,2664,0,0.0
1996-02-13,3980,8,0.0020100502512562816
1996-02-14,3468,0,0.0
1996-02-15,4852,28,0.005770816158285243
1996-02-16,2980,0,0.0
1996-02-17,168,0,0.0
1996-02-18,240,4,0.016666666666666666
1996-02-19,844,4,0.004739336492890996
1996-02-20,2444,4,0.0016366612111292963
1996-02-21,3072,8,0.0026041666666666665
1996-02-22,2376,16,0.006734006734006734
1996-02-23,2760,60,0.021739130434782608
1996-02-24,84,0,0.0
1996-02-25,168,0,0.0
1996-02-26,2268,48,0.021164021164021163
1996-02-27,3236,16,0.004944375772558714
1996-02-28,3172,28,0.008827238335435058
1996-02-29,2932,60,0.020463847203274217
1996-03-01,1972,12,0.006085192697768763
1996-03-02,124,0,0.0
1996-03-03,128,0,0.0
1996-03-04,2372,48,0.02023608768971332
1996-03-05,2572,24,0.00933125972006221
1996-03-06,2752,20,0.007267441860465116
1996-03-07,3224,52,0.016129032258064516
1996-03-08,2268,20,0.008818342151675485
1996-03-09,216,24,0.1111111111111111
1996-03-10,308,4,0.012987012987012988
1996-03-11,2564,64,0.0249609984399376
