month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,336,0.00572987721691678
1996-02,65928,360,0.005460502366217692
1996-03,63236,844,0.013346827756341325
1996-04,55628,592,0.010642122672035665
1996-05,62636,436,0.006960853183472763
1996-06,48228,444,0.00920627021647176
1996-07,65940,596,0.009038519866545344
1996-08,56948,512,0.008990658144271968
1996-09,62852,800,0.012728314134792846
1996-10,74080,360,0.004859611231101512
1996-11,63236,372,0.005882725030046177
1996-12,63112,400,0.006337938902268982
1997-01,66528,356,0.005351130351130351
1997-02,73488,372,0.005062050947093403
1997-03,73136,724,0.009899365565521767
1997-04,83844,340,0.0040551500405515
1997-05,81480,468,0.0057437407952871875
1997-06,82460,548,0.006645646373999515
1997-07,91740,556,0.006060606060606061
1997-08,90308,364,0.004030650662178323
1997-09,96276,564,0.005858157796335535
1997-10,129924,1132,0.008712785936393583
1997-11,113420,1872,0.01650502556868277
1997-12,105476,852,0.008077666957412112
1998-01,96560,852,0.008823529411764706
1998-02,77936,1236,0.01585916649558612
1998-03,162720,1744,0.01071779744346116
1998-04,160744,912,0.005673617677798238
1998-05,159668,2300,0.014404890147055139
1998-06,156032,2248,0.014407301066447909
1998-07,145556,1156,0.007941960482563412
1998-08,148136,1900,0.012826051736242372
1998-09,141908,1916,0.013501705330213942
1998-10,166720,1972,0.011828214971209214
1998-11,144760,1972,0.013622547665100857
1998-12,125372,1948,0.01553775962734901
1999-01,137844,1924,0.013957807376454542
1999-02,143224,1584,0.011059598949896665
1999-03,161900,2128,0.01314391599752934
1999-04,157872,2224,0.01408736191344887
1999-05,136916,2568,0.018756025592333987
1999-06,139448,2240,0.016063335436865354
1999-07,138084,836,0.0060542857970510705
1999-08,115860,592,0.00510961505264975
1999-09,114308,920,0.008048430556041573
1999-10,122484,728,0.005943633454165442
1999-11,116176,1172,0.010088142129183308
1999-12,101288,1364,0.013466550825369244
2000-01,115008,736,0.006399554813578186
2000-02,121616,1040,0.008551506380739376
2000-03,111492,800,0.007175402719477631
2000-04,102084,888,0.00869871870224521
2000-05,109624,848,0.007735532365175509
2000-06,105960,1132,0.010683276708191771
2000-07,107252,1108,0.010330809681870735
2000-08,104148,612,0.005876253024541998
2000-09,107112,1112,0.010381656583762791
2000-10,120340,1152,0.009572876848928037
2000-11,110620,1376,0.012438980292894595
2000-12,15276,124,0.008117308195862791
2001-01,119716,720,0.006014233686391125
2001-02,109940,1148,0.010442059305075496
2001-03,110956,1084,0.009769638415227658
2001-04,85084,516,0.006064594988481971
2001-05,108524,1172,0.0107994544985441
2001-06,121376,1816,0.01496177168468231
2001-07,125928,1888,0.014992694237977257
2001-08,109988,588,0.0053460377495726805
2001-09,129488,2220,0.01714444581737304
2001-10,145396,1864,0.012820160114446064
2001-11,119324,2096,0.017565619657403372
2001-12,97128,1292,0.013302034428794992
2002-01,107764,532,0.004936713559259122
2002-02,107756,872,0.008092356806117525
2002-03,106592,1376,0.0129090363254278
2002-04,115920,1188,0.010248447204968944
2002-05,106240,1532,0.014420180722891566
2002-06,100648,1016,0.010094587075749145
2002-07,120568,900,0.007464667241722513
2002-08,98084,760,0.007748460503242119
2002-09,100016,2032,0.020316749320108782
2002-10,115872,2544,0.021955260977630488
2002-11,93548,1396,0.014922820370291188
2002-12,91096,1612,0.017695617809783085
2003-01,144664,2624,0.018138583199690316
2003-02,146928,3332,0.022677774147881954
2003-03,170000,3588,0.021105882352941176
2003-04,158372,1696,0.010708963705705553
2003-05,158980,1876,0.011800226443577809
2003-06,160848,1084,0.006739281806425942
2003-07,180980,836,0.004619294949718201
2003-08,152116,1308,0.008598700991348707
2003-09,177704,1532,0.008621077747265116
2003-10,184828,1556,0.00841863786872119
2003-11,161668,1240,0.007670039834723013
2003-12,169972,1068,0.0062833878521168195
2004-01,162992,676,0.004147442819279474
2004-02,176236,1164,0.006604779954152386
2004-03,200812,824,0.004103340437822441
2004-04,184316,892,0.004839514746413768
2004-05,166464,1240,0.007449058054594387
2004-06,172344,1464,0.00849463862971731
2004-07,188120,1060,0.005634701254518392
2004-08,179184,1500,0.008371283150281275
2004-09,168580,1508,0.008945307865701744
2004-10,185164,1044,0.005638245015229742
2004-11,174664,1084,0.0062062016213988
2004-12,165492,1300,0.007855364609769657
2005-01,183420,684,0.003729146221786065
2005-02,182364,1432,0.007852427014103661
2005-03,208924,1176,0.0056288411096858185
2005-04,206376,976,0.004729232081249758
