month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,460,0.007844474761255117
1996-02,65928,480,0.0072806698216235895
1996-03,63236,616,0.009741286608893668
1996-04,55628,872,0.015675559070971453
1996-05,62636,672,0.010728654447921324
1996-06,48228,772,0.016007298664676123
1996-07,65940,764,0.011586290567182286
1996-08,56948,716,0.01257287349863033
1996-09,62852,1428,0.022720040730605233
1996-10,74080,300,0.004049676025917927
1996-11,63236,516,0.008159908912644696
1996-12,63112,440,0.00697173279249588
1997-01,66528,432,0.006493506493506494
1997-02,73488,656,0.008926627476594819
1997-03,73136,516,0.0070553489389630275
1997-04,83844,544,0.006488240064882401
1997-05,81480,592,0.007265586647029946
1997-06,82460,820,0.009944215377152558
1997-07,91740,612,0.006671026814911707
1997-08,90308,516,0.00571377951012092
1997-09,96276,716,0.007436952096057169
1997-10,129924,1312,0.010098211261968535
1997-11,113420,1828,0.016117086933521426
1997-12,105476,924,0.00876028670029201
1998-01,96560,1056,0.010936205468102735
1998-02,77936,1976,0.02535413672757134
1998-03,162720,1672,0.010275319567354965
1998-04,160744,1220,0.007589707858458169
1998-05,159668,2320,0.014530150061377358
1998-06,156032,2036,0.013048605414273995
1998-07,145556,928,0.006375553051746407
1998-08,148136,1556,0.010503861316627963
1998-09,141908,1492,0.010513854046283508
1998-10,166720,1444,0.008661228406909789
1998-11,144760,2068,0.014285714285714285
1998-12,125372,3996,0.03187314551893565
1999-01,137844,2380,0.017265894779605932
1999-02,143224,1876,0.013098363402781657
1999-03,161900,2272,0.014033353922174181
1999-04,157872,2152,0.013631296239991892
1999-05,136916,1932,0.014110841683952205
1999-06,139448,1956,0.014026733979691354
1999-07,138084,1036,0.007502679528403001
1999-08,115860,888,0.007664422578974625
1999-09,114308,1064,0.009308184903943731
1999-10,122484,984,0.008033702361124719
1999-11,116176,1236,0.010639030436578984
1999-12,101288,1356,0.013387568122581154
2000-01,115008,952,0.008277685030606566
2000-02,121616,1160,0.009538218655440073
2000-03,111492,1056,0.009471531589710473
2000-04,102084,836,0.008189334273735355
2000-05,109624,1164,0.010618112822009779
2000-06,105960,1056,0.009966024915062289
2000-07,107252,1056,0.009845970238317235
2000-08,104148,628,0.006029880554595383
2000-09,107112,1720,0.016057958025244602
2000-10,120340,1036,0.008608941332890144
2000-11,110620,1256,0.0113541854999096
2000-12,15276,184,0.012045037968054464
2001-01,119716,1140,0.009522536670119283
2001-02,109940,2192,0.01993814808077133
2001-03,110956,1488,0.013410721367028372
2001-04,85084,676,0.0079450895585539
2001-05,108524,1480,0.0136375363974789
2001-06,121376,1964,0.01618112312153968
2001-07,125928,2004,0.015913855536497046
2001-08,109988,1020,0.009273738953340365
2001-09,129488,3208,0.024774496478438157
2001-10,145396,2948,0.020275660953533798
2001-11,119324,1808,0.015152023063256343
2001-12,97128,1372,0.014125689811382918
2002-01,107764,1268,0.011766452618685275
