date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,8,0.06666666666666667
1996-01-02,1496,56,0.0374331550802139
1996-01-03,1988,16,0.008048289738430584
1996-01-04,2248,24,0.010676156583629894
1996-01-05,2120,32,0.01509433962264151
1996-01-06,172,0,0.0
1996-01-07,240,12,0.05
1996-01-08,2052,20,0.009746588693957114
1996-01-09,2436,24,0.009852216748768473
1996-01-10,2312,56,0.02422145328719723
1996-01-11,2512,24,0.009554140127388535
1996-01-12,1820,24,0.013186813186813187
1996-01-13,252,4,0.015873015873015872
1996-01-14,192,16,0.08333333333333333
1996-01-15,1516,4,0.002638522427440633
1996-01-16,3288,108,0.032846715328467155
1996-01-17,3556,68,0.019122609673790775
1996-01-18,3304,72,0.021791767554479417
1996-01-19,2352,28,0.011904761904761904
1996-01-20,680,16,0.023529411764705882
1996-01-21,336,12,0.03571428571428571
1996-01-22,2444,88,0.03600654664484452
1996-01-23,3100,76,0.024516129032258065
1996-01-24,3168,132,0.041666666666666664
1996-01-25,3904,120,0.030737704918032786
1996-01-26,2004,32,0.015968063872255488
1996-01-27,208,16,0.07692307692307693
1996-01-28,252,28,0.1111111111111111
1996-01-29,2056,24,0.011673151750972763
1996-01-30,2956,44,0.014884979702300407
1996-01-31,3556,24,0.006749156355455568
1996-02-01,3744,112,0.029914529914529916
1996-02-02,2872,20,0.006963788300835654
1996-02-03,48,0,0.0
1996-02-04,180,20,0.1111111111111111
1996-02-05,2292,68,0.029668411867364748
1996-02-06,3404,124,0.036427732079905996
1996-02-07,3796,52,0.0136986301369863
1996-02-08,4556,132,0.02897278314310799
1996-02-09,2988,128,0.0428380187416332
1996-02-10,128,20,0.15625
1996-02-11,212,12,0.05660377358490566
1996-02-12,2664,40,0.015015015015015015
1996-02-13,3980,64,0.016080402010050253
1996-02-14,3468,84,0.02422145328719723
1996-02-15,4852,120,0.0247320692497939
1996-02-16,2980,52,0.0174496644295302
1996-02-17,168,20,0.11904761904761904
1996-02-18,240,88,0.36666666666666664
1996-02-19,844,48,0.05687203791469194
1996-02-20,2444,28,0.011456628477905073
1996-02-21,3072,92,0.029947916666666668
1996-02-22,2376,96,0.04040404040404041
1996-02-23,2760,44,0.015942028985507246
1996-02-24,84,4,0.047619047619047616
1996-02-25,168,4,0.023809523809523808
1996-02-26,2268,116,0.05114638447971781
1996-02-27,3236,80,0.024721878862793572
1996-02-28,3172,96,0.03026481715006305
1996-02-29,2932,84,0.0286493860845839
1996-03-01,1972,56,0.028397565922920892
1996-03-02,124,12,0.0967741935483871
1996-03-03,128,8,0.0625
1996-03-04,2372,84,0.03541315345699832
1996-03-05,2572,44,0.017107309486780714
1996-03-06,2752,72,0.02616279069767442
1996-03-07,3224,156,0.04838709677419355
1996-03-08,2268,104,0.04585537918871252
1996-03-09,216,28,0.12962962962962962
1996-03-10,308,36,0.11688311688311688
1996-03-11,2564,96,0.0374414976599064
1996-03-12,3520,104,0.029545454545454545
1996-03-13,4044,120,0.02967359050445104
1996-03-14,3556,56,0.015748031496062992
1996-03-15,2656,56,0.02108433734939759
1996-03-16,192,16,0.08333333333333333
1996-03-17,280,60,0.21428571428571427
