date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,8,0.06666666666666667
1996-01-02,1496,20,0.013368983957219251
1996-01-03,1988,20,0.01006036217303823
1996-01-04,2248,28,0.012455516014234875
1996-01-05,2120,8,0.0037735849056603774
1996-01-06,172,0,0.0
1996-01-07,240,8,0.03333333333333333
1996-01-08,2052,8,0.003898635477582846
1996-01-09,2436,12,0.0049261083743842365
1996-01-10,2312,16,0.006920415224913495
1996-01-11,2512,32,0.012738853503184714
1996-01-12,1820,4,0.002197802197802198
1996-01-13,252,4,0.015873015873015872
1996-01-14,192,16,0.08333333333333333
1996-01-15,1516,60,0.0395778364116095
1996-01-16,3288,52,0.015815085158150853
1996-01-17,3556,8,0.0022497187851518562
1996-01-18,3304,16,0.004842615012106538
1996-01-19,2352,12,0.00510204081632653
1996-01-20,680,16,0.023529411764705882
1996-01-21,336,12,0.03571428571428571
1996-01-22,2444,28,0.011456628477905073
1996-01-23,3100,44,0.014193548387096775
1996-01-24,3168,28,0.008838383838383838
1996-01-25,3904,12,0.0030737704918032786
1996-01-26,2004,16,0.007984031936127744
1996-01-27,208,0,0.0
1996-01-28,252,24,0.09523809523809523
1996-01-29,2056,0,0.0
1996-01-30,2956,24,0.008119079837618403
1996-01-31,3556,8,0.0022497187851518562
1996-02-01,3744,16,0.004273504273504274
1996-02-02,2872,0,0.0
1996-02-03,48,0,0.0
1996-02-04,180,12,0.06666666666666667
1996-02-05,2292,24,0.010471204188481676
1996-02-06,3404,12,0.0035252643948296123
1996-02-07,3796,28,0.007376185458377239
1996-02-08,4556,12,0.0026338893766461808
1996-02-09,2988,4,0.0013386880856760374
1996-02-10,128,4,0.03125
1996-02-11,212,0,0.0
1996-02-12,2664,4,0.0015015015015015015
1996-02-13,3980,40,0.010050251256281407
1996-02-14,3468,4,0.0011534025374855825
1996-02-15,4852,52,0.010717230008244023
1996-02-16,2980,12,0.004026845637583893
1996-02-17,168,12,0.07142857142857142
1996-02-18,240,36,0.15
1996-02-19,844,20,0.023696682464454975
1996-02-20,2444,24,0.009819967266775777
1996-02-21,3072,60,0.01953125
1996-02-22,2376,36,0.015151515151515152
1996-02-23,2760,32,0.011594202898550725
1996-02-24,84,0,0.0
1996-02-25,168,0,0.0
1996-02-26,2268,84,0.037037037037037035
1996-02-27,3236,20,0.006180469715698393
1996-02-28,3172,44,0.013871374527112233
1996-02-29,2932,48,0.01637107776261937
1996-03-01,1972,4,0.002028397565922921
1996-03-02,124,4,0.03225806451612903
1996-03-03,128,4,0.03125
1996-03-04,2372,20,0.008431703204047217
1996-03-05,2572,32,0.012441679626749611
1996-03-06,2752,20,0.007267441860465116
1996-03-07,3224,68,0.02109181141439206
1996-03-08,2268,36,0.015873015873015872
1996-03-09,216,0,0.0
1996-03-10,308,16,0.05194805194805195
1996-03-11,2564,56,0.0218408736349454
1996-03-12,3520,76,0.02159090909090909
1996-03-13,4044,84,0.020771513353115726
1996-03-14,3556,32,0.008998875140607425
1996-03-15,2656,48,0.018072289156626505
1996-03-16,192,4,0.020833333333333332
1996-03-17,280,4,0.014285714285714285
1996-03-18,2820,16,0.005673758865248227
1996-03-19,3296,96,0.02912621359223301
1996-03-20,3136,76,0.02423469387755102
1996-03-21,3064,88,0.028720626631853787
1996-03-22,2756,56,0.020319303338171262
1996-03-23,172,4,0.023255813953488372
1996-03-24,192,4,0.020833333333333332
1996-03-25,2148,0,0.0
1996-03-26,3088,12,0.0038860103626943004
1996-03-27,3376,36,0.01066350710900474
1996-03-28,3216,4,0.0012437810945273632
1996-03-29,2852,8,0.002805049088359046
1996-03-30,160,12,0.075
1996-03-31,212,8,0.03773584905660377
1996-04-01,2764,28,0.010130246020260492
1996-04-02,2848,36,0.012640449438202247
1996-04-03,2392,48,0.020066889632107024
1996-04-04,2476,48,0.01938610662358643
1996-04-05,484,4,0.008264462809917356
1996-04-06,0,0,0.008264462809917356
1996-04-07,0,0,0.008264462809917356
1996-04-08,0,0,0.008264462809917356
1996-04-09,0,0,0.008264462809917356
1996-04-10,0,0,0.008264462809917356
1996-04-11,3040,40,0.013157894736842105
1996-04-12,2728,12,0.004398826979472141
1996-04-13,132,4,0.030303030303030304
1996-04-14,188,12,0.06382978723404255
1996-04-15,2928,28,0.009562841530054645
1996-04-16,3644,24,0.006586169045005488
1996-04-17,3964,64,0.016145307769929364
1996-04-18,3852,64,0.016614745586708203
1996-04-19,2460,28,0.011382113821138212
1996-04-20,476,20,0.04201680672268908
1996-04-21,516,16,0.031007751937984496
1996-04-22,3020,28,0.009271523178807948
1996-04-23,3936,64,0.016260162601626018
1996-04-24,3664,32,0.008733624454148471
1996-04-25,3604,36,0.009988901220865706
1996-04-26,2476,28,0.011308562197092083
1996-04-27,136,8,0.058823529411764705
1996-04-28,156,4,0.02564102564102564
1996-04-29,228,4,0.017543859649122806
1996-04-30,3516,28,0.007963594994311717
1996-05-01,2436,16,0.006568144499178982
1996-05-02,3136,8,0.002551020408163265
1996-05-03,2272,16,0.007042253521126761
1996-05-04,76,4,0.05263157894736842
1996-05-05,164,12,0.07317073170731707
1996-05-06,2064,28,0.013565891472868217
1996-05-07,3604,56,0.01553829078801332
1996-05-08,3296,48,0.014563106796116505
1996-05-09,3568,72,0.020179372197309416
1996-05-10,2812,60,0.021337126600284494
1996-05-11,160,20,0.125
1996-05-12,300,0,0.0
1996-05-13,3256,24,0.007371007371007371
1996-05-14,3120,16,0.005128205128205128
1996-05-15,2772,56,0.020202020202020204
1996-05-16,2712,44,0.016224188790560472
1996-05-17,2240,20,0.008928571428571428
1996-05-18,108,0,0.0
1996-05-19,236,12,0.05084745762711865
1996-05-20,2640,68,0.025757575757575757
1996-05-21,2724,36,0.013215859030837005
1996-05-22,3036,40,0.013175230566534914
1996-05-23,3112,52,0.016709511568123392
1996-05-24,2060,52,0.02524271844660194
1996-05-25,120,4,0.03333333333333333
1996-05-26,224,4,0.017857142857142856
1996-05-27,348,8,0.022988505747126436
1996-05-28,1744,20,0.011467889908256881
1996-05-29,2828,16,0.005657708628005658
1996-05-30,3004,24,0.007989347536617843
1996-05-31,2464,32,0.012987012987012988
1996-06-01,172,12,0.06976744186046512
1996-06-02,288,4,0.013888888888888888
1996-06-03,2900,48,0.016551724137931035
1996-06-04,3228,28,0.008674101610904586
1996-06-05,2712,12,0.004424778761061947
1996-06-06,3052,16,0.005242463958060288
1996-06-07,2036,8,0.003929273084479371
1996-06-08,84,0,0.0
1996-06-09,264,0,0.0
1996-06-10,2336,4,0.0017123287671232876
1996-06-11,4,0,0.0
1996-06-12,3212,48,0.014943960149439602
1996-06-13,3136,24,0.007653061224489796
1996-06-14,2768,12,0.004335260115606936
1996-06-15,28,0,0.0
1996-06-16,288,12,0.041666666666666664
1996-06-17,2500,68,0.0272
1996-06-18,2528,40,0.015822784810126583
1996-06-19,2596,20,0.007704160246533128
1996-06-20,2928,24,0.00819672131147541
1996-06-21,2192,4,0.0018248175182481751
1996-06-22,128,16,0.125
1996-06-23,136,4,0.029411764705882353
1996-06-24,2204,64,0.029038112522686024
1996-06-25,0,0,0.029038112522686024
1996-06-26,0,0,0.029038112522686024
1996-06-27,3392,88,0.025943396226415096
1996-06-28,3116,68,0.021822849807445442
1996-06-29,0,0,0.021822849807445442
1996-06-30,0,0,0.021822849807445442
1996-07-01,2364,28,0.011844331641285956
1996-07-02,2488,44,0.017684887459807074
1996-07-03,2316,184,0.07944732297063903
1996-07-04,776,36,0.04639175257731959
1996-07-05,1612,32,0.019851116625310174
1996-07-06,112,16,0.14285714285714285
1996-07-07,192,16,0.08333333333333333
1996-07-08,2044,20,0.009784735812133072
1996-07-09,2852,8,0.002805049088359046
1996-07-10,2964,48,0.016194331983805668
1996-07-11,3360,64,0.01904761904761905
1996-07-12,2496,36,0.014423076923076924
1996-07-13,112,4,0.03571428571428571
1996-07-14,204,16,0.0784313725490196
1996-07-15,3212,36,0.0112079701120797
1996-07-16,4100,68,0.016585365853658537
1996-07-17,3568,52,0.014573991031390135
1996-07-18,3856,48,0.012448132780082987
1996-07-19,2812,20,0.007112375533428165
1996-07-20,0,0,0.007112375533428165
1996-07-21,152,0,0.0
1996-07-22,2580,12,0.004651162790697674
1996-07-23,3500,56,0.016
1996-07-24,3388,44,0.012987012987012988
1996-07-25,3524,12,0.00340522133938706
1996-07-26,2212,24,0.0108499095840868
1996-07-27,212,4,0.018867924528301886
1996-07-28,184,8,0.043478260869565216
1996-07-29,2440,16,0.006557377049180328
1996-07-30,2804,56,0.019971469329529243
1996-07-31,3504,48,0.0136986301369863
1996-08-01,2916,40,0.013717421124828532
1996-08-02,2416,24,0.009933774834437087
1996-08-03,176,20,0.11363636363636363
1996-08-04,236,12,0.05084745762711865
1996-08-05,2452,64,0.026101141924959218
1996-08-06,2556,16,0.006259780907668232
1996-08-07,2848,72,0.025280898876404494
1996-08-08,3044,76,0.024967148488830485
1996-08-09,1956,60,0.03067484662576687
1996-08-10,184,20,0.10869565217391304
1996-08-11,244,4,0.01639344262295082
1996-08-12,2748,28,0.010189228529839884
1996-08-13,2888,28,0.009695290858725761
1996-08-14,2636,16,0.006069802731411229
1996-08-15,2820,12,0.00425531914893617
1996-08-16,2164,24,0.011090573012939002
1996-08-17,112,4,0.03571428571428571
1996-08-18,252,0,0.0
1996-08-19,2092,20,0.009560229445506692
1996-08-20,2748,12,0.004366812227074236
1996-08-21,2536,52,0.02050473186119874
1996-08-22,2772,24,0.008658008658008658
1996-08-23,2112,20,0.00946969696969697
1996-08-24,200,8,0.04
1996-08-25,200,12,0.06
1996-08-26,1872,4,0.002136752136752137
1996-08-27,2856,16,0.0056022408963585435
1996-08-28,2468,28,0.011345218800648298
1996-08-29,2308,72,0.03119584055459272
1996-08-30,1872,8,0.004273504273504274
1996-08-31,264,24,0.09090909090909091
1996-09-01,336,44,0.13095238095238096
1996-09-02,776,20,0.02577319587628866
1996-09-03,3036,220,0.07246376811594203
