month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,544,0.009276944065484311
1996-02,65928,640,0.009707559762164785
1996-03,63236,928,0.014675185021190461
1996-04,55628,708,0.012727403465880492
1996-05,62636,868,0.013857845328565042
1996-06,48228,624,0.012938541925852202
1996-07,65940,1056,0.016014558689717927
1996-08,56948,820,0.014399100934185572
1996-09,62852,1312,0.020874435181060268
1996-10,74080,696,0.00939524838012959
1996-11,63236,868,0.013726358403441078
1996-12,63112,688,0.01090125491190265
1997-01,66528,632,0.0094997594997595
1997-02,73488,788,0.0107228391029828
1997-03,73136,868,0.011868300153139357
1997-04,83844,828,0.0098754830399313
1997-05,81480,848,0.010407461953853706
1997-06,82460,796,0.009653165170991997
1997-07,91740,1084,0.011816001744059298
1997-08,90308,776,0.00859281569739115
1997-09,96276,1104,0.011467032282188707
1997-10,129924,2004,0.015424401958067794
1997-11,113420,3268,0.02881326044789279
1997-12,105476,1396,0.013235238348060223
1998-01,96560,1720,0.017812758906379452
1998-02,77936,1896,0.024327653459248613
1998-03,162720,1716,0.010545722713864307
1998-04,160744,1580,0.009829293783904843
1998-05,159668,2208,0.013828694541172934
1998-06,156032,2044,0.013099876948318294
1998-07,145556,1536,0.010552639533925087
1998-08,148136,2616,0.01765944807474213
1998-09,141908,1964,0.013839952645375877
1998-10,166720,1684,0.010100767754318618
1998-11,144760,2128,0.014700193423597678
1998-12,125372,2484,0.0198130364036627
1999-01,137844,2368,0.017178839847944053
1999-02,143224,1724,0.0120370887560744
1999-03,161900,2276,0.014058060531192094
1999-04,157872,2072,0.013124556602817472
1999-05,136916,1832,0.013380466855590288
1999-06,139448,1352,0.009695370317250875
1999-07,138084,1576,0.011413342603053213
1999-08,115860,1036,0.008941826342137062
1999-09,114308,1268,0.011092836896805123
1999-10,122484,1372,0.011201463048234871
1999-11,116176,1840,0.015838038837625672
1999-12,101288,1352,0.01334807677118711
2000-01,115008,1220,0.010607957707289927
2000-02,121616,1588,0.013057492435205894
2000-03,111492,1744,0.015642377928461234
2000-04,102084,1256,0.012303593119391873
2000-05,109624,1836,0.01674815733780924
2000-06,105960,1840,0.01736504341260853
2000-07,107252,1512,0.014097639204863312
2000-08,104148,1500,0.014402580942504897
2000-09,107112,2200,0.020539248636940774
2000-10,120340,2380,0.01977729765663952
2000-11,110620,2140,0.01934550714156572
2000-12,15276,180,0.01178318931657502
2001-01,119716,1916,0.016004544087674162
2001-02,109940,2308,0.020993269055848644
2001-03,110956,1880,0.016943653340062727
2001-04,85084,1640,0.01927506934323727
2001-05,108524,2324,0.02141461796468984
2001-06,121376,2784,0.02293698919061429
2001-07,125928,2612,0.020742011308049042
2001-08,109988,2188,0.019893079245008546
2001-09,129488,5912,0.04565674039293216
2001-10,145396,4164,0.028639027208451403
2001-11,119324,2676,0.022426335020616136
2001-12,97128,2232,0.022979985174203115
2002-01,107764,1836,0.017037229501503284
2002-02,107756,1944,0.01804075875125283
2002-03,106592,2628,0.024654758330831583
2002-04,115920,2236,0.019289164941338855
2002-05,106240,2716,0.02556475903614458
2002-06,100648,1760,0.017486686272951277
2002-07,120568,1924,0.01595779974786013
2002-08,98084,1872,0.01908568166061743
2002-09,100016,2696,0.02695568709006559
2002-10,115872,2592,0.02236951118475559
2002-11,93548,1912,0.020438705263607988
2002-12,91096,2520,0.027663124615789937
2003-01,144664,3256,0.022507327324005972
2003-02,146928,2884,0.019628661657410434
2003-03,170000,3272,0.019247058823529412
2003-04,158372,2816,0.017780920869850732
2003-05,158980,2052,0.012907283935086174
2003-06,160848,1584,0.009847806624888093
2003-07,180980,1768,0.00976903525251409
2003-08,152116,1880,0.012358989192458387
2003-09,177704,1844,0.010376806374645478
2003-10,184828,1984,0.010734304326184345
2003-11,161668,2372,0.014672043941905634
2003-12,169972,2088,0.012284376250205916
2004-01,162992,1704,0.01045450083439678
2004-02,176236,1984,0.011257631811888604
2004-03,200812,2248,0.011194550126486465
2004-04,184316,2152,0.011675600598971332
2004-05,166464,2352,0.014129181084198385
2004-06,172344,2016,0.011697535162233673
2004-07,188120,1316,0.0069955347650435895
2004-08,179184,1452,0.008103402089472274
2004-09,168580,1484,0.008802942223276782
2004-10,185164,1516,0.008187336631310622
2004-11,174664,1640,0.00938945632757752
2004-12,165492,1172,0.007081913325115413
2005-01,183420,1580,0.00861410969359939
2005-02,182364,1648,0.009036871312320414
2005-03,208924,1912,0.009151653232754494
2005-04,206376,1160,0.005620808621157499
2005-05,190180,1480,0.007782101167315175
2005-06,208620,1992,0.009548461317227495
2005-07,198460,1608,0.008102388390607678
2005-08,199236,1440,0.007227609468168404
2005-09,211736,1912,0.009030112970869385
2005-10,227716,1544,0.006780375555516521
2005-11,215604,1376,0.00638207083356524
2005-12,198668,1464,0.007369078059878793
2006-01,221040,1992,0.009011943539630836
2006-02,217564,1948,0.008953687190895553
2006-03,247992,2156,0.008693828833188167
2006-04,219340,1528,0.0069663536062733655
2006-05,250084,1968,0.007869355896418804
2006-06,248148,1840,0.007414929799958089
2006-07,239552,1500,0.006261688485172322
2006-08,254324,1412,0.005551973073716991
2006-09,221780,1584,0.007142213003877716
2006-10,269764,1432,0.005308343589211311
2006-11,260744,1824,0.006995367103365753
2006-12,213728,1432,0.006700104806108699
