,weight
sanctions,73.80031204033594
imposed_sanctions,61.83811669344839
arms_embargo,59.902786581041795
impose_sanctions,58.600743233818505
sanctions_imposed,55.31114411976781
asset_freezes,54.88120290798229
punitive_measures,54.23867129984861
embargo,54.13299849180582
blacklist,51.92828275946169
imposing_sanctions,50.992947822071024
blacklisted,50.35531599994486
unilateral_sanctions,49.816428298739616
tehran's,48.3920200833017
sanctioned,48.04038466088674
western_powers,46.07390890369563
evade_sanctions,45.2140968038877
sanctions_relief,44.57099395349457
bank_sepah,44.47851204910967
nuclear_arms,44.43648425336098
veto_wielding,43.526294417427614
resolutions,43.075399542781426
tougher_sanctions,42.66283901249611
banning,42.642147303149684
powers,42.5789189035029
sanctions_resolution,42.43634695778807
unilateral,42.392368403368565
imposing,42.281569342632174
travel_bans,40.86320436902489
nuclear_ambitions,40.856579851803765
magnitsky_act,40.80051886918812
embargoes,40.513406460227955
punish,40.16676075016396
nuclear_enrichment,39.985434233418594
western_diplomats,39.824910120359284
visa_bans,39.81736264327843
drafted_resolution,39.19412399706206
disputed_nuclear,38.56376687374844
sanctions_resolutions,38.32098086165256
security_council's,38.223129987354014
restrict,38.170859884521654
missile_programs,38.0929658592055
stop_enriching,37.82200226451241
visa_restrictions,36.994163710133016
specially_designated,36.542522714549314
halt_enrichment,36.525094501342345
blacklisting,36.37315505055851
sponsoring_terrorism,36.158937210321945
sanctioning,36.117719044312096
circumvention,35.9031581214286
peaceful_purposes,35.48149174464841
retaliate_against,35.15661618906773
targeted_sanctions,34.92044040448599
missile_programmes,34.580874748707416
restricting,33.512213153427695
unilaterally,33.30082062197002
sponsor_terrorism,32.74522949374137
punitive,32.67865465482022
peaceful_nuclear,32.464909145657494
reimposed,32.2556191412787
enrichment_work,32.06983462451689
veto_powers,32.02641418002792
blacklists,31.91716855982231
nuclear_activities,31.887211550823803
visa_ban,31.78295374376543
veto_power,31.734040869770762
slapped_sanctions,31.66089214813341
reimpose,31.59962378470388
civilian_atomic,31.58343537232375
imposition,31.57659960883504
weapons_programmes,31.46530299257518
isolate,31.413984667445934
punish_moscow,31.28688287442197
proliferators,31.001945140443517
resolution_condemning,30.845748329588698
atomic_programme,30.666943882043945
saderat,29.983936763237992
prohibitions,29.638043652768282
punitive_action,28.857548679181058
suspend_uranium,28.724283246232183
penalize,28.431392363975757
contravention,28.193560139891655
iran's_refusal,27.728964424361646
reimposing,27.588882455847187
reimposition,27.442186427807872
atomic_ambitions,27.354909774363882
restrictive_measures,26.76753456539195
retaliatory_sanctions,26.552471410786502
resolution_demanding,26.079697719133396
flout,25.696743730003305
circumventing,25.67906208191109
considering_imposing,25.174081651732685
traditional_ally,24.696256803291085
strongly_opposed,24.65435837198915
retaliating,24.408669495523277
impose_penalties,24.110352052989587
largely_symbolic,24.03423122002487
toughening,23.79552074266159
toughened,23.63272358118326
strongly_opposes,23.540154691594456
trade_embargo,20.786211325293696
