,weight
export_quotas,76.7048632936753
imports,71.30252089619263
import_quotas,71.2161845764434
export_ban,68.7928732806523
russia's_rosneft,66.10997118027747
refiners,64.99215760276861
quotas,62.54483458643865
exports,62.021327771599836
urals,59.04103420122972
biofuel,56.3816068311675
export_controls,56.185642450866446
argentine_biodiesel,55.57953090576979
russia's_lukoil,53.348590181616416
ymtc,53.28408407879253
biodiesel,52.40718924532075
sinopec,52.38054675663295
iraq's_southern,52.136615558122045
russia's_novak,50.54983711606719
entity_list,49.831080917069436
chipmaking_tools,48.756372164537105
export_duty,48.38041929049351
china's_cnooc,47.97895386750101
bullish_bets,47.45314037615131
diesel,46.8549854268521
petrochina,45.98121314566284
light_crude,45.951907095242746
smic,44.54633108439102
tanker_fleet,43.44425884308108
biofuel_mandate,43.334742278089095
producers,43.284427825390786
export_curbs,43.1995890228772
chipmaker_smic,42.12589445312697
seaborne,42.11323774603314
trade_blacklist,42.002032276206165
condensate,41.99486743593906
druzhba_pipeline,41.99155322068223
chipmaking_equipment,41.87004993818324
export_quota,41.39411514305553
unipec,41.39169445790438
osp,41.26261996555236
import_licenses,40.476787503086825
advanced_semiconductors,40.352935519154975
dual_use,39.87091997692112
sanctions_waiver,39.85000658758509
indian_refiners,39.65609607733282
inspur,39.59604435781664
espo,39.45895509662766
ust_luga,39.22958003335833
transneft,38.91669764649764
stockpile,38.67397885334975
hikvision,38.289802906372955
import_curbs,37.6947893568096
murban,37.44419691986989
mrpl,36.63069091599559
trader_trafigura,36.334131115495396
fdpr,35.040858047758405
import_restrictions,33.91896431989927
used_cooking,33.66458183641877
supply_tightness,33.503741840335664
megvii,33.394349046226125
subsidised_fuel,33.296488164837996
cxmt,33.04531159876901
john_moolenaar,32.39262416236813
nickel_ore,32.20772974099734
lifters,32.05069205537087
teapots,31.682046042592724
zte's,30.544563371103067
miit,30.36766933412688
zhejiang_dahua,29.86884984621113
obtain_licenses,29.62303885902637
dji_drones,29.44156303045896
mofcom,29.011102443818608
bgi_genomics,28.925399702661863
mineral_extraction,28.70661807888262
nudt,28.670256935594516
overproduction,28.474115792363076
autel_robotics,28.04799070336833
cooking_oil,27.882799237423793
biodiesel_producers,27.124839014200273
dahua,26.90625097235198
refined_palm,26.790229406128734
xcerra_corp,26.57544922211366
naura,26.175624600927346
steel_pipes,25.996862004752522
mediatek,25.858682065789992
toolmakers,25.729977578286075
sunoil,25.720456822383504
macronix,25.58823826230232
hisilicon,24.278255825239633
phytium,23.625000739156494
risc,23.45770583865732
oct_kofc,23.121234813518505
brite,23.007474135842177
everwin,22.892614012451936
producing_provinces,22.420931933750758
bitland,20.841035206408097
winbond,20.809760891620925
availabilities,19.996210926675236
lrcx's,18.3115034179013
axti,16.23627360821837
