,weight
sanctions,70.70025809910273
imposed_sanctions,62.779510259237895
impose_sanctions,61.85363650298247
arms_embargo,56.35549442019947
iran_libya,55.77700704004633
embargo,55.42840588738784
sanctions_imposed,54.583090818822214
blacklist,51.31611130179089
unilateral_sanctions,49.52202882178873
imposing_sanctions,49.39546613958517
punitive_measures,47.43513439611479
sanctioned,47.094636407657156
retaliate,46.3663131186755
bank_sepah,45.297790004171446
imposing,45.11334347290446
sanction,42.212843239010496
ilsa,41.47761433762856
unilateral,41.265980581777164
punish,41.14311025685337
mellat,40.65399570502915
restrict,40.56594328048631
embargoes,40.49351944091267
travel_bans,39.70967323688202
retaliate_against,38.26121425438034
missile_programs,37.3481152835111
sponsoring_terrorism,37.20025593171971
restricting,37.16248155476747
blacklisting,36.98668296945548
visa_restrictions,36.61815455533734
peaceful_purposes,36.52917023024508
sanctioning,36.46126021478362
nuclear_ambitions,36.17611870243598
daphne_psaledakis,35.05406388617832
disputed_nuclear,34.7910652829783
circumvention,34.45158026594662
uighur_muslims,34.361240647755466
sponsor_terrorism,33.64987539513495
punitive,33.455554440339164
unilaterally,33.18882676964145
isolate,33.07952422895251
imposition,32.68360969219188
proliferators,32.67247436779768
stop_interfering,32.42840959377165
reimpose,32.153202458034336
prohibitions,31.892149232084893
circumvent,31.7861312147979
slapped_sanctions,31.678686811820704
slap_sanctions,31.585446816925366
blacklists,31.54019600765169
saderat,30.704244255050895
visa_ban,30.497813985476416
peaceful_nuclear,30.197819678378057
penalize,30.15661465307296
dangerous_precedent,29.784208255969038
punitive_action,29.652430743178726
retaliatory_sanctions,29.483865061277818
lifting_sanctions,29.366428323917066
contravention,29.10082166929389
melli,28.421058159180895
imposed_sweeping,27.524335887419305
strongly_opposed,27.300220035773275
circumventing,26.998927888503005
suspend_uranium,26.91842217114877
considering_imposing,26.847388086283
obama's_administration,26.83690529142474
isolate_tehran,26.782015247655682
contravene,26.68855041707718
iran_iraq,26.149458399066052
generating_electricity,26.12521400468918
strongly_opposes,26.075490124910672
reacted_angrily,25.911131407723175
extraterritorial,25.864772604325818
impose_restrictions,25.82651014503678
resolutions_condemning,25.751898769108383
retaliating,25.69490462230344
flout,25.66892898876975
lift_sanctions,25.655437808231927
forbid,25.57055288962331
retaliatory_action,25.47261045268546
passed_resolution,25.1049886077048
impose_penalties,24.934588857034935
firmly_opposed,24.321660397332163
isolating,24.108134933839914
largely_symbolic,23.947393270310727
covertly,23.619688766845506
nuclear_nonproliferation,23.35282008430128
sanctioned_entities,23.29635614717734
toughened,22.89939596939441
transshipments,22.889409246106915
intense_lobbying,21.974614865407954
abides,21.89929058042968
vetoing,21.491699339263523
purely_peaceful,21.080056400819362
repressing,20.9532526502741
toughening,20.200103372639404
repeatedly_urged,19.627116860513333
asset_freeze,18.19696815135218
moscow's_actions,16.420706052117925
flatly_rejected,15.407925055100426
united_sates,11.780517272647115
