,weight
slap_tariffs,65.71997908158129
tariffs,64.49293147787219
trade_war,62.809138011227155
retaliatory_tariffs,58.17691522781904
trade_representative's,53.126055957574266
imposing_tariffs,52.200711074417576
duties,50.82081928661071
tariff_threat,48.36781478885291
tariff_hike,48.17371388124336
retaliate,47.36427813519445
commerce_secretary,47.02712012184639
ustr,46.5051944842392
lighthizer,45.428104116745054
protectionist,44.70370883907285
retaliation,44.689769339850194
impose_tariff,44.10324786407724
aircraft_subsidies,43.987950004725526
artificially_cheap,43.625476359864116
slapped_tariffs,43.397035668807504
hefty_tariffs,43.23546891256687
tariff_hikes,42.71697624646583
countervailing_duties,42.67760130724412
slap_tariff,42.287472140314094
impose_retaliatory,41.80623896423357
aluminum_tariffs,41.37247614253268
levies,40.87388062143758
protectionist_measures,40.790138582621985
trade_tensions,40.78811902635458
blanket_tariffs,40.64040143703819
competitive_devaluations,40.41389740143787
organization_wto,40.09424019291312
punitive_duties,39.77563706554922
slap_duties,39.11965047195994
devalue,38.96841937736037
tariff_threats,38.789289680495465
peter_navarro,38.75042564280798
antidumping,38.61142916294269
trade_spat,38.341812345523586
american_clause,38.203175606627504
imported_cars,38.17651620720299
trade_deficits,38.03351074453818
impose_punitive,37.58971840518019
retaliate_against,37.57233583818397
consultation_period,37.44329330124499
slap,36.91481291278134
retaliatory_duties,36.87067430915521
impose_duties,36.46298543806744
de_gucht,36.44664917427032
impose_countervailing,36.23972180316561
retaliatory,36.122763220574925
aluminum_imports,35.966541358994945
chinese_textile,35.63846743076948
protectionist_policies,35.407442551022754
countervailing_duty,35.344788270651264
adviser_peter,35.33597004071223
slapping_tariffs,35.30760617755947
currency_undervaluation,35.17521047425793
trade_frictions,35.02319953785511
decouple,33.71245204271369
trade_wars,33.54547801323356
devaluing,33.15502480304345
activate_threatened,32.97579706699385
representative_robert,32.94406199594883
antidumping_duties,32.61282487149179
malmstrom,32.29489195994543
representative_katherine,31.88078218374475
duties_ranging,31.660466446099033
subsidized_goods,31.12497273576058
robert_lighthizer,30.88835097495393
imported_steel,30.76669431267962
aldonas,30.680724914651172
tariffs_imposed,30.680613995117817
ttip,30.264269073110583
safeguard_measures,30.19219849979226
restrict_tire,30.186060491833796
retaliatory_sanctions,30.052199785699862
safeguard_duties,29.97329358076908
subsidizing,29.941019778811594
protectionist_stance,29.748724730584588
temporary_safeguard,28.894469008786917
impose_steep,28.886688636426715
trade_barriers,28.785511345869054
exempting,28.683393785629168
imposed_retaliatory,28.476547547404536
aluminum_extrusions,28.357490817893055
representative_charlene,28.336537242607363
retaliated,28.136888257434105
trump's_protectionist,28.008547834647562
ustr's,27.76626704777512
slap_punitive,27.35551320808022
punitive,26.72226083201789
competitive_disadvantage,26.500021469854353
poulty,25.376591951505322
retaliating,24.795243301026193
politically_sensitive,24.43314030032077
slapping_sanctions,24.013925509478447
commissioner_cecilia,23.87413911710593
representative_michael,22.35001227647202
retaliations,20.39710201473483
tarrifs,17.246742826812348
