,weight
tariffs,60.892902489415484
tariff,56.60088253112607
chinese_imports,48.349466805587646
trade_war,48.18908129742985
retaliatory_tariffs,46.76933676391974
impose_tariffs,44.27204728050308
largest_economies,40.330473311404866
trading_partners,39.62481441379172
trade_representative,39.43655203594167
reciprocal_tariffs,39.41312313544852
duties,39.06354788484598
chinese_goods,37.25419983268825
trade_representative's,37.208565954879454
hikes,36.97476715557713
tpp,36.80091661470187
import_tariffs,36.33760926150994
commerce_ministry,36.125578708904605
trade_tensions,35.669003397960125
slap_tariffs,34.04772112423906
aluminum_imports,33.95342802639789
china,33.69127766998766
import_duties,33.629967355571885
steel_imports,33.41255444875475
commerce_secretary,33.292160575214275
ustr,32.81749912084155
retaliation,32.7754930241357
lighthizer,31.96786471828969
protectionist,31.31039409125346
punitive_tariffs,31.148540141247402
retaliate,30.788130958960664
cut,29.9152995440786
impose_tariff,29.868780361288707
chinese_textile,29.3140162342291
anti_subsidy,29.196272779249636
phase_trade,29.17016790384476
farm_products,28.925203085988752
imported_steel,28.63754265502612
trade_barriers,28.27124196599094
into_effect,28.15313672701714
imported_cars,28.086868461520773
punitive_duties,27.83069834708178
retaliatory,27.48942209095003
tariffs_imposed,27.285658454021345
tariff_barriers,27.226538418577796
countermeasures,26.742519695546772
imposing_tariffs,26.643045193303543
byrd_amendment,26.55167760686145
tariff_threats,26.235655441135382
slap,25.865439456377064
aldonas,25.457594013532653
retaliatory_measures,25.279007491447263
lift,25.173003488639253
impose_duties,25.043775064793508
take_effect,24.880004519985388
retaliatory_duties,24.655522990275482
counter_measures,24.64946421600987
protectionist_measures,24.526985047756668
imposed_tariffs,24.369279017025864
aluminium_imports,24.334001609256855
froman,24.30083724585042
aluminum_tariffs,24.052691878135576
farm_goods,23.99949139953486
sectoral_tariffs,23.8481165870498
retaliate_against,23.819642648890646
adviser_peter,23.396633590255824
trade_spats,23.086097953805893
massive_devaluation,22.96161736097804
slapped_tariffs,22.90885468578379
impose_reciprocal,22.797270165707783
reciprocal,22.667242470625673
tariffed,22.547033198717205
imposition,21.85439885702899
robert_lighthizer,21.706669700671476
punitive,21.644849905172137
hefty_tariffs,21.615577274080103
ustr's,20.46646244147778
textile_quotas,20.41563176180836
protectionist_policies,20.155491892520086
import_levies,19.99184552386698
countervailing,19.491990093462622
chicken_feet,19.293485169613348
frisbie,19.269302969882542
retaliatory_sanctions,19.15960699487571
knit_fabrics,19.10426564420938
chinese_clothing,18.94099003215463
lumber_industry,18.935291791015164
scher,18.40705447699044
representative_robert,18.289488576422453
slapping,18.195746536136348
impose_punitive,18.033218059648675
organization_wto,17.476872917434235
may,17.445945439171204
currency_undervaluation,17.16444653464359
imposed_retaliatory,17.136764957963347
beijing_retaliated,15.831002144460854
trousers_shirts,14.748290067236772
restrict_imports,13.991494226243514
announced_hefty,13.393848074402104
dressing_gowns,11.37515238768372
urge_cooler,9.48192424677694
