,weight
security_council,52.15688280027615
sanctions,48.07348802801361
sanctions_against,47.19381057021635
arms_embargo,41.577308770701606
draft_resolution,40.230362316633936
impose_sanctions,38.7989929662798
embargo,37.28792965935026
sanctions_imposed,35.91270130502855
asset_freezes,35.277728352013504
arms_inspectors,35.19181177389127
punitive_measures,34.926556951127196
diplomats,34.5624325678015
veto,34.502710078791054
weapons_inspectors,34.39888599219072
military_action,34.22788414947635
ban,33.93378409128524
sanctions_relief,33.875974783608726
resolution,33.72248420319947
iran_libya,33.430826894391465
sensitive_nuclear,32.22885120894559
economic_sanctions,32.19386015545168
council_members,31.997318800383795
tougher_sanctions,31.77407318035594
western_powers,31.655410993013202
impose,31.6417250363272
foreign_ministers,31.2007487526784
major_powers,31.059188160573118
permanent_members,31.030369181727057
unilateral_sanctions,30.333960706859624
resolutions,30.050705312246688
embargoes,29.919721372037973
security_council's,29.747415695965582
nuclear_arms,29.68621024966244
iaea_board,29.597984349053284
sanctions_resolution,29.193639345305822
lift_sanctions,28.99591649690705
weapons_inspections,28.82119230672541
imposed_sanctions,28.656265859496248
imposing_sanctions,28.447555015964724
veto_wielding,28.234279173292162
western_diplomats,28.16775829695261
targeted_sanctions,27.792826141621283
nuclear_activities,27.78697815251271
envoys,27.767348609952982
lifting_sanctions,27.62537242872413
possible_sanctions,27.370168576798356
diplomats_say,27.277920360551096
travel_bans,27.269787099188207
arms_inspections,27.18016458121245
sanction,26.98545444224796
unilateral,26.826292060979597
serious_consequences,26.661477875250696
tehran's,26.657667918957646
council_resolution,26.473586239936708
powers,26.32793112086499
sanctions_regime,26.149106759193014
military_intervention,26.09566547948298
veto_power,25.93880070038815
nuclear_ambitions,25.804629704886725
develop_nuclear,25.235532347982478
drafted_resolution,24.836082837006142
disputed_nuclear,24.462355518717732
france_russia,24.459900731027695
islamic_republic,24.436695705054053
punitive_action,24.106852040676472
iranian_officials,23.914494649962414
halt_enrichment,23.906365386507556
eu_diplomat,23.838406471468787
retaliate_against,23.647178475151808
visa_restrictions,23.401765725366673
punitive,23.2137201198303
unilaterally,23.015617240640626
reimposed,22.372049074530125
reimpose,22.115358793029245
action_against,21.79023209152481
sanctions_resolutions,21.437499742778893
military_strikes,21.367264517843143
tougher_measures,20.955656931130783
blacklists,20.60631855802738
visa_bans,20.54016733521054
targeting_iran's,20.533832795738565
unilateral_action,20.361456520920225
resolution_adopted,20.26661219299263
penalise,20.10913021223495
permanent_security,19.65679471746711
magnitsky_act,19.64890148505087
western_governments,19.633236872197333
resolution_demanding,19.45848644340798
suspend_uranium,19.059508972965123
reimposing,19.02160183344324
sanctioning,18.842667184281883
western_countries,18.281462460406694
western_nations,18.238270782833546
iran's_case,18.220123760627974
counter_productive,18.04609338404714
ease_sanctions,17.9783300568349
three_rounds,17.561955953025297
embargo_against,16.525567506595117
separate_resolution,13.111534690788284
texas_prompt,7.796035832714552
