Guided Topic Modeling
                    
Topic Size:            300.0                    
Gravity:               1.5                    
Positive seed words:   protectionism trade_barriers                    
Negative seed words:   free_trade  

#0   doha_round                     weight: 61.822
#1   wto                            weight: 60.210
#2   protectionism                  weight: 53.560
#3   protectionist                  weight: 49.692
#4   trade_representative           weight: 44.745
#5   farm_subsidies                 weight: 43.972
#6   trade_organization             weight: 43.366
#7   trade_pact                     weight: 43.044
#8   negotiators                    weight: 42.749
#9   tpp                            weight: 42.575
#10  developing_countries           weight: 42.362
#11  lamy                           weight: 41.521
#12  apec                           weight: 41.408
#13  wto_members                    weight: 41.199
#14  trade_organisation             weight: 41.184
#15  nafta                          weight: 40.243
#16  trade_barriers                 weight: 40.090
#17  wto's                          weight: 39.459
#18  wto's_doha                     weight: 39.368
#19  trans_pacific                  weight: 38.812
#20  trade_liberalisation           weight: 38.001
#21  export_subsidies               weight: 37.260
#22  wto_talks                      weight: 36.693
#23  doug_palmer                    weight: 36.514
#24  developing_nations             weight: 36.503
#25  imbalances                     weight: 36.320
#26  doha                           weight: 36.299
#27  industrial_goods               weight: 36.216
#28  beijing's                      weight: 35.247
#29  barriers                       weight: 35.159
#30  wto_rules                      weight: 34.791
#31  ustr                           weight: 34.470
#32  unfair                         weight: 34.190
#33  mandelson                      weight: 34.025
#34  poor_countries                 weight: 33.222
#35  rhetoric                       weight: 33.148
#36  cairns_group                   weight: 33.143
#37  european_union                 weight: 33.056
#38  an_unfair                      weight: 32.788
#39  barshefsky                     weight: 32.759
#40  cancun_mexico                  weight: 32.663
#41  uruguay_round                  weight: 32.636
#42  trade_pacts                    weight: 32.566
#43  nations                        weight: 32.558
#44  trade_representative's         weight: 32.532
#45  trading_partners               weight: 32.223
#46  import_tariffs                 weight: 32.214
#47  globalisation                  weight: 32.180
#48  rich_nations                   weight: 32.089
#49  wto_ministerial                weight: 32.003
#50  labour_standards               weight: 31.909
#51  bilateral                      weight: 31.895
#52  impose_tariffs                 weight: 31.848
#53  trade_deficits                 weight: 31.734
#54  supachai                       weight: 31.691
#55  commerce_secretary             weight: 31.583
#56  competitiveness                weight: 31.526
#57  mercosur                       weight: 31.276
#58  reform                         weight: 31.198
#59  doha_deal                      weight: 30.959
#60  steel_imports                  weight: 30.907
#61  poor_nations                   weight: 30.876
#62  rich_countries                 weight: 30.827
#63  lighthizer                     weight: 30.754
#64  trade_agreements               weight: 30.489
#65  tariff_barriers                weight: 30.237
#66  breakthrough                   weight: 30.161
#67  protectionist_measures         weight: 29.977
#68  negotiator                     weight: 29.953
#69  zoellick                       weight: 29.944
#70  pact                           weight: 29.772
#71  retaliatory_tariffs            weight: 29.569
#72  policies                       weight: 29.547
#73  cotton_subsidies               weight: 29.400
#74  tariff_cuts                    weight: 29.378
#75  trade_liberalization           weight: 29.324
#76  playing_field                  weight: 29.318
#77  agenda                         weight: 29.298
#78  apec's                         weight: 29.159
#79  apec_leaders                   weight: 29.127
#80  de_gucht                       weight: 28.997
#81  trade_distorting               weight: 28.850
#82  ftaa                           weight: 28.824
#83  usmca                          weight: 28.717
#84  retaliation                    weight: 28.615
#85  froman                         weight: 28.599
#86  nationalism                    weight: 28.509
#87  cancun                         weight: 28.490
#88  agricultural_subsidies         weight: 27.942
#89  organisation_wto               weight: 27.915
#90  trade_promotion                weight: 27.811
#91  multilateral                   weight: 27.807
#92  brittan                        weight: 27.594
#93  susan_schwab                   weight: 27.413
#94  bilateral_trade                weight: 27.368
#95  ministerial_meeting            weight: 27.256
#96  import_duties                  weight: 27.187
#97  chinese_textile                weight: 27.008
#98  undermine                      weight: 26.939
#99  currency_manipulation          weight: 26.877
#100 unfair_trade                   weight: 26.871
#101 wto_ambassador                 weight: 26.819
#102 wto_round                      weight: 26.795
#103 american_clause                weight: 26.786
#104 robert_zoellick                weight: 26.619
#105 mercantilist                   weight: 26.565
#106 wto_accession                  weight: 26.501
#107 multilateralism                weight: 26.360
#108 friction                       weight: 26.294
#109 cafta                          weight: 26.289
#110 liberalization                 weight: 26.288
#111 unilateralism                  weight: 26.224
#112 developed_countries            weight: 26.193
#113 trade_deals                    weight: 26.016
#114 deadlock                       weight: 25.980
#115 pascal_lamy                    weight: 25.956
#116 katherine_tai                  weight: 25.939
#117 apec_ministers                 weight: 25.885
#118 trade_commissioner             weight: 25.864
#119 fischler                       weight: 25.709
#120 punke                          weight: 25.615
#121 farm_reform                    weight: 25.590
#122 punitive_tariffs               weight: 25.318
#123 labor_standards                weight: 25.255
#124 ttip                           weight: 25.085
#125 frictions                      weight: 25.006
#126 imposing                       weight: 24.999
#127 unilateral                     weight: 24.912
#128 american_provisions            weight: 24.770
#129 chief_negotiator               weight: 24.710
#130 threaten                       weight: 24.605
#131 economic_cooperation           weight: 24.456
#132 stalled_doha                   weight: 24.421
#133 nath                           weight: 24.381
#134 farm_tariffs                   weight: 24.330
#135 regimes                        weight: 24.256
#136 wto_ministers                  weight: 24.254
#137 poorer_countries               weight: 24.232
#138 trade_protectionism            weight: 24.198
#139 trade_organisation's           weight: 24.128
#140 sticking_points                weight: 24.025
#141 competitive_devaluations       weight: 23.981
#142 farm_goods                     weight: 23.974
#143 qatari_capital                 weight: 23.774
#144 azevedo                        weight: 23.709
#145 trade_disputes                 weight: 23.701
#146 aldonas                        weight: 23.645
#147 round's                        weight: 23.486
#148 trade_imbalances               weight: 23.453
#149 slap                           weight: 23.384
#150 wto_doha                       weight: 23.373
#151 common_ground                  weight: 23.315
#152 isolationism                   weight: 23.297
#153 poses                          weight: 23.175
#154 ustr_kirk                      weight: 23.074
#155 freer                          weight: 23.032
#156 leon_brittan                   weight: 23.013
#157 ron_kirk                       weight: 22.851
#158 rcep                           weight: 22.756
#159 lobby                          weight: 22.730
#160 amorim                         weight: 22.684
#161 wto_membership                 weight: 22.627
#162 argues                         weight: 22.573
#163 special_safeguard              weight: 22.553
#164 representative_ron             weight: 22.511
#165 charlene_barshefsky            weight: 22.460
#166 imported_steel                 weight: 22.356
#167 wto_negotiations               weight: 22.330
#168 counterproductive              weight: 22.299
#169 government_procurement         weight: 22.070
#170 punitive                       weight: 22.002
