,weight
doha_round,61.821957998230125
wto,60.209507896107105
protectionism,53.55988116778123
protectionist,49.69156953649875
trade_representative,44.74503656705351
farm_subsidies,43.971999510418854
trade_organization,43.36584796571747
trade_pact,43.043926094343576
negotiators,42.74919031239677
tpp,42.575129665844536
developing_countries,42.362159258671554
lamy,41.520504162200204
apec,41.40775749327825
wto_members,41.198559293374736
trade_organisation,41.184031185554986
nafta,40.24312451591079
trade_barriers,40.09027493557288
wto's,39.45929682305216
wto's_doha,39.36820272729727
trans_pacific,38.811910139475515
trade_liberalisation,38.00123763277506
export_subsidies,37.26018710667384
wto_talks,36.69291053065829
doug_palmer,36.51365148165447
developing_nations,36.50297358972744
imbalances,36.31950904173873
doha,36.299175909786804
industrial_goods,36.216202248407804
beijing's,35.2469775725051
barriers,35.1591464696013
wto_rules,34.79050320900927
ustr,34.470341202535295
unfair,34.189645429816245
mandelson,34.025126195696615
poor_countries,33.22237372472163
rhetoric,33.147993242796424
cairns_group,33.14349988203096
european_union,33.05581885173432
an_unfair,32.78769772339441
barshefsky,32.7585694480952
cancun_mexico,32.66276712065649
uruguay_round,32.635981581466666
trade_pacts,32.56565566157767
nations,32.558449075691016
trade_representative's,32.53245721634815
trading_partners,32.22250496552566
import_tariffs,32.213718843871376
globalisation,32.18016800357126
rich_nations,32.08906833825139
wto_ministerial,32.00257921689239
labour_standards,31.90923026132677
bilateral,31.894701871898132
impose_tariffs,31.847611352503186
trade_deficits,31.733984287670694
supachai,31.69145888190235
commerce_secretary,31.582754276476305
competitiveness,31.525633701346063
mercosur,31.275701791141824
reform,31.197910679185327
doha_deal,30.958722879315854
steel_imports,30.90722322010093
poor_nations,30.875845884775117
rich_countries,30.826960112452543
lighthizer,30.75367741416836
trade_agreements,30.48906204521668
tariff_barriers,30.236979507619353
breakthrough,30.16080224037505
protectionist_measures,29.977149271738355
negotiator,29.95346502294021
zoellick,29.943557975694137
pact,29.771749948838885
retaliatory_tariffs,29.569458689740962
policies,29.547469224205713
cotton_subsidies,29.40006616993502
tariff_cuts,29.377914336534808
trade_liberalization,29.324465373241303
playing_field,29.31760636543844
agenda,29.298184393586304
apec's,29.15850991403721
apec_leaders,29.127399374636674
de_gucht,28.996509869859192
trade_distorting,28.849842662080853
ftaa,28.824227991737807
usmca,28.71743292521516
retaliation,28.614957004987637
froman,28.599032671102506
nationalism,28.509040374969356
cancun,28.49007068431802
agricultural_subsidies,27.94202344186419
organisation_wto,27.915407225937805
trade_promotion,27.811358215719487
multilateral,27.807140843205215
brittan,27.59396553643707
susan_schwab,27.41304724996726
bilateral_trade,27.367585531756784
ministerial_meeting,27.255536864186197
import_duties,27.187416021510636
chinese_textile,27.00778980987722
undermine,26.939178182662268
currency_manipulation,26.87664654535241
unfair_trade,26.870864551127227
wto_ambassador,26.819012688979893
wto_round,26.795365081876994
american_clause,26.785675911854476
robert_zoellick,26.61876933801685
mercantilist,26.565436745070183
wto_accession,26.501316033105763
multilateralism,26.36039912680174
friction,26.293590986848002
cafta,26.28898452934685
liberalization,26.28821520477925
unilateralism,26.224166254797012
developed_countries,26.19342503924961
trade_deals,26.01631465709503
deadlock,25.979939737321125
pascal_lamy,25.955729137440876
katherine_tai,25.939072126575024
apec_ministers,25.885338323746936
trade_commissioner,25.864125146083502
fischler,25.70949396628271
punke,25.61484279795939
farm_reform,25.590473859207957
punitive_tariffs,25.318197369212697
labor_standards,25.254866314036793
ttip,25.084982173829964
frictions,25.005913009401
imposing,24.999413157465362
unilateral,24.911688546760033
american_provisions,24.77024371293829
chief_negotiator,24.709517412040018
threaten,24.604727531416387
economic_cooperation,24.455582537764812
stalled_doha,24.42145222914953
nath,24.380822043257698
farm_tariffs,24.329577868341755
regimes,24.256208960018704
wto_ministers,24.25382364084812
poorer_countries,24.232062744106706
trade_protectionism,24.198351366526264
trade_organisation's,24.128322344131735
sticking_points,24.024716151561496
competitive_devaluations,23.98096418393429
farm_goods,23.97353533945624
qatari_capital,23.774276496159267
