,weight
iran,61.54747334679606
tehran,60.76594181564466
iran's,60.447707366096694
iranian,55.151063035383686
iran's_nuclear,51.556004211245025
nuclear_programme,49.00105334471327
sanctions,48.24606135181063
uranium_enrichment,46.44024409374372
islamic_republic,45.79901053677246
nuclear_deal,45.54773241104973
tehran's,44.77327384922576
tehran's_nuclear,43.55099601395622
rouhani,43.55081668776013
libya,41.311322783439394
iranians,41.15096832439425
nuclear,40.35171227088365
nuclear_program,40.109599753583986
nuclear_weapon,39.952769814142286
saudi_arabia,39.43956631077246
syria,39.3929238857951
enrichment,39.381916885223625
north_korea,38.836725759376826
putin,37.45651442344822
russia,36.45553911125902
iran's_supreme,36.14095302728393
venezuela,35.97317748363873
pompeo,35.93978685901809
iraq,34.46278227792088
nuclear_arms,34.37717075102361
foreign_minister,34.33722375373746
atomic,33.8330396612581
ukraine,33.48007239934567
zanganeh,33.328068744317
western_powers,33.2444392186041
world_powers,33.0698535335843
iranian_nuclear,32.710234964338404
nuclear_bomb,32.44863610344255
iranian_oil,32.374974173096234
uae,32.272736562926
saudis,32.11950843229753
sanctions_relief,31.962855609529168
iran_denies,31.945226169993585
sanctions_against,31.931914578825744
iranian_president,31.75154035302101
islamic_republic's,31.639002634193073
minister,31.617025781936846
atomic_weapons,31.494201799584538
zarif,31.427065935898366
diplomats,31.361867518927102
military_action,31.34169743968934
irna,31.157973825136594
diplomatic,30.72586213933983
kremlin,30.609139679938508
vienna,30.60653473163227
allies,30.495832364248308
israel,30.279175444145654
syria's,30.18977101525524
tehran_denies,30.186355519006813
atomic_bomb,30.153716529031357
moscow,30.087054713134506
mahmoud_ahmadinejad,29.97970776335084
iranian_officials,29.823828532958483
tensions,29.78231800667605
weapons,29.692729999578255
enrich_uranium,29.665705686109465
embargo,29.401403709218364
diplomat,29.249650858403474
develop_nuclear,29.012577979749423
disputed_nuclear,28.877772869144923
major_powers,28.776193719124343
sensitive_nuclear,28.69477477052571
nuclear_ambitions,28.678660418674514
russian,28.59644699678849
nuclear_arsenal,28.395364871663578
imposed,28.37190799033168
supreme_leader,28.289247560069228
salehi,28.071606336539908
sanctions_imposed,28.055552657206984
arab,27.915876052967075
nuclear_activities,27.87321932815968
united_nations,27.84912816854224
elbaradei,27.818262313959853
javad_zarif,27.807272009066775
weapons_inspectors,27.718200543696973
larijani,27.709252661582315
ties,27.676877228003175
kuwait,27.5949548128634
atomic_bombs,27.592676213884978
nuclear_dispute,27.543850241369604
powers,27.508841256254872
diplomatic_solution,27.47710714652653
western_diplomats,27.40846043359334
russia's,27.232403736898707
western_diplomat,27.17710424188265
non_proliferation,27.124945139167558
reimposed_sanctions,27.094920945372134
enriching_uranium,27.071987892512595
missile_tests,26.997326878023244
regime,26.907353113072794
tension,26.682648042282114
civilian_nuclear,26.244553502110787
nuclear_fuel,26.208916801151066
imposed_sanctions,26.096858169871872
nuclear_pact,26.084287256185196
maximum_pressure,25.954448592535687
aggression,25.895120808512406
international_community,25.875907074670803
impose_sanctions,25.836777553791688
western_sanctions,25.524643249706617
leader_ayatollah,25.50483636205203
oil_embargo,25.34842416982189
united_states,25.31570692968382
peaceful,25.25763237030917
arms,25.06884664546756
diplomats_say,24.830346405343374
possible_sanctions,24.73516993602954
washington's,24.727825473236592
nuclear_sites,24.585147684279487
kharrazi,24.359947078976294
tougher_sanctions,24.261159506521178
retaliate,24.24314362483009
araqchi,24.205729592236054
enemies,24.181819313303656
hardliners,24.154727039016162
disarmament,24.12028587837496
blackmail,24.118323332035818
mottaki,24.101709343787196
missile_programme,24.050910343175232
jcpoa,24.04859193741819
tillerson,23.980361841191222
jalili,23.898986251480583
lift_sanctions,23.890565938530425
shana,23.886094379003787
ayatollah_ali,23.87120031623255
peaceful_purposes,23.858997856500057
moscow's,23.835066096712143
atomic_programme,23.806722275984527
tehran_newsroom,23.651518468661397
minister_mohammad,23.565548842621684
threat,23.454254819851993
ally,23.36298453424901
retaliation,23.335098260111533
guard_corps,23.26323828043008
arch_foe,23.232120961293585
banned_weapons,23.183607653644078
neighbour,23.121366667480167
ministry_spokesman,23.003055499350157
peaceful_nuclear,22.875020003099344
diplomatically,22.86679908913522
diplomatic_relations,22.563396436271642
diplomatic_efforts,22.555268691725747
atom_bomb,22.53678950199876
arms_control,22.513153013356497
unilateral_sanctions,22.510119280554438
nuclear_negotiator,22.41477551368482
islamic_revolutionary,22.34354362073786
militarily,22.221443399996836
regime_change,22.134821837648865
rohani,22.132292077831128
terrorist_groups,22.1026873916592
minister_bijan,22.089900551604206
hardline,22.053229566800418
asefi,22.044551422339346
iran's_islamic,21.80673122231753
confrontation,21.672697277187194
mohammad_khatami,21.640825499982974
threats,21.55684593840289
government,21.546444106431665
provocation,21.464800700533807
war,21.45611123271103
weaponry,21.369092295485757
unilateral,21.35538278451253
velayati,21.16105390741585
developing_nuclear,21.152425233342857
punitive_measures,21.107006651825138
red_lines,20.829494074457877
made_clear,20.752465732581605
foes,20.694518364285962
rulers,20.540753763693466
official,20.391584523307824
west_suspects,20.34426770084486
nuclear_standoff,20.308688707622377
weapons_programme,20.276309430938745
nuclear_accord,20.247825406719684
has_repeatedly,20.161727634368024
isolate_iran,20.1535650847719
iranian_official,20.153230445837323
demands,20.124971777053755
destabilise,19.993155971674355
defiance,19.89208644434378
economic_sanctions,19.812442711792055
aziz,19.809542258263395
security_council's,19.796165891012766
conflict,19.77716828867405
sponsoring_terrorism,19.767652014581163
imperialist,19.75393540502627
western_allies,19.735014792195802
qasemi,19.720597062767755
imposing_sanctions,19.64201283627614
sanction,19.560954553186825
sanctions_regime,19.413014890841968
president_mahmoud,19.383823576553976
military_confrontation,19.37834036722392
iranian_authorities,19.357332883066857
pezeshkian,19.2937165340291
pretext,19.0805861005326
western_governments,19.05736401466142
fredrik_dahl,18.922030323709297
isolate,18.838585137773308
accuses_iran,18.766871916573823
defuse,18.594083107892928
foe,18.524192641262122
regime's,18.490922802778158
iran's_ambassador,18.439890734566216
khazaee,18.378322459130665
hostility,18.339791209192136
western_countries,18.12965934822963
iraqi_leader,17.90162880423081
insisted,17.846852544585367
iran_insists,17.844161027031394
retaliate_against,17.841975854205394
illegitimate,17.7961496291522
traitors,17.60518381575322
agency_quoted,17.581458619726174
generating_electricity,17.578835533222403
malign,17.535146807906504
assurances,17.511774893478794
officials_say,17.412278073158653
fomenting,17.339459150018293
western_nations,17.282973336705428
missile_program,17.05476430611269
peaceful_solution,17.032138854056385
making_bombs,16.91850613133249
insists,16.851682346515297
ruled_out,16.843189149824727
hardliner,16.838026750421772
aggression_against,16.83260347319238
warmongering,16.786019849435398
hosseinian,16.767359388334665
covertly,16.66028232048049
wmd,16.596658034166627
iraq's_ambassador,16.314611745654133
international_terrorism,16.2525732051457
persian_gulf,16.217281112760794
hafezi,16.194287856312304
aggressors,15.893229612323896
halt_sensitive,15.857493128263757
zamaninia,15.85245232813147
insisting,15.820704253852005
sabri,15.722861944044555
insistence,15.369247928033873
seyed,15.31575779536959
pursuing_nuclear,15.234511195360795
deceitful,15.193992294364469
reimposition,15.105117594834514
threat_posed,15.104733481919974
de_facto,15.018885651673672
