,weight
tariffs,60.73783694260123
tariff,56.469594380094115
chinese_imports,48.27515429124602
trade_war,47.7627667148688
retaliatory_tariffs,46.70602260792441
impose_tariffs,44.336509186426454
largest_economies,40.17170239013578
duties,39.50819834529878
reciprocal_tariffs,39.42155359095129
trading_partners,39.36081119222834
trade_representative,39.30225225079066
chinese_goods,37.207704214976765
trade_representative's,37.190881724772396
hikes,37.09496599957773
import_tariffs,36.3419209702145
tpp,36.33622613258704
commerce_ministry,36.21388887830678
trump,35.745090493509366
trade_tensions,35.465036124479504
aluminum_imports,34.15968486802193
slap_tariffs,34.08374635039823
import_duties,33.77608223953183
steel_imports,33.488375900469315
china,33.2119162507758
retaliation,33.105263051565075
commerce_secretary,33.06815997030545
ustr,32.80309789700431
protectionism,32.00392207623037
lighthizer,31.926640926674434
trump's,31.803788847085325
protectionist,31.28876120726289
punitive_tariffs,31.04321301844784
impose,31.00322283568911
retaliate,30.939416899863037
supply_chains,30.448107162268624
cut,30.203510520459567
impose_tariff,29.95783921753806
anti_subsidy,29.32028167867355
chinese_textile,29.126975625901824
kudlow,28.963736556056773
phase_trade,28.922774147983777
farm_products,28.786233339772938
imported_steel,28.73754007618594
imported_cars,28.262115174182743
into_effect,28.020718915385817
trade_barriers,27.985908327458908
autos,27.767133317190726
punitive_duties,27.751960449928326
retaliatory,27.720064952832214
tariffs_imposed,27.440318621488156
tariff_barriers,27.0079404683209
countermeasures,26.91413100119139
imposing_tariffs,26.65136633810752
byrd_amendment,26.388756373367666
wto_members,26.217548079295195
tariff_threats,26.084132056132688
slap,26.07879913196314
exemptions,26.07537147589007
unfair_trade,25.95877378809772
bourbon_whiskey,25.71054498643
export_controls,25.630776307124627
canadian_prime,25.62567434892787
boost,25.524021548160725
trade_deficits,25.51533264152029
lift,25.510927442862066
retaliatory_measures,25.42486234794437
aldonas,25.2576845808813
lamb_imports,25.210345269766332
american_clause,25.161675359223786
impose_duties,25.1078152886659
steel_producing,25.022134711841243
rebound,24.865617947735373
take_effect,24.83213187120837
counter_measures,24.695183681262268
retaliatory_duties,24.642985748673134
imposed_tariffs,24.522090324338894
aluminium_imports,24.480827899645522
protectionist_measures,24.413591277495236
aluminum_tariffs,24.333661587851296
trade_wars,24.1992503775528
de_gucht,24.103936560574688
sectoral_tariffs,24.078186647668655
cautious,23.998591161349175
froman,23.993041777348292
retaliate_against,23.955620093017032
farm_goods,23.686079450224284
american_provisions,23.669860769198042
drag,23.60063258170866
adviser_peter,23.38928331196959
chinese_tires,23.253102280911406
chinese_textiles,23.21260170780184
slapped_tariffs,23.158892806528108
imposing,23.126116222965727
massive_devaluation,23.100217994009665
export_restrictions,22.954382605468563
impose_reciprocal,22.833285766325684
import_restrictions,22.814441322482136
punish_beijing,22.745280754245016
reciprocal,22.619956524521484
tariffed,22.51327974915056
textile_exports,22.45662690821372
trade_spats,22.393104115360458
extra_levy,22.380528640822323
grant_aldonas,22.267165058725507
imposition,22.168921954936067
trade_spat,22.154249994698564
imported_goods,22.100118528997566
punitive,22.012840161804494
muted,21.84717813233045
robert_lighthizer,21.76195915891309
american_whiskey,21.692985249736246
trade_imbalances,21.62301836299655
hefty_tariffs,21.52047541012631
liu_he,21.459376667374407
trade_liberalization,21.412403773545503
trade_disputes,21.089439361942667
slapped,21.011887465776127
pharmaceuticals_semiconductors,20.942821304607232
brittan,20.812410224675684
malmstrom,20.722423707418493
cheap_steel,20.704803042865503
preferential_trade,20.617411124370488
clothing_imports,20.59380443738952
additional_duty,20.402919473792014
provisional_duties,20.357236566632785
ustr's,20.31993527753606
textile_imports,20.257224948565383
textile_quotas,20.071900528786827
guajardo,20.067649398954945
protectionist_policies,20.01405673454624
import_levies,20.010348810163126
trade_commissioner,19.998869169763033
tyre_imports,19.911768675992814
peter_scher,19.69452142509636
countervailing,19.61266309959849
impose_countervailing,19.578466738910954
punke,19.503510741905686
blanket_tariffs,19.48092284133582
eliminate_tariffs,19.331860858363722
lowering,19.313299910845533
enforcement_mechanism,19.292699249511127
frisbie,19.279395308703275
extra_duty,19.240027249544735
wang_shouwen,19.207506711925713
retaliatory_sanctions,19.15251769820092
chicken_feet,19.076437836943636
as,19.069867249980874
knit_fabrics,19.027643857179086
lumber_industry,19.00042290988743
chinese_clothing,18.909387329054738
special_safeguard,18.767697634420518
made_iron,18.4061889801182
representative_robert,18.360836651895152
slapping,18.293064652976284
both_countries,18.232065043994183
product_exclusions,18.2298721025614
scher,18.066679538919278
retaliated,17.97449653671431
impose_punitive,17.950885725468616
barshefsky's,17.902014797939383
farm_tariffs,17.71162905704883
carve_outs,17.526213666489983
champagne_handbags,17.524621867780827
organization_wto,17.43707570355351
structural_issues,17.379092564847557
veron_reville,17.37568522078754
impose_steep,17.37215095612374
preliminary_list,17.252818103309615
imposed_retaliatory,17.22960531468863
currency_undervaluation,17.176164945713474
may,17.165479174140632
representative's,17.022199836908047
chinese_tire,16.95363850064112
business_lobbies,16.918993963759686
mexican_mills,16.67465054611225
frictions,16.64839704806126
hard_deadline,16.239996110845357
safeguard_provision,16.146661290603312
minister_bo,16.10232093022355
follows_through,15.863506981831382
subsidized_barley,15.822279072344498
soften,15.780814599470531
beijing_retaliated,15.654519388729517
furniture_lighting,15.61843286028759
metal_tariffs,15.447357619236236
cellphones_laptops,15.416964158493194
hereby_ordered,15.328100006198063
glossy_paper,15.290481003721418
china's_undervalued,15.22660153052303
lamb_producers,15.048369579460902
section_tariffs,15.017508657272963
lighthizer's,14.927353138845437
commissioner_cecilia,14.90453032782734
freehold_land,14.823663322844139
trousers_shirts,14.77042488206768
taken_advantage,14.5844102797245
countervailable,14.464322148161216
commissioner_peter,14.457493231489437
cars_semiconductors,14.145164372795117
restrict_imports,14.02042199739038
retaliating,13.9919754197563
commerce_undersecretary,13.97123181017162
manipulative_trading,13.964594368583827
zeroing,13.85250904286726
starting_november,13.760036209420315
antidumping_duties,13.742237415646246
steel_consuming,13.722832067652837
content_requirement,13.70493651915997
japanese_competitors,13.684553738255085
wine_scotch,13.538982379367116
formal_consultations,13.508492417554702
announced_hefty,13.354116056786786
commissioner_karel,13.278669493266376
blamed_beijing,13.244539369446558
tires_case,13.161028087648026
iphones_bought,13.160913621044104
subsidized_imports,13.100651692844385
completely_eliminates,13.090692570141142
threatened_punitive,13.074861874913564
internet_modems,13.07030726509166
cdsoa,12.955853387002875
yellow_phosphorous,12.941616408302846
blunt_speech,12.901756284248085
cooper_goodyear,12.76138116437155
retaliations,12.707663916033585
minister_pierre,12.612586772340677
copper_pipe,12.572247090264092
beijing's_retaliatory,12.547203824201354
graham_schumer,12.530606899029506
several_rounds,12.492249468296116
struggling_steel,12.474142012705789
made_tires,12.452597508261258
tantillo,12.356937982767619
controversial_tariffs,12.159569197329034
gsp_program,12.159089151595845
deliberately_undervalued,12.0790533740108
fuat_oktay,12.05851402586241
unfairly_cheap,12.016417961611154
hafemeister,11.782573154982677
usmca_agreement,11.750285347512275
barshevsky,11.736302517639434
subsidized_sale,11.515973240209666
mcgivern,11.503208017010676
schagrin,11.384510245911285
dressing_gowns,11.383363481425599
treated_fairly,11.251659422654967
curbing_fentanyl,11.224363433933863
railway_equipment,11.199837317167784
wood_floor,11.159211941437919
allows_duty,11.072150536436371
even_trace,11.064185736860827
slap_hefty,11.062206730907192
qualitative_measures,11.021888875782164
surtaxes,11.013810771278957
blanket_tariff,10.991546206040706
hayr,10.93333099965474
trade_remedy,10.890048664931637
hartquist,10.879824608050468
sounded_optimistic,10.64493022833497
steepest_tariff,10.580376910773474
comprehensive_textile,10.488550022569697
ballpoint_pens,10.38953448750622
tarrifs,10.223749330472954
specific_levies,10.20737443533685
auggie,10.108365897505129
oks_duties,10.035040901841306
request_countervailing,9.74775312173231
cudgels,9.644837814551584
bill_threatening,9.567162690373575
section_investigation,9.468588934658616
urge_cooler,9.447380431321266
processed_beef,9.443328251820134
slapped_duties,9.429398988675738
activate_threatened,9.235134798163864
unfair_unjustified,9.125098262317925
buyamerican,9.114540919543668
underselling,9.111898489354909
tariffs_ranging,9.052178702799145
unfair_retaliation,8.980549778352941
opened_pivotal,8.885470862801663
had_instructed,8.80163077472658
emergency_import,8.793947469811258
wooden_bedroom,8.647637663747679
wto_framework,8.584801188547097
tariff's,8.346556046509201
pecorino_cheese,8.297153527605522
surging_textile,8.264202608163881
huenemann,8.137704164374606
tarrif,8.045847239123257
quota_bill,8.038728995604417
restrict_steel,8.034737709535017
grant_exemptions,7.796455518117495
wednesday_downplayed,7.754805601707419
options_brit,7.399562759760494
poulty,7.133496966709814
turn_tense,6.900306788931467
eu's_ban,6.35767211284608
when_formulating,6.215650414705545
no_kimonos,6.052893183551688
levying_tariffs,5.683222942669762
