,weight
trade_war,54.97432269207502
trade_tensions,49.16280809518056
trade_dispute,47.05233415663651
largest_economies,42.04399839715786
chinese_imports,41.151263651209035
trade_conflict,38.57412251321549
escalating_trade,38.099803109121446
sino_trade,37.17497652430368
trade_spat,36.07635840741558
tariffs,35.96485035868128
biggest_economies,34.97736036195039
nafta,34.77588979283295
trade_frictions,33.64921495022146
protectionism,32.324077403380926
trade_wars,31.90168269608865
trading_partners,31.791517806643792
tariff_threat,30.799908633717017
tariff,30.785710621670773
reciprocal_tariffs,30.098856784382743
impose_tariffs,29.990230006192494
trade_disputes,29.86844911175875
chinese_goods,29.57924774080371
retaliatory_tariffs,29.09718885781763
slap_tariffs,28.651786993928372
domestic_demand,28.611552454424842
tariff_threats,28.468700339640748
phase_trade,28.375896518683426
phase_one,28.340708337933574
china,27.70634337095877
trade_friction,27.59834713497922
tariff_hike,27.556728671802627
protectionist,27.550534268891646
tpp,26.785610310566707
trade_truce,26.730055885599405
sino,26.41742668795898
worries,26.357572090292273
sino_us,26.326062449183475
import_tariffs,26.0798614340227
supply_chains,25.95500547939655
into_recession,25.564339473397457
stimulus_measures,24.825965584096522
sino_tensions,24.78704059767436
stimulus_hopes,24.751183496961392
american_free,24.444984652440812
optimism,24.398536927330085
aluminum_imports,24.212359620591478
competitive_devaluations,24.14698978062053
exports_unexpectedly,24.11452545472548
vice_premier,23.962369264147416
bayer's_bln,23.76617762028784
additional_tariffs,23.72520686332699
commerce_secretary,23.657400364895423
china's_commerce,23.639718832955552
fears,23.51814987918997
protectionist_policies,22.949345359564617
japan,22.53197102287089
hard_landing,22.501889389409286
spat,22.36005004635332
trade_negotiator,22.035789054824207
asia,21.848987285086668
trade_deficits,21.765213846573662
chinese_counterpart,21.695393454135928
trade_barriers,21.685350097578127
imported_steel,21.530528477713055
overheating,21.385952898821365
japanese_officials,21.30526635524106
aluminium_imports,21.296746590889278
protectionist_measures,21.191943053981912
asian_economies,21.00268016472719
trade_imbalances,20.975019127901273
export_curbs,20.95135483716321
port_lockout,20.864344551787415
fight_back,20.854206095164198
aluminum_tariffs,20.702917450413896
chunying,20.68136212821985
slowing_growth,20.664130861526093
cautious_mood,20.428060468999938
farm_products,20.369613583216704
trade_spats,20.34092544398739
slowing,20.325147286667733
factories_activity,20.3210659933983
frictions,20.228993526501522
bitter_trade,20.199078731204928
liu_he,20.08655992887118
imposed_tariffs,20.045765142083543
export_competitiveness,19.925468672258084
imposing_tariffs,19.67195980278782
import_levies,19.658134277592854
worry,19.57025051500654
slapped_tariffs,19.40173182278424
internet_platforms,19.37542298771847
friction,19.372193835511048
asia's_economic,19.279478092830715
asia's_financial,19.17926914134591
dollar's_recent,19.159474790137942
retaliatory_measures,19.153046782741303
save_fairy,19.11525680219607
de_escalate,19.10406664411063
currency_devaluations,19.088459313419538
inflation_fears,18.961566945496582
asked_him,18.95228938126102
subbaraman,18.917480240196287
geopolitical_risks,18.90916265101169
yen's_fall,18.892319389399134
roiled,18.880854108308547
export_reliant,18.851879440458593
fragile_economic,18.834702080442252
adviser_peter,18.785074688267464
detente,18.75111388839181
rebalancing,18.654156280844028
punitive_tariffs,18.500879175062472
dollar's_strength,18.49433250143662
we_spoke,18.44685588562236
growth_slowed,18.425850832560982
staple_differentials,18.41199018516388
currency_crisis,18.27261985654643
yen's_slide,18.26760414875042
developed_economies,18.225490424679947
impose_duties,18.184146826517047
pessimism,18.092211238591165
wang_shouwen,17.92521854071598
retaliatory_duties,17.889414481680287
haefele,17.833442251782113
tariffs_imposed,17.831927001658716
their_differences,17.545433361151282
sharp_slowdown,17.496998296896265
philippines_taiwan,17.39535209340271
both_countries,17.209413371801045
dampen,17.15394978746385
takada,17.061079666135957
mutually_beneficial,17.005682298000245
ustr_kirk,16.998208129478105
japanese_economy,16.98839241159191
simmering,16.965879277601367
decouple,16.812375692788226
mof's_mizoguchi,16.799079478274184
retaliate_against,16.798330328655503
slapped_tit,16.733309731132028
jittery,16.710829846385924
spooner,16.680758371544563
escalating_sino,16.61716663254777
shut_chengdu,16.608975800994155
fishmeal,16.51294281676274
regional_currencies,16.392275433869973
caixin_markit,16.379544581782604
tighter_monetary,16.35486585256378
panic_selling,16.294155359375942
rebalance,16.286425799036113
fenollosa,16.236178175859123
persist,16.204557950861037
lingering,16.18242555612635
structural_issues,15.958037173684012
deflationary_pressures,15.912887264921487
yen's_decline,15.868686468585935
dampening,15.820572893899394
confidence_clouded,15.687486513610141
appreciating,15.620916946489679
wobble,15.586789705895567
iggo,15.568096671765655
port_shutdown,15.547143834591715
asian_turmoil,15.434689331894708
sharper_slowdown,15.425920617325454
gainers_premarket,15.386730605895632
china_evokes,15.358622890082255
cautiously,15.126943216081283
patriotism_past,15.083586585894263
china_reneged,15.037191421984765
dent,15.014917844780419
thawing,14.996379562383748
mixed_signals,14.9851722224939
pessimistic_about,14.905200790985647
along_nicely,14.835957479830919
falter,14.835322917058463
aid_promises,14.827875422091536
losing_steam,14.715776269418383
expect_much,14.70935579586797
ong_our,14.704269206285208
abating,14.6594767891658
trump's_announcement,14.630893319138579
hard_deadline,14.600586023585489
hefty_tariffs,14.511236703634935
asia's_woes,14.491363025496186
hails_peace,14.42615446702573
festering,14.359980697733945
soften,14.286343801580234
impose_punitive,14.104688955380386
america's_rivers,14.089604072230326
americas_paho,14.05070222633832
ratcheting,13.957667854655005
denting,13.885728453038194
full_blown,13.879058445897398
decade_low,13.787716020492773
overlapping_claims,13.697585685703725
shudders,13.697507310570456
fretting,13.696251255046633
nagging,13.68933317613648
against_hunger,13.588974477128763
stickiest_issues,13.555045832615132
asia_woes,13.55134791648419
asia's_crisis,13.540660572926317
backsliding,13.532197410159823
washington's_demands,13.5194962652762
immediate_action,13.478877899269163
waver,13.408102802578862
normalising,13.363518642523646
ebb,13.340663702273485
retaliations,13.299336295964421
geopolitical_uncertainty,13.268074224453878
elias_glenn,13.266638992518544
representative_robert,13.136292960377624
diplomatic_rift,12.947175036376155
little_sign,12.90957022277755
boil,12.893808724075493
souring,12.81280741216063
aggravate,12.808528674583025
policy_divergence,12.767493027873517
join_pan,12.73306576541441
lagging_consumption,12.621422955687043
unsettled,12.616354674338364
depressing,12.5050493221108
pressuring,12.417216178896592
irritations,12.169810010665385
barclays_settle,12.115006850861613
revive_doha,12.087185895537393
receding,12.07870746102591
surge_geopolitics,12.018493408477921
tariff_impacts,11.970232712961906
stalling,11.926392639200643
imposed_retaliatory,11.885973745244467
buying_tremendous,11.80158616174172
ignition_defect,11.783230593568444
inequality_jpmorgan,11.758064254463086
fight_directs,11.513810096722732
presidents_donald,11.513552971465353
dampener,11.387529834227673
clouding,11.381884605847311
bircher,11.330886120702267
putting_pressure,11.292322047741983
blackrock's_turnill,11.272261571049288
blunt_speech,11.257173665383618
several_rounds,11.143196441506959
alleviated,10.987903981725687
sooth,10.919697461303182
agonizingly_slow,10.848115798304748
slowing_chinese,10.649543669431297
region_emerges,10.62313458717899
image_relax,10.497964617269886
intensifying_trade,10.496038008436848
tat_duties,10.467711988905673
proposing_higher,10.44697397518849
dangerously_exposed,10.430711000868897
discouraging,10.236832140140727
pompeo_chides,10.224902221060182
corporate_kowtow,10.181344533974618
allows_duty,10.005033519603865
beijing's_retaliatory,9.949130097553422
sonder_agrees,9.880459768470036
soar_millers,9.862271781226598
outline_commitments,9.858046132771399
isquith,9.702204500526948
deteriorating_relations,9.659775077045436
curbing_fentanyl,9.495932572770398
compensation_culture,9.1897896639953
component_shipments,9.160369104776938
bruising_tariffs,9.058856512806727
dispute_marking,9.050691422069804
faltering_domestic,9.032772664268027
hyped_trade,9.022867662665762
unexpectedly_kicked,8.940399839405117
spell_colombia,8.87171140738524
nafta_renegotiation,8.758072637399062
grand_experiment,8.73612885978719
urge_racial,8.396516655526492
ties_blossom,8.255490011887899
yanting,8.227478693423846
andrew_robb,8.181440898164047
record_cbi,8.085282925077108
redeploy_troops,7.990563544776098
create_favourable,7.975816390519773
stand_offs,7.898566007521938
swallow_any,7.856158952846232
hefty_anti,7.841362403581114
escalating_tariff,7.695583120432548
qatar_pledged,7.653489427139713
deere_exec,7.625661588028284
negotiating_window,7.349162261012164
dumping_deposits,7.312671039527445
abrafrigo,7.208556243349315
paralyzed_billions,7.147593331339513
other's_imports,6.6996298033995485
mattock,6.366416147964025
possessing_rifle,5.862478843560094
judge_inclined,5.855246733902515
reimpose_tariffs,5.7027577976156785
delainey,5.637665740315164
productive_discussions,5.57752791454368
caveat_plastic,5.357672693951443
heaped_fresh,5.240949325363126
deadlock_broken,5.046863905476816
no_kimonos,5.009357986206833
