,weight
embargo,50.20314459733348
sanctions_against,40.11611044157221
sanctions_imposed,38.378542869572414
trade_embargo,34.84969702253234
embargoes,34.083579992066305
economic_sanctions,30.36903599880077
oil_embargo,29.242682758356484
smart_sanctions,29.078860267217784
iranian_oil,28.9411738510352
unilateral_sanctions,28.91654617934723
western_sanctions,28.665704128769036
iraqi_oil,28.28165042320825
invaded_kuwait,27.885597613190317
embargo_against,27.286749652054883
sanctions_regime,24.883194516772186
lift_sanctions,24.779544923256182
punitive_measures,24.74756371904068
lifting_sanctions,24.090206431965797
reimposed,23.85938907130752
imposing_sanctions,23.788468750311253
security_council's,23.756445652460346
communist_ruled,23.590139676848995
economic_embargo,23.05646008063155
tougher_sanctions,22.62976695590593
cuban_americans,22.35532410150196
communist_run,22.282618004935905
sponsoring_terrorism,20.956688838967345
reimpose,20.86770560921296
targeting_iran's,20.753299140432556
biden's_administration,20.362819028167195
detente,19.882107992380373
reimposing,19.006226795112397
iraq's_invasion,18.455950314017965
unilateral_embargoes,18.285973597283842
ros_lehtinen,18.262230911166935
property_confiscated,18.242493550753984
obama's_administration,17.61142419331996
helms,17.50004727902805
estrangement,17.46878516497922
syria_accountability,17.466254598666396
crippling_sanctions,17.383373593942025
ease_sanctions,17.05171433922804
accused_syria,16.98164104891642
improve_relations,16.943434982252132
liberalizing,16.8303564878422
cuban_president,16.191153736235385
decades_old,16.07426337344225
medicine_sales,15.649023851699491
punish_foreign,15.52994272919363
private_financing,15.295584032283779
troop_reversal,15.0259860086575
embargos,14.997434203599532
its_invasion,14.966555231105492
western_nations,14.90066624739386
toughened,14.724599887945017
vetoing,14.643452901271864
president_fidel,14.63885691193032
embargo_imposed,14.602698169367914
magnitsky's_death,14.337938652060057
ban_imposed,13.820064581869401
separating_children,13.475888142425969
british_proposal,13.417900615862505
enemy_act,13.384485909538023
coddling,13.152973360019544
strongly_opposes,12.879853113000431
teheran,12.611441950737522
energy_sectors,12.526887134963406
ending_visa,12.381766825642506
punishing_trade,12.360970782655349
attack_blasts,12.247466329227118
cuba_libya,12.02243390834248
diplomat_passport,11.742047729637306
holders_visiting,11.711030719537703
persecutes,11.696210043443727
reinstitute,11.528616005157367
reconvene_pass,11.528258894459228
deteriorating_infrastructure,11.504278744566399
fishing_ban,11.345578384995541
communist_island,11.30344480090534
truth_commission,10.748785249630101
allow_brazilian,10.622355561827975
accountability_act,10.366230788588942
massive_polish,10.182446722838653
pact_signed,10.074766399324856
agriculture_funding,9.950823456776007
oppose_loans,9.935725804488733
imposing_visa,9.816582105121874
diplomatic_sanctions,9.6492921106414
kerry_condemns,9.539111448012699
sactions,9.31291536882125
iran_violates,8.9227857199842
george_nethercutt,8.55335208057052
libya_handed,8.408399670364565
mcauliff,7.912239689763733
nondemocratic,7.783829875655506
mostly_symbolic,7.77023392196741
presses_religious,7.215395049705289
normalizing_relations,6.583371059823926
santions,6.556364108786332
eye_saudis,4.536866582390218
