,weight
export_ban,38.88998110793302
biofuel_waivers,34.3321837132774
biofuel_mandates,32.251092584871316
leasing_pause,29.112471782289315
blend_oil,25.04868902650681
angolan_oil,25.04670454174863
ethanol_mandate,23.759649600423213
fuel_waiver,23.406345735697364
import_licenses,23.052290572581153
interview_shell,22.250597872037982
refiner_dongming,22.168769376332843
six_subsidiaries,22.09197037631644
sanctioned_tankers,21.5669939208547
sanctions_trackers,21.281736782048153
origin_energy's,20.15249468082137
diesel_shortages,19.943565864761176
domestic_refiners,19.521384498279527
yoon_approves,19.3697913888535
public_tribal,18.804819238957613
export_restriction,18.203451279667405
northeast_natgas,18.018517465807054
request_fate,17.512268450946404
southern_stretch,17.105628209936228
column_masked,16.65145918972654
stall_industry,16.576168311068393
senator_floats,16.57236759829174
epa_pauses,15.784680637718848
price_controls,15.715587974409736
draws_again,15.64420449281905
halts_engie's,15.621243222258192
tame_volatile,15.549516876755396
china's_storing,15.32786676038117
yields_wrong,15.319052154993424
eu_tweaks,15.171291630608675
needs_send,15.088531165125401
stall_fuel,14.745698788757185
rhetoric_turkey,14.74367971989227
lpg_demand,14.651362260986586
lng_transhipments,14.559088262657353
indonesia_seizes,14.395663693316651
esai's,13.951443882826668
buying_ebbs,13.490888888998319
exploration_taxes,13.221623054719798
julian_satterhthwaite,13.172545265270687
reassert_right,12.935895260235114
nigeria_offshore,12.896942946446973
eased_hpcl,12.804325035102929
colonial_shutdown,12.73754187775773
environment_disputes,12.34069015286954
mexico's_supreme,12.311133908777549
belarus_switches,12.171081637107056
prorate,12.13610836329536
cleaner_ship,11.956906529054526
unload_cushing,11.529168564688543
emerge_turkey,11.288284599316093
techpacific_com,11.259852812136176
ports_rosneft,11.032164554102334
chip_tailored,10.702748306189486
now_targeting,10.587898504235204
petroineos_importing,10.271935504242078
refinery_ras,9.852399325570776
records_montana,9.66412874579804
alleged_misdeeds,9.509144967664385
adults_conocophillips,9.412416407078826
diluent_shortage,9.39844863739126
solarwinds_cyber,9.373659074185033
nationwide_biofuel,9.256132815956454
motion_boosted,9.194722563030421
candiru,9.144329773303424
sharara_el,9.047146362607018
finalise_israel,8.970767674685439
biofuels_shift,8.923362045686769
feel_reopening,8.848359176483838
bester,8.718618971846661
provider_interactive,8.683968453533202
center_liaises,8.68241546740387
yitu,8.628252956434052
websoft,8.459378401618457
decided_waives,8.0851316465074
discounts_widen,8.068685238926404
sulpur,7.906489082365566
attacks_heighten,7.849873236707512
novak_petronas,7.7976310575268295
sharepoint_compromised,7.608772164425254
microsoft's_sharepoint,7.576442353581252
retired_tanker,7.239098510870064
sundance_takeover,7.0487917776831495
local_transmissions,6.9116835553390805
transports_thailand's,6.839631702329951
broadcasting_wells,6.667169294539953
ever_urals,6.663917591354608
fargo_suspends,6.222456526380398
decentralised_finance,6.087061364807504
publisher_cnet,5.953384659244336
arina,5.615718912254416
scheme_chile's,5.456154235625168
loom_express,5.159669361573395
roughly_barrels,5.107491992093761
billiton's_efforts,5.01619801029011
oct_ontar,3.729139200677831
