,weight
retaliation,45.976967423787194
retaliate,44.5675623827172
retaliatory,38.84512582728035
impose,35.93968251187457
impose_tariffs,35.36074231542388
escalation,35.01787663532396
duties,33.492706510338365
retaliatory_tariffs,33.16709650665673
countermeasures,33.16303076552646
defend_itself,31.216358506803367
retaliate_against,31.159559582380577
threatened,30.431411770246452
impose_sanctions,29.665685035187497
protectionist,29.190093603374926
aggression,28.763639649843867
unilateral,28.748573767521627
tensions_between,28.23822941656427
slap_tariffs,28.22181087311839
imposing,27.80800216287814
slap,27.682365657067752
import_tariffs,27.55990939421684
provocation,27.222244752913646
confrontation,27.17508095883207
escalate,27.06671704525028
defend,26.812181828613358
punitive,26.24016479096275
threats,26.068511628302613
blackmail,26.03250119004616
threat,25.99009128270305
retaliatory_measures,25.92858250636062
retaliated,25.08365713091062
serious_consequences,24.852611431795914
walk_away,24.727669210581467
counter_measures,24.704528900009226
unilaterally,24.41909859901459
lamb_imports,24.40916188272201
imported_steel,24.13115461527797
made_clear,24.026901482684938
punish,24.014226868022842
into_effect,23.966220049926086
imposition,23.752722107084438
slapped,23.637565773503958
punitive_tariffs,23.611601344926385
ruled_out,23.61051793855452
threatening,23.389903465482814
provoke,23.1292168336258
de_escalate,23.06210068956376
invade,23.03985871628544
extra_duty,22.993267937168646
pre_emptive,22.755871117595333
flax_yarn,22.53108105751086
aluminium_imports,22.09701191783957
escalating,22.040341311311455
protectionist_measures,22.012851686190384
punitive_measures,21.972440964840597
sanction,21.923367048689027
unjustified,21.721516689179005
pretext,21.554207622777472
imposing_sanctions,21.44948713333901
not_tolerate,20.932455339870785
unilateral_action,20.84381539617016
clothing_imports,20.826979136272634
unprovoked,20.793552692849076
take_unspecified,20.683733733064955
impose_reciprocal,20.477677686197122
reprisals,20.421698137506443
escalated,20.112059120374873
tolerate,20.03827078385949
retaliating,19.773373217892935
concede,19.648960546879422
impose_duties,19.563353150472345
confrontation_between,19.419428329101773
deter,19.37409032318825
counterproductive,19.230259484056116
import_levies,19.198378866657396
confrontations,19.132459076086242
inflame,18.946779127196983
would_prefer,18.945300316238434
doubted,18.796813908311783
do_so,18.771816502772534
bluffing,18.59435210539262
retaliates,18.41039969166226
slapping,18.238359423431575
took_effect,17.991080832918538
very_clear,17.85043047522101
provoking,17.545660861072164
counter_productive,17.533799779692455
jeopardise,17.496280076469915
hesitate,17.37679120993786
send_message,16.584683847499576
reprisal,15.972102614487056
adamant,14.698087869039654
upsetting,14.155348254051392
trousers_shirts,14.052399593774814
restrict_imports,13.768207499791073
fuat_oktay,13.510835712307404
ratcheted_up,13.047852994270398
ratcheting,13.033845423827692
stock_whacked,9.634102415105488
emergency_import,8.411171969112557
