,weight
wto,50.64993730574442
import_duties,46.28815292951928
import_tariffs,44.97601965595804
import_duty,41.91468165929585
tpp,39.70211994250814
wto_rules,39.110898487602476
trade_organization,38.640622529776486
impose_tariffs,38.25197694927072
trade_representative,38.18311149782537
protectionism,37.95714360889604
nafta,37.75407677977521
trade_barriers,37.522872316855114
quotas,36.914886004686494
steel_imports,36.91168177835997
retaliatory_tariffs,36.78000291037646
farm_subsidies,36.46305930244525
quota,36.45775317199207
protectionist,36.03455137289907
export_subsidies,35.87427134669181
trans_pacific,35.278225966737075
import_quotas,35.131981316452226
trade_organisation,34.28758098791729
ustr,33.85300752942813
trade_representative's,33.44883445915763
import_quota,32.72048032380676
trading_partners,32.59908642676992
tariff_barriers,32.42565387092769
wto_panel,31.84233414294627
import_tariff,31.71054651066226
wto_members,31.012430272625718
commerce_secretary,30.474769366665146
barriers,30.115287714041937
wto_ruling,29.9679229545103
punitive_tariffs,29.28577073147206
tariff_cuts,29.116532232768684
import_restrictions,28.272284913366214
aluminum_imports,27.976011513406146
uruguay_round,27.631899494906662
imported_steel,27.542123056924392
import_ban,27.512696512772465
steel_products,27.40826554018596
steel_industry,27.22653631319216
dumping_duties,27.074967456654047
protectionist_measures,27.072114261422517
bilateral_trade,26.7499703653606
american_clause,26.394020170116278
goods_imported,26.374680569625987
punitive_duties,26.14930031807246
wheat_flour,26.144680853667314
farm_goods,25.792222535730563
bananas,25.438327469085607
chinese_tires,25.245879994829114
tariffs_imposed,24.593889408686092
slap,24.569187792405824
byrd_amendment,24.47846533702745
hfcs,24.423255178104327
gsp,24.376651041919178
organisation_wto,23.923175844260467
quota_system,23.73976122869619
import_curbs,23.667857207885238
retaliatory_measures,23.470867361156674
ttip,23.419209449118068
steel_duties,23.05662185208221
punitive,23.01285318569354
safeguard_measures,22.223186819839253
agricultural_products,22.008363496939445
impose_duties,21.91105802975225
reciprocal,21.75261790869213
fishmeal,21.596514172952062
preferential_trade,21.552600771056753
refined_sugar,21.05676887370079
agricultural_subsidies,20.370980132696047
retaliate_against,20.346073988407355
chinese_tire,19.824569031901014
cold_rolled,19.404937932346954
ustr's,19.073402659370416
sugar_imports,17.835810180382367
politically_sensitive,17.63358859988226
representative_robert,16.95488272949665
tarriffs,16.608200559803723
talk_cont,16.573381694554737
imposed_retaliatory,16.372890863909312
section_tariffs,15.636053642828708
duties_imposed,14.74110862034373
yellow_phosphorous,14.641012433302281
japanese_competitors,14.052153027705872
tires_case,13.746571958578883
trousers_shirts,13.689390080101619
tarrifs,13.531054967557317
alloyed,12.906481427843696
tariff_quota,12.843410042215407
cars_skid,12.717292117556417
wood_floor,12.335547627922907
customs_duty,11.867099797842371
steepest_tariff,11.694588926374221
annual_quota,11.59946896438333
cashmere_sweaters,10.655331940110507
tarrif,10.379971973506832
tariff's,9.20109190810076
abrafrigo,9.182840975108954
