,weight
trade_war,62.69773039076388
trade_tensions,56.594525463634945
trade_dispute,47.088328983752824
tumble,44.7404114560488
rises,43.95425168500015
stocks,43.92874164215424
falls,43.88934455711013
worries,41.93985577487318
wall_street,40.40481875104582
tariffs,40.071985783477345
woes,39.823439191665805
upbeat,39.71265495583393
dips,39.48800301509739
slump,38.44774488768251
rebounds,38.31396059007881
escalating_trade,38.294802930574164
covid,37.7816997927341
stimulus,37.49002551488271
trade_spat,37.02540380863218
sino_trade,36.92234239302654
jitters,36.78921526748411
graphic,36.41260592545928
weigh,36.280542398946444
fears,35.73276058538068
tariff,35.311490109259424
hikes,35.215057731535424
biggest_economies,34.86625243780273
optimism,34.550232800009084
plunge,34.24783711562389
surge,34.2182748199799
cuts,34.00469039816741
jump,33.505934954330776
dip,33.384817860818714
trade_conflict,33.3258492260317
trade_frictions,32.91950935170983
fall,32.70741113103606
trade_wars,32.6747135656289
trading_partners,32.19557716566282
china,32.10679438586335
rebound,31.913603495624297
gloom,31.088836178967117
bets,30.913365652809638
slowdown,30.331565234653173
trade_disputes,30.318186190109422
top_news,30.258722214627976
domestic_demand,29.949133927723896
amid,29.924857963292435
drag,29.877609804946974
tariff_threats,29.18125991473535
weak,28.93968188673174
retaliatory_tariffs,28.63169540051251
ease,28.02582015653063
climb,27.97534486292356
cautious,27.747151340525654
muted,27.720262465136052
slowing,27.705472076785767
trade_friction,27.673726250932017
caution,27.555486854756314
slap_tariffs,27.44615475527185
worry,27.374310310837306
downbeat,27.32161037935189
wary,27.28097680579695
gloomy,27.15465431697908
subdued,27.0300703965182
boost,27.012188208773676
tariff_hike,26.98324264873314
trade_truce,26.746292887315416
investor_sentiment,26.17104995160365
sino,26.078232781171398
edge,25.950099690673095
drop,25.67672581549627
lift,25.660931207560957
hit,25.40543069363441
fallout,25.389663288246844
tepid,24.97561071104117
retreat,24.2319925668652
china's_commerce,24.09704230876648
sino_tensions,24.061779197334207
protectionist_policies,23.011433000423906
slowing_growth,22.309360587137448
buoyant,22.11652511918955
imported_steel,21.722259344203714
protectionist_measures,21.6022088295012
dented,21.54749455928766
bitter_trade,21.52728453514977
chinese_counterpart,21.185221903802066
dampen,21.144598975642793
dampened,20.816887581714894
dent,20.753880954054
imposing_tariffs,20.201613721822508
imposed_tariffs,20.07562601744557
dampening,19.82064094616156
slapped_tariffs,19.78439019761113
import_levies,19.567321377478756
retaliatory_duties,19.153045852310846
faltering,17.568147260865793
denting,16.739412946096287
unsettled,15.906802653856017
receding,15.320433700257007
ratcheting,14.124986538175698
