,weight
protectionism,53.97526657495705
protectionist,49.83535801480415
wto,48.77670641623604
free_trade,44.39829914663268
apec,38.78541768979171
trade_barriers,38.65705154505457
imbalances,38.40692129437199
developing_countries,37.28857292817031
protectionist_measures,36.634815255271356
trade_organization,36.59142061052802
tpp,36.571218500812314
global_imbalances,35.36655092078664
steel_imports,35.25283502402157
unfair,34.90276517773437
rhetoric,34.8729779222171
wto_rules,34.69877258755869
import_tariffs,33.98530313359726
barriers,33.569288298304095
impose_tariffs,32.61010767624309
trade_deficits,31.974182706616812
globalisation,31.922791330320727
competitiveness,31.786346553226394
ustr,31.75500213654508
retaliatory_tariffs,31.548390298671144
chinese_textile,31.50055938162396
globalization,31.267721770376802
tariff_barriers,30.688744651241073
nationalism,30.623654189616428
wto_members,29.497467896361204
capitalism,29.38778698670829
import_duties,29.086595253769687
trade_liberalisation,28.886542065729575
unfair_trade,28.70079333618208
competitive_devaluations,28.594714873776738
policies,28.53815836527412
american_clause,28.156530143290283
punitive_tariffs,27.89307387330558
steel_industry,27.753898751853292
undermine,27.60640042254946
american_provisions,27.317753538266746
countermeasures,27.083541604382717
mercantilist,26.766385834799838
developed_countries,26.67809249688584
trade_protectionism,26.617555554856377
friction,26.54768931820996
unilateralism,26.54478461553968
protectionist_policies,25.959860358055902
trade_imbalances,25.934991641720178
unilateral,25.546883006970077
import_restrictions,25.513297397400862
frictions,25.172033114341993
trade_disputes,25.167326196152167
liberalization,24.975393014112463
devaluations,24.38323168746641
cheap_steel,24.321639452867654
retaliatory_measures,23.93523906883817
slap,23.911172820772627
safeguard_measures,23.52403903555549
special_safeguard,23.293592401160243
populism,23.197993614229787
isolationism,23.092552553517013
pragmatic,23.074544435731976
undermining,22.99204148322837
punitive,22.91312928725684
freer,22.410340618921843
ustr's,22.131381386400083
isolationist,22.105251540812624
nationalistic,21.91685917217212
counterproductive,21.76020641693744
confrontational,21.591050155326588
protectionists,21.569820855897266
retaliate_against,21.39766870876318
interventionist,21.05166270695671
blanket_tariffs,20.899663381608576
stifle,20.84040195520949
sympathetic,20.484420167620872
harming,20.479228030799707
entrenched,20.065857406197484
blunt,19.982515899765676
unilateral_action,19.973375967123726
hefty_tariffs,19.831238189168396
lobbies,19.515417862136253
bashing,19.395564840867017
railed_against,19.230551930506252
strident,19.217261141666643
hypocritical,19.160847384367475
advocating,18.892267761405478
minister_bo,18.402643350696344
politically_sensitive,18.135180892899943
impose_punitive,17.972887342883634
irked,17.589950997719463
organization_wto,17.32291243466863
antagonistic,17.000340760418947
protectionist_tendencies,16.813766139484425
resisting,16.59173466485703
singling_out,16.588397090441095
tarriffs,14.252299113949126
economic_nationalism,13.175797010659169
chinese_tyres,11.803917267292523
nakasai,9.555771892655017
