,weight
sanctions,50.77904615552091
sanctions_against,49.43379978732101
arms_embargo,42.44297006023043
uranium_enrichment,41.09646396772596
nuclear_programme,39.98543220440586
impose_sanctions,39.69745566581486
nuclear_program,39.576581705592005
iran's_nuclear,39.098471604965034
asset_freezes,38.447630017824444
sanctions_imposed,37.64760277618201
nuclear_deal,37.348671172556365
punitive_measures,36.41271956590676
tehran's_nuclear,35.198621693302236
arms_inspectors,34.925811643589405
weapons_inspectors,34.45229308346477
enrichment,33.93474023459327
western_powers,33.455729723720765
sensitive_nuclear,33.25652677702094
tougher_sanctions,32.57666388453079
nuclear_arms,32.47956705532994
resolution,32.353402051799655
unilateral_sanctions,32.128479120398104
economic_sanctions,31.99830987582991
major_powers,31.144161859890115
world_powers,30.987059557911216
embargoes,30.311034777521478
sanctions_resolution,29.99169041495823
imposing_sanctions,29.848286207806233
western_diplomats,29.427872545320685
lift_sanctions,29.39997031330842
tehran's,29.16330643882085
nuclear_activities,29.070336334691458
security_council's,28.811577817713463
iaea_board,28.753360970139493
six_powers,28.544853161692693
smart_sanctions,28.51176734107566
travel_bans,28.383875755286383
envoys,28.080596081234653
targeted_sanctions,28.01115939069724
weapons_inspections,27.659587893467666
diplomats_say,27.454953755979957
sanction,27.338657932563255
lifting_sanctions,27.31811677026467
nuclear_ambitions,27.287439342283292
develop_nuclear,26.799622326098834
possible_sanctions,26.64923276143389
sanctions_regime,26.62609827098075
disputed_nuclear,26.505328184002714
arms_inspections,26.300938332852212
visa_restrictions,25.72207346614353
iranian_officials,25.644657487868386
trade_embargo,24.737603035945266
halt_enrichment,24.671736722987156
nuclear_fuel,24.446904070942697
france_russia,24.203768050953673
drafted_resolution,24.19010067645943
eu_diplomat,23.625917025810022
isolate_iran,23.56037999227461
blacklists,23.090266600495596
visa_bans,22.78109102398211
sponsoring_terrorism,22.613346895143973
retaliate_against,22.299069403191943
asset_freeze,22.226319491583116
western_governments,22.1350225687269
reimposed,22.106072372849244
targeting_iran's,21.94740111313445
punitive_action,21.845753316169034
sanctions_resolutions,21.39327205055709
sectoral_sanctions,21.199940209595088
reimpose,20.880414147971347
enrichment_work,20.695203881860472
sanctioning,20.345816179644554
penalise,20.19661139453603
tougher_measures,20.016518309737663
resolution_demanding,20.007040958817672
conventional_arms,19.90474203700492
resolution_condemning,19.768774471828333
unilateral_action,19.684174080231546
permanent_security,19.6430042920581
suspend_uranium,19.43920992292427
western_countries,19.360131203652752
western_nations,19.12643952719223
three_rounds,18.489834394979447
iranian_individuals,18.259371106997154
reimposing,18.047291558096312
embargo_against,17.944590855705925
business_lobbies,17.7224251055325
flout,17.600539450374278
ease_sanctions,17.59643940806821
iran's_case,16.951147840132204
russian_individuals,16.72152625589527
cooperate_with,16.49725171140094
iaea_resolution,16.41981362729626
toughened,15.46029164221706
bloody_crackdown,15.420728905381562
annex_crimea,11.853448117823675
further_isolate,11.602217177949807
punitive_steps,11.052053430957747
heavily_sanctioned,10.011928618063992
texas_prompt,7.473788692078729
