,weight
trade_war,62.69804975777084
trade_tensions,56.594521925393394
trade_dispute,47.08400665115738
tumble,44.737816991605946
stocks,43.9381012094406
rises,43.89733782288921
falls,43.85213541879586
worries,41.93548577079407
wall_street,40.439264461280466
tariffs,40.07493285815039
woes,39.77231558945214
upbeat,39.631024319363725
dips,39.424113389766184
slump,38.410062565886044
rebounds,38.29335647368631
escalating_trade,38.15012248561347
covid,37.9058232668641
stimulus,37.43160208003866
trade_spat,37.05873285697669
sino_trade,36.88214632881859
jitters,36.76837362592923
graphic,36.39611084523424
weigh,36.29048645726918
fears,35.74398285225819
tariff,35.321245774210716
hikes,35.148083994970534
biggest_economies,34.72589756343791
optimism,34.538358498514526
plunge,34.257551434088775
surge,34.22626298347582
cuts,33.92261603489142
jump,33.511997884511864
trade_conflict,33.40254539907683
dip,33.33365787248038
trade_frictions,33.04231842416199
fall,32.67401147597459
trade_wars,32.639859715911186
trading_partners,32.11684125393233
china,32.10153246041
rebound,31.873370255593894
gloom,31.033985285901412
bets,30.848114933068725
trade_disputes,30.28869585985691
slowdown,30.287620197208977
top_news,30.241408752302366
domestic_demand,30.05536514226057
amid,29.987776868815832
drag,29.890489898594208
tariff_threats,29.17764612213523
weak,28.877950614292182
retaliatory_tariffs,28.491792682379195
ease,28.013006108644078
climb,27.963101686866796
trade_friction,27.800213649331244
muted,27.735198731522157
cautious,27.69791556014729
slowing,27.684168046937316
caution,27.516670656194634
slap_tariffs,27.405124424376442
worry,27.382745173731085
wary,27.2747279790371
downbeat,27.27328665586158
gloomy,27.113019317906755
tariff_hike,27.01075791135177
subdued,27.00006462526462
boost,26.9917427717767
trade_truce,26.78395601612606
investor_sentiment,26.14021771979931
sino,26.10104563251261
edge,25.936963788899792
drop,25.693579669284198
lift,25.67842188312887
hit,25.430914914975354
fallout,25.401150006857964
tepid,24.977254766297246
retreat,24.231255534548424
sino_tensions,24.086334127983303
china's_commerce,24.04980505197665
protectionist_policies,23.037981044518677
slowing_growth,22.318811690346386
port_lockout,22.214288576198737
buoyant,22.06963883574367
protectionist_measures,21.631767690114497
dented,21.566228176070386
dampen,21.147034126359387
chinese_counterpart,21.13607453972437
dampened,20.849168467594954
dent,20.75561334835199
frictions,20.210564318682017
imposing_tariffs,20.089550349276667
imposed_tariffs,19.965382503796395
dampening,19.82320974283377
slapped_tariffs,19.679408114196463
import_levies,19.548147694956924
retaliatory_duties,19.063015187095658
faltering,17.566129132469772
denting,16.736739420756592
unsettled,15.915354438809448
receding,15.316642212986102
ratcheting,14.086600014035247
