Guided Topic Modeling
                    
Topic Size:            300.0                    
Gravity:               1.5                    
Positive seed words:   embargo arms_embargo                    
Negative seed words:   treaty  

#0   security_council               weight: 52.270
#1   sanctions_against              weight: 43.360
#2   sanctions                      weight: 41.822
#3   arms_embargo                   weight: 41.370
#4   nuclear_weapons                weight: 40.015
#5   draft_resolution               weight: 39.700
#6   asset_freezes                  weight: 35.696
#7   sanctions_imposed              weight: 34.876
#8   sanctions_relief               weight: 34.149
#9   arms_inspectors                weight: 33.881
#10  impose_sanctions               weight: 33.865
#11  nuclear_tests                  weight: 33.381
#12  civilian_goods                 weight: 33.158
#13  weapons_inspectors             weight: 33.048
#14  sensitive_nuclear              weight: 33.041
#15  embargo                        weight: 32.966
#16  punitive_measures              weight: 32.810
#17  arms_sales                     weight: 32.584
#18  resolution                     weight: 32.431
#19  nuclear_arms                   weight: 32.275
#20  iaea_board                     weight: 32.002
#21  resolutions                    weight: 31.905
#22  united_nations                 weight: 31.712
#23  dual_use                       weight: 31.549
#24  diplomats                      weight: 31.542
#25  iran_libya                     weight: 31.474
#26  permanent_members              weight: 31.204
#27  state_sponsors                 weight: 31.038
#28  nuclear_activities             weight: 30.816
#29  unilateral_sanctions           weight: 30.741
#30  nuclear_weapon                 weight: 30.586
#31  sanctions_resolution           weight: 30.586
#32  security_council's             weight: 30.420
#33  foreign_ministers              weight: 30.313
#34  imposed_sanctions              weight: 30.133
#35  tougher_sanctions              weight: 29.914
#36  military_action                weight: 29.901
#37  economic_sanctions             weight: 29.418
#38  britain_france                 weight: 29.059
#39  non_proliferation              weight: 29.059
#40  major_powers                   weight: 29.043
#41  western_powers                 weight: 29.021
#42  lift_sanctions                 weight: 28.755
#43  tehran's                       weight: 28.602
#44  missile_programs               weight: 28.525
#45  nuclear_ambitions              weight: 28.434
#46  disputed_nuclear               weight: 28.381
#47  smart_sanctions                weight: 28.089
#48  veto_wielding                  weight: 28.017
#49  sanctions_regime               weight: 27.999
#50  council_members                weight: 27.883
#51  international_community        weight: 27.334
#52  lifting_sanctions              weight: 27.324
#53  helms_burton                   weight: 27.030
#54  atomic_weapons                 weight: 27.020
#55  develop_nuclear                weight: 26.935
#56  disarmament                    weight: 26.849
#57  european_union                 weight: 26.656
#58  imposing_sanctions             weight: 26.632
#59  council_resolution             weight: 26.601
#60  islamic_republic               weight: 26.573
#61  embargoes                      weight: 26.529
#62  targeted_sanctions             weight: 26.383
#63  weapons_inspections            weight: 26.329
#64  nuclear_pact                   weight: 26.276
#65  veto                           weight: 26.261
#66  possible_sanctions             weight: 26.044
#67  envoys                         weight: 25.978
#68  diplomatic_ties                weight: 25.931
#69  council_resolutions            weight: 25.907
#70  western_diplomats              weight: 25.671
#71  travel_bans                    weight: 25.591
#72  sanctions_targeting            weight: 25.521
#73  drafted_resolution             weight: 25.496
#74  missile_programme              weight: 25.475
#75  five_permanent                 weight: 25.409
#76  ban                            weight: 25.389
#77  sudan                          weight: 25.354
#78  invaded_kuwait                 weight: 25.343
#79  nuclear                        weight: 25.318
#80  arms_inspections               weight: 25.096
#81  visa_restrictions              weight: 25.044
#82  iranian_officials              weight: 24.929
#83  terrorism                      weight: 24.842
#84  civilian_nuclear               weight: 24.824
#85  nuclear_programmes             weight: 24.797
#86  military_intervention          weight: 24.567
#87  magnitsky_act                  weight: 24.567
#88  veto_power                     weight: 24.438
#89  missile_programmes             weight: 24.078
#90  nuclear_proliferation          weight: 24.076
#91  serious_consequences           weight: 24.039
#92  nuclear_powers                 weight: 23.859
#93  atomic                         weight: 23.810
#94  nuclear_bomb                   weight: 23.745
#95  impose                         weight: 23.641
#96  halt_enrichment                weight: 23.561
#97  rights_abuses                  weight: 23.455
#98  powers                         weight: 23.417
#99  resolution_adopted             weight: 23.372
#100 nuclear_cooperation            weight: 23.314
#101 sponsoring_terrorism           weight: 23.312
#102 assad's_government             weight: 23.055
#103 former_lebanese                weight: 23.021
#104 sanctions_resolutions          weight: 22.869
#105 louis_charbonneau              weight: 22.822
#106 trade_embargo                  weight: 22.726
#107 france_russia                  weight: 22.706
#108 proliferators                  weight: 22.613
#109 nuclear_fuel                   weight: 22.607
#110 diplomats_say                  weight: 22.593
#111 diplomatic_relations           weight: 22.417
#112 guard_corps                    weight: 22.315
#113 sanction                       weight: 22.044
#114 countermeasures                weight: 22.028
#115 unilateral                     weight: 21.863
#116 council_diplomats              weight: 21.760
#117 anti_terrorism                 weight: 21.683
#118 weapons_programmes             weight: 21.604
#119 proliferation                  weight: 21.592
#120 punitive_action                weight: 21.575
#121 peaceful_nuclear               weight: 21.434
#122 weapons_programme              weight: 21.388
#123 blacklists                     weight: 21.311
#124 targeting_iran's               weight: 21.202
#125 weapons_programs               weight: 21.164
#126 enrichment_work                weight: 21.141
#127 visa_bans                      weight: 21.136
#128 eu_diplomat                    weight: 21.098
#129 terrorist_groups               weight: 21.050
#130 western_sanctions              weight: 21.027
#131 russia                         weight: 21.013
#132 arab_allies                    weight: 20.813
#133 jcpoa                          weight: 20.779
#134 diplomatic_efforts             weight: 20.768
#135 peaceful_purposes              weight: 20.692
#136 reimposed                      weight: 20.685
#137 oil_embargo                    weight: 20.678
#138 resolution_demanding           weight: 20.615
#139 military_force                 weight: 20.580
#140 conventional_arms              weight: 20.272
#141 reimpose_sanctions             weight: 20.213
#142 guofang                        weight: 20.203
#143 suspend_enrichment             weight: 20.192
#144 iranian_individuals            weight: 20.106
#145 dangerous_weapons              weight: 20.067
#146 missile_program                weight: 19.991
#147 libyan_leader                  weight: 19.948
#148 made_clear                     weight: 19.929
#149 sanctions_aimed                weight: 19.809
#150 resolution_condemning          weight: 19.781
#151 iraqi_crude                    weight: 19.746
#152 military_strikes               weight: 19.744
#153 retaliate_against              weight: 19.468
#154 arms_inspection                weight: 19.456
#155 bilateral_talks                weight: 19.324
#156 permanent_security             weight: 19.220
#157 ease_sanctions                 weight: 19.208
#158 tougher_measures               weight: 19.205
#159 france_britain                 weight: 19.130
#160 asset_freeze                   weight: 19.099
#161 resolution's                   weight: 19.096
#162 three_rounds                   weight: 19.091
#163 international_terrorism        weight: 19.032
#164 cyber_retaliation              weight: 18.984
#165 sectoral_sanctions             weight: 18.821
#166 restrictions                   weight: 18.798
#167 unilateral_action              weight: 18.738
#168 lyall_grant                    weight: 18.676
#169 retaliatory                    weight: 18.515
#170 arms_exports                   weight: 18.416
#171 suspend_uranium                weight: 18.403
#172 action_against                 weight: 18.247
#173 resolution_calling             weight: 18.234
#174 violent_crackdown              weight: 18.155
#175 consequences_if                weight: 18.047
#176 embargo_against                weight: 18.044
#177 fissile                        weight: 17.945
#178 imposing                       weight: 17.928
#179 binding_resolution             weight: 17.920
#180 terrorist_activities           weight: 17.700
#181 wmd                            weight: 17.601
#182 punitive                       weight: 17.548
#183 highly_enriched                weight: 17.547
#184 stopped_short                  weight: 17.354
#185 diplomatic_pressure            weight: 17.317
#186 sweeping_sanctions             weight: 17.313
#187 accused_syria                  weight: 17.187
#188 nuclear_accord                 weight: 17.157
#189 sanctioning                    weight: 17.138
#190 civilian_purposes              weight: 17.120
#191 iaea_resolution                weight: 17.041
#192 western_governments            weight: 16.879
#193 reimpose                       weight: 16.848
#194 troops_invaded                 weight: 16.752
#195 syrian_regime                  weight: 16.713
#196 western_allies                 weight: 16.462
#197 halt_sensitive                 weight: 16.433
#198 unilaterally                   weight: 16.411
#199 iran's_case                    weight: 16.250
#200 tightened_sanctions            weight: 16.232
#201 reimposing                     weight: 16.196
#202 punish                         weight: 16.160
#203 penalise                       weight: 16.120
#204 syria's_ambassador             weight: 16.101
#205 western_nations                weight: 16.056
#206 enrichment_activities          weight: 16.012
#207 democratic_reforms             weight: 15.987
#208 isolate                        weight: 15.927
#209 main_ally                      weight: 15.880
#210 syrian_government's            weight: 15.824
#211 bloody_crackdown               weight: 15.772
#212 militarily                     weight: 15.681
#213 cars_alcohol                   weight: 15.613
#214 conventional_weapons           weight: 15.580
#215 restrict                       weight: 15.532
#216 western_countries              weight: 15.516
#217 crippling_sanctions            weight: 15.452
#218 resolutions_condemning         weight: 15.374
#219 syria_accountability           weight: 15.352
#220 accept_any                     weight: 15.312
#221 counter_productive             weight: 15.307
#222 bomb_grade                     weight: 15.247
#223 reimposition                   weight: 15.169
#224 civilian_atomic                weight: 15.154
#225 punish_moscow                  weight: 15.098
#226 prohibitions                   weight: 15.094
#227 arming                         weight: 15.041
#228 terrorist_acts                 weight: 15.011
#229 four_rounds                    weight: 14.793
#230 nuclear_chemical               weight: 14.668
#231 washington_accuses             weight: 14.668
#232 military_uses                  weight: 14.651
#233 weapons_capability             weight: 14.490
#234 expel                          weight: 14.228
#235 flout                          weight: 13.812
#236 longtime_ally                  weight: 13.586
#237 vetoing                        weight: 13.562
#238 destabilize                    weight: 13.217
#239 prohibition                    weight: 13.162
#240 contravene                     weight: 13.159
#241 counterproductive              weight: 13.051
#242 russian_individuals            weight: 12.971
#243 toughened                      weight: 12.807
#244 sensitive_atomic               weight: 12.714
#245 develop_atomic                 weight: 12.559
#246 inspection_regime              weight: 12.558
#247 punish_foreign                 weight: 12.527
#248 resolution_imposing            weight: 12.361
#249 embargo_imposed                weight: 12.214
#250 separate_resolution            weight: 12.172
#251 penalize                       weight: 12.088
#252 wider_effort                   weight: 11.799
#253 isolate_tehran                 weight: 11.796
#254 chapter_resolution             weight: 11.742
#255 economic_incentives            weight: 11.740
#256 destabilizing_activities       weight: 11.621
#257 jpoa                           weight: 11.559
#258 sheikhzadeh                    weight: 11.175
#259 strongly_opposed               weight: 11.168
#260 punitive_steps                 weight: 11.005
#261 further_isolate                weight: 10.906
#262 sending_weapons                weight: 10.876
#263 iran's_failure                 weight: 10.729
#264 produce_fuel                   weight: 10.694
#265 heavily_sanctioned             weight: 10.585
#266 purely_peaceful                weight: 10.462
#267 houla_massacre                 weight: 10.403
#268 annex_crimea                   weight: 10.274
#269 draft_sanctions                weight: 10.183
#270 cisada                         weight: 10.000
#271 purifies_uranium               weight: 9.955
#272 reservations_about             weight: 9.819
#273 elite_qods                     weight: 9.674
#274 harboring                      weight: 9.638
#275 flagrant_rights                weight: 9.135
#276 diplomatic_sanctions           weight: 9.031
#277 temporarily_allow              weight: 8.978
#278 militants_crossing             weight: 8.957
#279 council_diplomat               weight: 8.890
#280 aiding_iran's                  weight: 8.704
#281 stop_enrichment                weight: 8.680
#282 blacklisted_iranian            weight: 8.578
#283 specific_iranian               weight: 8.131
#284 already_enforces               weight: 8.085
#285 outlaw_policies                weight: 8.065
#286 iran_violates                  weight: 8.053
#287 playing_tricks                 weight: 8.049
#288 yachts_racing                  weight: 8.007
#289 oasis_group                    weight: 7.737
#290 showed_disturbing              weight: 7.722
#291 centrifuges_iran               weight: 7.248
#292 previously_declared            weight: 7.178
#293 accused_damascus               weight: 7.143
#294 discourage                     weight: 7.116
#295 fiercely_opposed               weight: 6.896
#296 toys_globally                  weight: 6.524
#297 texas_prompt                   weight: 6.193
#298 sarah_leah                     weight: 5.482
#299 banning_transfers              weight: 5.476
