,weight
retaliation,45.83459393628598
retaliate,44.492259896115726
retaliatory,38.74524344340774
impose_tariffs,35.99401121509037
impose,35.93754981949364
escalation,34.42889392548622
duties,34.06987653715039
retaliatory_tariffs,33.607185149610906
countermeasures,33.22208293546022
retaliate_against,31.141783895546432
defend_itself,31.016591305260395
threatened,30.280885116940684
impose_sanctions,29.61125535669401
protectionist,29.416232258568595
slap_tariffs,28.73197306025437
unilateral,28.595934312559592
import_tariffs,28.152186318399252
aggression,28.102081167246897
slap,28.079828752448158
imposing,27.82202620581762
tensions_between,27.798408108060332
condemned,27.51060678096793
provocation,26.698461031689902
confrontation,26.679808671679595
escalate,26.62713509647425
defend,26.57819987909733
punitive,26.387523370886093
retaliatory_measures,26.147863009052312
blackmail,25.82780222433851
provocations,25.27286481538524
threat,25.236624282875653
retaliated,25.150293908203686
counter_measures,24.953196839194167
threats,24.945419805771458
provocative,24.774654078797635
imported_steel,24.685848960473766
lamb_imports,24.64837228513143
serious_consequences,24.644229120537528
unilaterally,24.361261783509864
harm,24.314982433861683
slapped,24.183684980274418
punitive_tariffs,24.074495208656934
into_effect,24.0493314510549
condemnation,23.883582366583017
punish,23.821998688062084
imposition,23.77023175549266
ruled_out,23.49071757973595
strikes,23.309839330318997
extra_duty,23.185240520541395
threatening,23.084617723772382
invade,22.906336521428685
accept,22.895993768371113
provoke,22.785976541329838
anti_subsidy,22.77212309580602
flax_yarn,22.74727472608096
aluminium_imports,22.678104720208022
pre_emptive,22.579589262698867
de_escalate,22.527254022237376
attacks,22.134447240408534
protectionist_measures,22.105198399273547
sanction,22.03824138600875
dumping,21.98186463661618
restraint,21.975419015288065
unacceptable,21.949360106755982
punitive_measures,21.9409522546742
imported_cars,21.83010907820082
inflict,21.629896217960468
escalating,21.571102643472855
hostilities,21.530723901022707
unjustified,21.513582963649043
imposing_sanctions,21.41168434779817
punitive_duties,21.411026293399267
pretext,21.27102718348973
abide_by,21.226713487218653
interfere,21.17796618930439
trade_imbalances,20.98865568683969
additional_duties,20.950889730956025
has_repeatedly,20.83705371305602
threaten,20.81438998560636
take_unspecified,20.751853345501
trade_sanctions,20.711387633228945
impose_reciprocal,20.663125884977035
fast_death,20.635407392764463
clothing_imports,20.61933337365657
restrict,20.589475561166356
disrupt,20.567180475700372
unilateral_action,20.563461512954394
unprovoked,20.418122072761662
not_tolerate,20.36878020850003
tariffs_imposed,20.342736102870877
coercion,20.2306898928582
reprisals,20.158503224092858
insisted,20.11182730052817
destabilise,20.05395532369109
impose_duties,19.942140936348373
condemning,19.850145712210537
escalated,19.810079979162854
tolerate,19.68480588124832
reciprocal,19.683315955068732
retaliating,19.633487330405632
import_levies,19.455955590955742
provocative_actions,19.31113652559688
escalatory,19.302865088105765
friction,19.270564180213466
diplomatically,19.2417161710041
confrontation_between,19.20004340213881
de_escalation,19.023169182711637
deter,19.01736590705254
counterproductive,18.943333227444743
missile_strikes,18.90410226823123
stop,18.852210903556053
incursions,18.7888494417182
inflame,18.77409825338227
show_restraint,18.743254861762328
doubted,18.737044734419925
