,weight
huawei_technologies,46.742777075771734
hikvision,43.39456746589226
zte,42.29327598826103
entity_list,39.81256312221266
dahua,36.737074063332095
blacklist,30.819513124061878
muslim_minorities,29.214179151814225
uighurs,26.755091668855382
megvii,26.71405632127732
smic,26.497381270904345
chinese_telecom,25.36089517255198
zte's,24.821982272118383
uei,24.562910212344082
goertek,24.019988508754064
uyghur,23.82375834533925
zhongwang,23.59100601137739
semiconductor_manufacturing,23.54104722894453
uighur_muslims,22.613660168821063
ymtc,22.2665363535572
fujian_jinhua,21.87004036586576
security_bureaus,21.345746137203367
digitimes,21.215333952347564
inspur,20.690252180930262
sasac,20.17087991665666
hesai,20.0214807842885
jinhui,19.708168275648315
vimicro,19.0269384832457
qiao,18.804636689632332
ieee,18.713094976529877
yuen,18.633780520857073
blacklisting,18.55683916850698
iflytek,18.427696102992567
miit,18.297187852734154
changxin,18.06264283160189
unreliable_entities,17.627431268507014
quectel,17.0483942240227
order_prohibiting,16.603621552600146
hangzhou_hikvision,16.525777625253987
universal_electronics,16.34006913659001
hanny,16.106134607746
lop_county,15.986215176260975
microfluidic,15.93290489457071
xuzhou,15.332300397841692
military_purposes,15.327424648928112
cgpc,14.620145898337505
mistaken_behavior,14.582463335180258
xtal,14.573288302042524
scif,14.486841908197835
vianet_group,14.156421149038211
optoelectronic,14.09210087927816
autel,13.904807791235232
design_automation,13.827374554732499
morgenthaler,13.769579511675921
importer's,13.752623215841096
export_ban,13.610293260158599
shinkong,13.5710444900008
casc,13.396078381846753
naura,13.322799926125093
internal_networks,13.25708967814659
kaifa,13.043499050504284
cecc,12.925510100684898
nudt,12.477759519000093
ashtari,12.451056652477712
hikvision's,12.353776053155027
acquiring_components,12.288460193785285
uflpa,12.035793205992887
xiamen_meiya,12.01740500248252
deutch's,11.736467137725192
zhejiang_dahua,11.40929053914733
accelerometers,10.869926671352372
netposa,10.813235097265151
supercomputing_systems,10.765608025597148
ztesec,10.688858655580205
secretary_gina,10.669320301316448
ethane_producers,10.576581530855417
xiongmai,10.546899382800845
csac,10.42983632815339
uei's,10.372338316352026
phytium,10.104249719767358
pegatron's,9.998716796019998
formida,9.198066204215076
ziatech,9.114291994956607
yitu,9.066909851624073
cetc,8.957952320564193
candiru,8.95231933822534
cadence_synopsys,8.86976333339072
zi's,8.708182236819546
tongrun,8.122117540502437
vectrawave,8.08181052831869
xinsheng,7.975224411919779
netlist's,7.703871352755003
sz_dji,7.6214244448091835
shao's,7.576352338481321
sunsea,7.52626462308366
generalizing,7.342887483527059
tot's,7.322665952855985
spsc,6.904801329494126
decodes,6.8366486415744
mediasite,5.828964990007503
gimbal,5.202203856087384
