,weight
sanctions,50.785128838937844
sanctions_against,49.45961200251029
arms_embargo,42.40223601930435
uranium_enrichment,40.97120543853637
nuclear_programme,39.95319939179597
embargo,39.94329690368189
impose_sanctions,39.84613991004594
nuclear_program,39.60456244385859
iran's_nuclear,39.215152409572276
asset_freezes,38.43685623506753
sanctions_imposed,37.731886340860484
nuclear_deal,37.38735268851139
iran_libya,36.42534821403014
punitive_measures,36.359109558745
arms_inspectors,35.294886921139955
tehran's_nuclear,35.26079581136991
weapons_inspectors,34.72653013021878
western_powers,33.362808937306326
sensitive_nuclear,33.077154228063584
resolution,32.59152662371929
nuclear_arms,32.51871571408503
tougher_sanctions,32.47446709793562
unilateral_sanctions,32.129641621405156
economic_sanctions,32.046942045862714
major_powers,30.979454485187656
embargoes,30.349310407091036
imposing_sanctions,29.98830916109118
sanctions_resolution,29.77682527138607
lift_sanctions,29.412251839474717
western_diplomats,29.21990963018986
tehran's,29.19401077537751
security_council's,28.816515042807143
nuclear_activities,28.80623044345902
iaea_board,28.52019006830012
smart_sanctions,28.443151525328982
travel_bans,28.371379606683963
envoys,28.190339937964072
targeted_sanctions,28.089070652134385
weapons_inspections,27.844111640035077
diplomats_say,27.37352693167777
lifting_sanctions,27.359807151160204
sanction,27.356332148510354
nuclear_ambitions,27.2926838625567
disputed_nuclear,26.73588896164373
sanctions_regime,26.653171455347618
possible_sanctions,26.57203319131827
unilateral,26.520212345328687
arms_inspections,26.37794262164807
visa_restrictions,25.608466751022767
iranian_officials,25.545470969668322
trade_embargo,25.31529234730257
halt_enrichment,24.41369813849213
france_russia,24.137425220879813
drafted_resolution,23.98134038320178
eu_diplomat,23.46387611582385
isolate_iran,23.413756395115335
blacklists,23.032378963966185
visa_bans,22.77503791964539
retaliate_against,22.709499159441698
sponsoring_terrorism,22.61668430843226
punitive,22.274019454614162
reimposed,22.26812273700234
western_governments,22.1577272318098
asset_freeze,22.06327191343226
targeting_iran's,21.902632116285382
unilaterally,21.84178784526543
punitive_action,21.82598650161249
sanctions_resolutions,21.30173127895015
secondary_sanctions,21.230951323877562
sectoral_sanctions,21.184542758949856
action_against,20.928208406128277
reimpose,20.870848486458957
isolate,20.38958365501838
sanctioning,20.314466909959897
penalise,20.299549833887934
tougher_measures,20.015511428735405
conventional_arms,19.917010233496168
resolution_demanding,19.911201088196787
resolution_condemning,19.88945514545658
unilateral_action,19.794569360078746
permanent_security,19.605737120934656
western_countries,19.43310659016295
suspend_uranium,19.36239443277275
western_nations,19.13707194088792
reimposing,18.081474220975014
embargo_against,18.027043698015746
business_lobbies,18.0047222951456
punish_moscow,17.990132506402738
counter_productive,17.84568523287543
ease_sanctions,17.693671008640962
flout,17.608265107836814
iran's_case,16.899570988629787
russian_individuals,16.78861692230296
iaea_resolution,16.101468887233217
toughened,15.478275159571416
annex_crimea,11.982540688550435
further_isolate,11.482786174507
punitive_steps,11.094960474940226
heavily_sanctioned,10.010887757831
texas_prompt,7.451892207854981
