date,n_articles,n_gep_articles,GEP_daily
1996-01-01,30,5,0.16666666666666666
1996-01-02,374,19,0.05080213903743316
1996-01-03,497,11,0.022132796780684104
1996-01-04,562,17,0.030249110320284697
1996-01-05,530,35,0.0660377358490566
1996-01-06,43,1,0.023255813953488372
1996-01-07,60,9,0.15
1996-01-08,513,32,0.06237816764132553
1996-01-09,609,8,0.013136288998357963
1996-01-10,578,29,0.050173010380622836
1996-01-11,628,22,0.03503184713375796
1996-01-12,455,23,0.05054945054945055
1996-01-13,63,5,0.07936507936507936
1996-01-14,48,2,0.041666666666666664
1996-01-15,379,8,0.021108179419525065
1996-01-16,822,40,0.04866180048661801
1996-01-17,889,30,0.03374578177727784
1996-01-18,826,34,0.04116222760290557
1996-01-19,588,12,0.02040816326530612
1996-01-20,170,19,0.11176470588235295
1996-01-21,84,20,0.23809523809523808
1996-01-22,611,28,0.04582651391162029
1996-01-23,775,42,0.05419354838709677
1996-01-24,792,35,0.04419191919191919
1996-01-25,976,51,0.05225409836065574
1996-01-26,501,16,0.031936127744510975
1996-01-27,52,8,0.15384615384615385
1996-01-28,63,15,0.23809523809523808
1996-01-29,514,19,0.03696498054474708
1996-01-30,739,37,0.05006765899864682
1996-01-31,889,26,0.02924634420697413
1996-02-01,936,47,0.050213675213675216
1996-02-02,718,26,0.036211699164345405
1996-02-03,12,0,0.0
1996-02-04,45,6,0.13333333333333333
1996-02-05,573,35,0.06108202443280977
1996-02-06,851,35,0.041128084606345476
1996-02-07,949,38,0.040042149631190724
1996-02-08,1139,43,0.03775241439859526
1996-02-09,747,51,0.06827309236947791
1996-02-10,32,8,0.25
1996-02-11,53,6,0.11320754716981132
1996-02-12,666,16,0.024024024024024024
1996-02-13,995,23,0.023115577889447236
1996-02-14,867,44,0.05074971164936563
1996-02-15,1213,45,0.03709810387469085
1996-02-16,745,32,0.042953020134228186
1996-02-17,42,3,0.07142857142857142
1996-02-18,60,21,0.35
1996-02-19,211,21,0.0995260663507109
1996-02-20,611,17,0.027823240589198037
1996-02-21,768,38,0.049479166666666664
1996-02-22,594,37,0.06228956228956229
1996-02-23,690,18,0.02608695652173913
1996-02-24,21,4,0.19047619047619047
1996-02-25,42,1,0.023809523809523808
1996-02-26,567,30,0.05291005291005291
1996-02-27,809,36,0.04449938195302843
1996-02-28,793,26,0.03278688524590164
1996-02-29,733,33,0.045020463847203276
1996-03-01,493,15,0.030425963488843813
1996-03-02,31,4,0.12903225806451613
1996-03-03,32,5,0.15625
1996-03-04,593,17,0.02866779089376054
1996-03-05,643,11,0.017107309486780714
1996-03-06,688,26,0.0377906976744186
