month,n_articles,n_gep_articles,GEP_monthly
1996-01,14660,658,0.04488403819918144
1996-02,16482,740,0.04489746390001213
1996-03,15809,960,0.06072490353596053
1996-04,13907,888,0.06385273603221399
1996-05,15659,1060,0.06769270068331311
1996-06,12057,755,0.06261922534627187
1996-07,16485,889,0.053927813163481955
1996-08,14237,714,0.050151014961017065
1996-09,15713,1075,0.06841468847451156
1996-10,18520,802,0.043304535637149026
1996-11,15809,927,0.05863748497691189
1996-12,15778,787,0.04987957916085689
1997-01,16632,783,0.04707792207792208
1997-02,18372,938,0.05105595471369475
1997-03,18284,1088,0.05950557864799825
1997-04,20961,1052,0.0501884452077668
1997-05,20370,858,0.04212076583210604
1997-06,20615,963,0.04671355808877031
1997-07,22935,992,0.04325267059080009
1997-08,22577,1023,0.045311600301191475
1997-09,24069,1111,0.04615895965765092
1997-10,32481,1850,0.056956374495859115
1997-11,28355,2078,0.07328513489684359
1997-12,26369,1662,0.0630285562592438
1998-01,24140,1746,0.07232808616404308
1998-02,19484,1872,0.09607883391500718
1998-03,40680,2060,0.05063913470993117
1998-04,40186,1959,0.04874832031055591
1998-05,39917,2808,0.07034596788335797
1998-06,39008,2829,0.07252358490566038
1998-07,36389,1974,0.05424716260408365
1998-08,37034,2135,0.057649727277636766
1998-09,35477,2411,0.06795952307128562
1998-10,41680,2727,0.06542706333973129
1998-11,36190,2757,0.07618126554296767
1998-12,31343,2502,0.07982643652490189
1999-01,34461,2175,0.06311482545486202
1999-02,35806,1951,0.054488074624364634
1999-03,40475,2638,0.06517603458925263
1999-04,39468,2691,0.06818181818181818
1999-05,34229,2436,0.07116772327558503
1999-06,34862,2237,0.06416728816476393
1999-07,34521,2084,0.06036905072274847
1999-08,28965,1626,0.05613671672708441
1999-09,28577,1998,0.06991636630856983
1999-10,30621,1562,0.05101074426047484
1999-11,29044,1979,0.06813799752100262
1999-12,25322,1703,0.06725377142405813
2000-01,28752,1582,0.05502225932109071
2000-02,30404,2062,0.06782002368109459
2000-03,27873,2088,0.07491120439134646
2000-04,25521,1783,0.06986403354100544
2000-05,27406,2088,0.07618769612493614
2000-06,26490,1746,0.06591166477916195
2000-07,26813,1817,0.0677656360720546
2000-08,26037,1500,0.05761032377001959
2000-09,26778,2613,0.09758010306968407
2000-10,30085,2577,0.08565730430447066
2000-11,27655,2488,0.0899656481648888
2000-12,3819,314,0.08222047656454569
2001-01,29929,1916,0.06401817635069665
2001-02,27485,2159,0.07855193742041114
2001-03,27739,1951,0.07033418652438804
2001-04,21271,1679,0.07893375957876922
2001-05,27131,1996,0.0735689801334267
2001-06,30344,2386,0.07863168995518059
2001-07,31482,2525,0.08020456133663681
2001-08,27497,2109,0.0766992762846856
2001-09,32372,4183,0.12921660694427284
2001-10,36349,3579,0.09846213100773062
2001-11,29831,2735,0.09168314840266836
2001-12,24282,2084,0.08582489086566181
2002-01,26941,2045,0.07590661074199176
2002-02,26939,2049,0.07606072979694867
2002-03,26648,2660,0.09981987391173822
2002-04,28980,2489,0.08588681849551415
2002-05,26560,2581,0.0971762048192771
2002-06,25162,2108,0.08377712423495748
2002-07,30142,2237,0.07421538053214784
