month,n_articles,n_gep_articles,GEP_monthly
1996-01,14660,279,0.01903137789904502
1996-02,16482,444,0.02693847834000728
1996-03,15809,456,0.02884432917958125
1996-04,13907,418,0.030056805925073704
1996-05,15659,627,0.04004087106456351
1996-06,12057,414,0.03433689972630007
1996-07,16485,556,0.03372763117986048
1996-08,14237,398,0.02795532766734565
1996-09,15713,605,0.038503150257748364
1996-10,18520,410,0.022138228941684664
1996-11,15809,477,0.03017268644443039
1996-12,15778,383,0.0242743059956902
1997-01,16632,384,0.023088023088023088
1997-02,18372,371,0.02019377313302852
1997-03,18284,482,0.026361846423102166
1997-04,20961,462,0.022040933161585802
1997-05,20370,390,0.01914580265095729
1997-06,20615,361,0.017511520737327188
1997-07,22935,492,0.02145192936559843
1997-08,22577,499,0.022102139345351463
1997-09,24069,501,0.02081515642527733
1997-10,32481,1079,0.033219420584341616
1997-11,28355,1173,0.041368365367660025
1997-12,26369,809,0.030679965110546475
1998-01,24140,866,0.03587406793703397
1998-02,19484,1026,0.05265859166495586
1998-03,40680,1211,0.029768928220255654
1998-04,40186,944,0.023490767929129547
1998-05,39917,1667,0.04176165543502768
1998-06,39008,1479,0.03791529942575882
1998-07,36389,944,0.025941905520899172
1998-08,37034,1141,0.030809526381163254
1998-09,35477,1124,0.031682498520167995
1998-10,41680,1253,0.030062380038387716
1998-11,36190,1586,0.04382426084553744
1998-12,31343,1429,0.04559231726382287
1999-01,34461,1236,0.035866631844694005
1999-02,35806,941,0.026280511646092835
1999-03,40475,1388,0.03429277331686226
1999-04,39468,1406,0.03562379649336171
1999-05,34229,1184,0.03459055187122031
1999-06,34862,969,0.02779530721129023
1999-07,34521,988,0.028620260131514152
1999-08,28965,686,0.02368375625755222
1999-09,28577,946,0.03310354480876229
1999-10,30621,785,0.025636001436922372
1999-11,29044,973,0.03350089519349952
1999-12,25322,872,0.03443645841560698
2000-01,28752,748,0.026015581524763496
2000-02,30404,1149,0.037791080121036706
2000-03,27873,1061,0.03806551142682883
2000-04,25521,717,0.028094510403197367
2000-05,27406,1022,0.03729110413778005
2000-06,26490,892,0.03367308418271046
2000-07,26813,908,0.0338641703651214
2000-08,26037,647,0.024849252986135117
2000-09,26778,1320,0.049294196728657855
2000-10,30085,1410,0.04686720957287685
2000-11,27655,1436,0.051925510757548365
2000-12,3819,150,0.03927729772191673
2001-01,29929,928,0.031006715894283138
2001-02,27485,1135,0.04129525195561215
2001-03,27739,948,0.034175709290169075
2001-04,21271,730,0.0343190259038127
2001-05,27131,966,0.03560502745936383
2001-06,30344,1326,0.04369891906142895
2001-07,31482,1268,0.04027698367321009
2001-08,27497,1000,0.03636760373858967
2001-09,32372,2427,0.07497219819597183
2001-10,36349,1697,0.04668629123222097
2001-11,29831,1306,0.043779960443833595
2001-12,24282,986,0.04060621036158471
2002-01,26941,980,0.03637578412085669
2002-02,26939,1036,0.03845725528044842
2002-03,26648,1494,0.056064244971480034
2002-04,28980,1409,0.04861973775017253
2002-05,26560,1308,0.04924698795180723
2002-06,25162,1052,0.041809077179874414
2002-07,30142,1061,0.035200053082078166
2002-08,24521,1088,0.04437013172382855
2002-09,25004,2011,0.08042713165893457
2002-10,28968,1660,0.057304611985639325
2002-11,23387,1511,0.064608543207765
2002-12,22774,1427,0.06265917274084483
2003-01,36166,2163,0.05980755405629597
2003-02,36732,2681,0.0729881302406621
2003-03,42500,2608,0.06136470588235294
2003-04,39593,1621,0.04094158058242619
2003-05,39745,1376,0.034620707007170716
2003-06,40212,899,0.022356510494379787
2003-07,45245,890,0.0196706818432976
2003-08,38029,888,0.023350600857240528
2003-09,44426,1193,0.026853644262368883
2003-10,46207,1150,0.024888003982080638
2003-11,40417,1179,0.029170893435930427
2003-12,42493,1074,0.02527475113548114
2004-01,40748,855,0.020982624914106213
2004-02,44059,948,0.021516602737238703
2004-03,50203,1128,0.022468776766328705
2004-04,46079,1021,0.022157598906226265
2004-05,41616,829,0.019920222991157248
2004-06,43086,1050,0.02436986492132015
2004-07,47030,911,0.019370614501382097
2004-08,44796,857,0.019131172426109472
2004-09,42145,1063,0.025222446316289
2004-10,46291,946,0.020435937871292477
2004-11,43666,1216,0.02784775340081528
2004-12,41373,789,0.01907040823725618
2005-01,45855,951,0.020739286882564607
2005-02,45591,1022,0.02241670505143559
2005-03,52231,1050,0.020103003963163637
2005-04,51594,818,0.015854556731402875
2005-05,47545,879,0.018487748448837944
2005-06,52155,1127,0.021608666474930496
2005-07,49615,703,0.014169102086062682
2005-08,49809,857,0.017205725872834227
2005-09,52934,1272,0.024029924056372085
2005-10,56929,939,0.0164942296544819
2005-11,53901,849,0.015751099237490955
2005-12,49667,834,0.016791833611854955
2006-01,55260,1623,0.029370249728555918
2006-02,54391,1218,0.02239341067456013
2006-03,61998,1484,0.02393625600825833
2006-04,54835,1453,0.02649767484270995
2006-05,62521,1603,0.02563938516658403
2006-06,62037,1405,0.022647774715089383
2006-07,59888,1895,0.0316423991450708
2006-08,63581,1802,0.02834180022333716
2006-09,55445,1670,0.03011993867796916
2006-10,67441,1521,0.022553046366453642
2006-11,65186,1025,0.015724235265241002
2006-12,53432,1075,0.02011902979487947
2007-01,61201,881,0.014395189621084622
2007-02,61967,1302,0.021011183371794664
2007-03,66997,1606,0.02397122259205636
2007-04,65359,1095,0.0167536223014428
2007-05,69565,1213,0.017436929490404658
2007-06,65446,1132,0.017296702625064938
2007-07,66971,1012,0.015111018201908289
2007-08,67673,883,0.013048039838635792
2007-09,59630,1194,0.020023478115042764
2007-10,77416,1601,0.020680479487444454
2007-11,69743,1157,0.016589478513972727
2007-12,54979,847,0.015405882245948454
2008-01,74104,1120,0.015113893986829321
2008-02,71352,1246,0.01746272003587846
2008-03,72364,1097,0.015159471560444419
2008-04,77856,1189,0.015271783806000822
2008-05,73028,1079,0.014775154735170071
2008-06,71855,1520,0.021153712337346045
2008-07,82969,1554,0.01872988706625366
2008-08,71438,1141,0.015971891710294242
2008-09,90255,1570,0.01739515816298266
2008-10,110199,1383,0.012550023139955898
2008-11,84723,1106,0.013054306386695467
2008-12,78137,1125,0.014397788499686448
2009-01,81835,1061,0.012965112726828374
2009-02,85939,966,0.011240531074366702
2009-03,95840,1407,0.014680717863105175
2009-04,92100,1391,0.01510314875135722
2009-05,87036,1149,0.013201433889425065
2009-06,88747,1428,0.016090684755541033
2009-07,91215,1301,0.014263004988214657
2009-08,81387,931,0.011439173332350375
2009-09,83788,1558,0.018594548145319138
2009-10,88669,1232,0.013894371200757875
2009-11,76227,1340,0.01757907303186535
2009-12,71412,1168,0.016355794544334286
2010-01,73323,1222,0.016665984752396928
2010-02,78540,1531,0.01949325184619302
2010-03,73394,1604,0.021854647518870753
2010-04,81090,2075,0.025588851892958443
2010-05,76504,1986,0.025959426958067553
2010-06,72338,1701,0.023514611960518676
2010-07,76816,1148,0.014944803166007083
2010-08,74244,1177,0.015853132913097354
2010-09,70952,1281,0.018054459352801894
2010-10,80880,1117,0.013810583580613255
2010-11,82871,1463,0.017653944081765637
2010-12,68713,1134,0.016503427299055493
2011-01,73227,1327,0.018121731055484997
2011-02,76749,1352,0.01761586470182022
2011-03,81328,2111,0.025956620106236474
2011-04,74326,1305,0.017557785969916313
2011-05,79530,1655,0.020809757324280146
2011-06,74201,1720,0.023180280589210386
2011-07,77560,1476,0.019030428055698812
2011-08,81625,1593,0.019516079632465544
2011-09,68816,1808,0.026272959776796095
2011-10,72584,1637,0.02255317976413535
2011-11,72741,2026,0.027852242889154673
2011-12,57716,1835,0.03179361009078938
2012-01,65540,2384,0.036374732987488556
2012-02,72439,2198,0.03034277115918221
2012-03,70579,2006,0.028422051885121636
2012-04,69760,1637,0.02346616972477064
2012-05,78039,1877,0.024052076525839645
2012-06,60573,1487,0.024548891420269756
2012-07,69021,1646,0.02384781443328842
2012-08,69645,1471,0.02112140139277766
2012-09,55678,1597,0.028682783145946335
2012-10,71495,1604,0.022435135324148543
2012-11,68012,1678,0.024672116685290832
2012-12,51710,1439,0.02782827306130342
2013-01,66765,1271,0.019036920542200256
2013-02,64828,1117,0.017230209168877644
2013-03,60328,1444,0.023935817530831453
2013-04,68636,1195,0.01741068826854712
2013-05,72472,1149,0.015854398940280384
2013-06,58345,1149,0.0196932042162996
2013-07,72356,950,0.013129526231411354
2013-08,69220,1232,0.01779832418376192
2013-09,61678,1695,0.027481435844223225
2013-10,78175,1483,0.0189702590342181
2013-11,67155,1452,0.021621621621621623
2013-12,55535,1233,0.02220221481948321
2014-01,70106,1806,0.025760990500099848
2014-02,70367,1528,0.021714724231528985
2014-03,71617,3543,0.04947149419830487
2014-04,75536,2729,0.03612846854479983
2014-05,72654,2001,0.02754149805929474
2014-06,67207,1490,0.022170309640364844
2014-07,79638,3387,0.04252994801476682
2014-08,69237,2151,0.03106720395164435
2014-09,68841,2344,0.03404947632951293
2014-10,84003,1517,0.018058878849564898
2014-11,70952,1321,0.018618220768970573
2014-12,63452,1376,0.021685683666393493
2015-01,73286,1156,0.015773817645935103
2015-02,77190,1083,0.014030314807617567
2015-03,79168,1252,0.015814470493128535
2015-04,82938,1177,0.014191323639345053
2015-05,76345,766,0.010033401008579475
2015-06,71863,1168,0.01625314835172481
2015-07,82064,1447,0.01763257945018522
2015-08,74809,1099,0.014690745765883783
2015-09,71608,1098,0.015333482292481286
2015-10,87365,1183,0.013540891661420477
2015-11,78848,713,0.009042715097402598
2015-12,62811,1796,0.028593717660919265
2016-01,69049,1639,0.023736766643977465
2016-02,79617,1280,0.01607696848662974
2016-03,71662,1535,0.021419999441824118
2016-04,74432,722,0.009700128976784178
2016-05,77944,976,0.01252181053063738
2016-06,69028,697,0.010097351799269861
2016-07,73603,733,0.009958833199733707
2016-08,76914,672,0.008737030969654419
2016-09,66072,1357,0.02053820075069621
