date,n_articles,n_gep_articles,GEP_daily
1996-01-01,30,0,0.0
1996-01-02,374,0,0.0
1996-01-03,497,0,0.0
1996-01-04,562,0,0.0
1996-01-05,530,2,0.0037735849056603774
1996-01-06,43,0,0.0
1996-01-07,60,0,0.0
1996-01-08,513,0,0.0
1996-01-09,609,0,0.0
1996-01-10,578,2,0.0034602076124567475
1996-01-11,628,1,0.0015923566878980893
1996-01-12,455,1,0.002197802197802198
1996-01-13,63,0,0.0
1996-01-14,48,0,0.0
1996-01-15,379,0,0.0
1996-01-16,822,4,0.004866180048661801
1996-01-17,889,0,0.0
1996-01-18,826,4,0.004842615012106538
1996-01-19,588,1,0.0017006802721088435
1996-01-20,170,0,0.0
1996-01-21,84,0,0.0
1996-01-22,611,1,0.0016366612111292963
1996-01-23,775,0,0.0
1996-01-24,792,0,0.0
1996-01-25,976,1,0.0010245901639344263
1996-01-26,501,0,0.0
1996-01-27,52,0,0.0
1996-01-28,63,0,0.0
1996-01-29,514,0,0.0
1996-01-30,739,0,0.0
1996-01-31,889,0,0.0
1996-02-01,936,1,0.0010683760683760685
1996-02-02,718,0,0.0
1996-02-03,12,0,0.0
1996-02-04,45,0,0.0
1996-02-05,573,0,0.0
1996-02-06,851,1,0.0011750881316098707
1996-02-07,949,0,0.0
1996-02-08,1139,3,0.0026338893766461808
1996-02-09,747,0,0.0
1996-02-10,32,0,0.0
1996-02-11,53,0,0.0
1996-02-12,666,0,0.0
1996-02-13,995,0,0.0
1996-02-14,867,2,0.002306805074971165
1996-02-15,1213,3,0.00247320692497939
1996-02-16,745,0,0.0
1996-02-17,42,0,0.0
1996-02-18,60,3,0.05
1996-02-19,211,1,0.004739336492890996
1996-02-20,611,2,0.0032733224222585926
1996-02-21,768,4,0.005208333333333333
1996-02-22,594,2,0.003367003367003367
1996-02-23,690,1,0.0014492753623188406
1996-02-24,21,0,0.0
1996-02-25,42,0,0.0
1996-02-26,567,0,0.0
1996-02-27,809,4,0.004944375772558714
1996-02-28,793,0,0.0
1996-02-29,733,0,0.0
1996-03-01,493,0,0.0
1996-03-02,31,0,0.0
1996-03-03,32,0,0.0
1996-03-04,593,0,0.0
1996-03-05,643,0,0.0
1996-03-06,688,1,0.0014534883720930232
1996-03-07,806,2,0.0024813895781637717
1996-03-08,567,0,0.0
1996-03-09,54,0,0.0
1996-03-10,77,0,0.0
1996-03-11,641,0,0.0
1996-03-12,880,4,0.004545454545454545
1996-03-13,1011,2,0.0019782393669634025
1996-03-14,889,1,0.0011248593925759281
1996-03-15,664,2,0.0030120481927710845
1996-03-16,48,0,0.0
1996-03-17,70,1,0.014285714285714285
1996-03-18,705,0,0.0
1996-03-19,824,5,0.006067961165048544
1996-03-20,784,0,0.0
1996-03-21,766,0,0.0
1996-03-22,689,3,0.0043541364296081275
1996-03-23,43,0,0.0
1996-03-24,48,0,0.0
1996-03-25,537,0,0.0
1996-03-26,772,0,0.0
1996-03-27,844,0,0.0
1996-03-28,804,0,0.0
1996-03-29,713,0,0.0
1996-03-30,40,1,0.025
1996-03-31,53,0,0.0
1996-04-01,691,0,0.0
1996-04-02,712,2,0.0028089887640449437
1996-04-03,598,0,0.0
1996-04-04,619,0,0.0
1996-04-05,121,1,0.008264462809917356
1996-04-06,0,0,0.008264462809917356
1996-04-07,0,0,0.008264462809917356
1996-04-08,0,0,0.008264462809917356
1996-04-09,0,0,0.008264462809917356
1996-04-10,0,0,0.008264462809917356
1996-04-11,760,10,0.013157894736842105
1996-04-12,682,0,0.0
1996-04-13,33,0,0.0
1996-04-14,47,0,0.0
1996-04-15,732,1,0.001366120218579235
1996-04-16,911,4,0.0043907793633369925
1996-04-17,991,0,0.0
1996-04-18,963,0,0.0
1996-04-19,615,0,0.0
1996-04-20,119,2,0.01680672268907563
1996-04-21,129,3,0.023255813953488372
1996-04-22,755,4,0.005298013245033113
1996-04-23,984,2,0.0020325203252032522
1996-04-24,916,4,0.004366812227074236
1996-04-25,901,0,0.0
1996-04-26,619,2,0.0032310177705977385
1996-04-27,34,0,0.0
1996-04-28,39,1,0.02564102564102564
1996-04-29,57,0,0.0
1996-04-30,879,0,0.0
1996-05-01,609,0,0.0
1996-05-02,784,10,0.012755102040816327
1996-05-03,568,8,0.014084507042253521
1996-05-04,19,0,0.0
1996-05-05,41,0,0.0
1996-05-06,516,1,0.001937984496124031
1996-05-07,901,4,0.004439511653718091
1996-05-08,824,1,0.0012135922330097086
1996-05-09,892,11,0.01233183856502242
1996-05-10,703,0,0.0
1996-05-11,40,1,0.025
1996-05-12,75,0,0.0
1996-05-13,814,0,0.0
1996-05-14,780,1,0.001282051282051282
1996-05-15,693,12,0.017316017316017316
1996-05-16,678,4,0.0058997050147492625
1996-05-17,560,4,0.007142857142857143
1996-05-18,27,0,0.0
1996-05-19,59,1,0.01694915254237288
1996-05-20,660,8,0.012121212121212121
1996-05-21,681,11,0.016152716593245228
1996-05-22,759,13,0.017127799736495388
1996-05-23,778,1,0.0012853470437017994
1996-05-24,515,1,0.001941747572815534
1996-05-25,30,0,0.0
1996-05-26,56,0,0.0
1996-05-27,87,0,0.0
1996-05-28,436,2,0.0045871559633027525
1996-05-29,707,0,0.0
1996-05-30,751,1,0.0013315579227696406
1996-05-31,616,4,0.006493506493506494
1996-06-01,43,1,0.023255813953488372
1996-06-02,72,0,0.0
1996-06-03,725,1,0.001379310344827586
1996-06-04,807,6,0.007434944237918215
1996-06-05,678,2,0.0029498525073746312
1996-06-06,763,0,0.0
1996-06-07,509,0,0.0
1996-06-08,21,0,0.0
1996-06-09,66,1,0.015151515151515152
1996-06-10,584,0,0.0
1996-06-11,1,0,0.0
1996-06-12,803,1,0.0012453300124533001
1996-06-13,784,6,0.007653061224489796
1996-06-14,692,8,0.011560693641618497
1996-06-15,7,0,0.0
1996-06-16,72,0,0.0
1996-06-17,625,4,0.0064
1996-06-18,632,2,0.0031645569620253164
1996-06-19,649,2,0.0030816640986132513
1996-06-20,732,4,0.00546448087431694
1996-06-21,548,0,0.0
1996-06-22,32,3,0.09375
1996-06-23,34,0,0.0
1996-06-24,551,2,0.003629764065335753
1996-06-25,0,0,0.003629764065335753
1996-06-26,0,0,0.003629764065335753
1996-06-27,848,4,0.0047169811320754715
1996-06-28,779,7,0.008985879332477536
1996-06-29,0,0,0.008985879332477536
1996-06-30,0,0,0.008985879332477536
1996-07-01,591,0,0.0
1996-07-02,622,1,0.001607717041800643
1996-07-03,579,5,0.008635578583765112
1996-07-04,194,0,0.0
1996-07-05,403,1,0.0024813895781637717
1996-07-06,28,0,0.0
1996-07-07,48,0,0.0
1996-07-08,511,1,0.0019569471624266144
1996-07-09,713,1,0.001402524544179523
1996-07-10,741,1,0.001349527665317139
1996-07-11,840,2,0.002380952380952381
1996-07-12,624,1,0.0016025641025641025
1996-07-13,28,0,0.0
1996-07-14,51,1,0.0196078431372549
1996-07-15,803,5,0.0062266500622665
1996-07-16,1025,3,0.002926829268292683
1996-07-17,892,3,0.0033632286995515697
1996-07-18,964,5,0.005186721991701245
1996-07-19,703,8,0.011379800853485065
1996-07-20,0,0,0.011379800853485065
1996-07-21,38,2,0.05263157894736842
1996-07-22,645,1,0.0015503875968992248
1996-07-23,875,1,0.001142857142857143
1996-07-24,847,4,0.004722550177095631
1996-07-25,881,5,0.0056753688989784334
1996-07-26,553,3,0.0054249547920434
1996-07-27,53,1,0.018867924528301886
1996-07-28,46,0,0.0
1996-07-29,610,2,0.003278688524590164
1996-07-30,701,6,0.008559201141226819
1996-07-31,876,2,0.00228310502283105
1996-08-01,729,0,0.0
1996-08-02,604,0,0.0
1996-08-03,44,0,0.0
1996-08-04,59,3,0.05084745762711865
1996-08-05,613,4,0.0065252854812398045
1996-08-06,639,9,0.014084507042253521
1996-08-07,712,5,0.007022471910112359
1996-08-08,761,1,0.001314060446780552
1996-08-09,489,6,0.012269938650306749
1996-08-10,46,4,0.08695652173913043
1996-08-11,61,0,0.0
1996-08-12,687,3,0.004366812227074236
1996-08-13,722,2,0.002770083102493075
1996-08-14,659,1,0.0015174506828528073
1996-08-15,705,0,0.0
1996-08-16,541,3,0.005545286506469501
1996-08-17,28,0,0.0
1996-08-18,63,1,0.015873015873015872
1996-08-19,523,0,0.0
1996-08-20,687,4,0.005822416302765648
1996-08-21,634,2,0.0031545741324921135
1996-08-22,693,4,0.005772005772005772
1996-08-23,528,2,0.003787878787878788
1996-08-24,50,0,0.0
1996-08-25,50,0,0.0
1996-08-26,468,0,0.0
1996-08-27,714,1,0.0014005602240896359
1996-08-28,617,2,0.0032414910858995136
1996-08-29,577,0,0.0
1996-08-30,468,0,0.0
1996-08-31,66,0,0.0
1996-09-01,84,0,0.0
1996-09-02,194,2,0.010309278350515464
1996-09-03,759,13,0.017127799736495388
1996-09-04,825,6,0.007272727272727273
1996-09-05,729,5,0.006858710562414266
1996-09-06,704,0,0.0
1996-09-07,75,0,0.0
1996-09-08,100,4,0.04
1996-09-09,695,3,0.004316546762589928
1996-09-10,816,1,0.0012254901960784314
1996-09-11,903,1,0.0011074197120708748
1996-09-12,976,6,0.006147540983606557
1996-09-13,679,4,0.005891016200294551
1996-09-14,54,0,0.0
1996-09-15,88,0,0.0
1996-09-16,645,0,0.0
1996-09-17,804,3,0.0037313432835820895
1996-09-18,788,2,0.0025380710659898475
1996-09-19,727,0,0.0
1996-09-20,563,0,0.0
1996-09-21,70,0,0.0
1996-09-22,52,0,0.0
1996-09-23,504,0,0.0
1996-09-24,574,2,0.003484320557491289
1996-09-25,871,2,0.002296211251435132
1996-09-26,874,0,0.0
1996-09-27,654,0,0.0
1996-09-28,62,0,0.0
1996-09-29,91,1,0.01098901098901099
1996-09-30,753,2,0.0026560424966799467
1996-10-01,903,2,0.0022148394241417496
1996-10-02,726,1,0.0013774104683195593
1996-10-03,850,4,0.004705882352941176
1996-10-04,603,0,0.0
1996-10-05,39,4,0.10256410256410256
1996-10-06,72,2,0.027777777777777776
1996-10-07,684,0,0.0
1996-10-08,825,3,0.0036363636363636364
1996-10-09,704,1,0.0014204545454545455
1996-10-10,789,1,0.0012674271229404308
1996-10-11,700,1,0.0014285714285714286
1996-10-12,44,3,0.06818181818181818
1996-10-13,97,0,0.0
1996-10-14,484,1,0.002066115702479339
1996-10-15,971,0,0.0
1996-10-16,1019,2,0.001962708537782139
1996-10-17,1055,1,0.0009478672985781991
1996-10-18,744,2,0.002688172043010753
1996-10-19,37,0,0.0
1996-10-20,76,0,0.0
1996-10-21,847,0,0.0
1996-10-22,1035,1,0.000966183574879227
1996-10-23,864,1,0.0011574074074074073
1996-10-24,982,1,0.0010183299389002036
1996-10-25,733,2,0.002728512960436562
1996-10-26,30,0,0.0
1996-10-27,53,0,0.0
1996-10-28,702,0,0.0
1996-10-29,954,0,0.0
1996-10-30,2,0,0.0
1996-10-31,896,0,0.0
1996-11-01,578,2,0.0034602076124567475
1996-11-02,48,1,0.020833333333333332
1996-11-03,118,0,0.0
1996-11-04,784,2,0.002551020408163265
1996-11-05,804,0,0.0
1996-11-06,885,1,0.0011299435028248588
1996-11-07,909,1,0.0011001100110011
1996-11-08,92,0,0.0
1996-11-09,33,0,0.0
1996-11-10,68,1,0.014705882352941176
1996-11-11,519,1,0.0019267822736030828
1996-11-12,1000,1,0.001
1996-11-13,972,0,0.0
1996-11-14,1000,1,0.001
1996-11-15,745,6,0.008053691275167786
1996-11-16,68,1,0.014705882352941176
1996-11-17,120,2,0.016666666666666666
1996-11-18,798,0,0.0
1996-11-19,837,0,0.0
1996-11-20,1070,0,0.0
1996-11-21,786,0,0.0
1996-11-22,545,0,0.0
1996-11-23,94,3,0.031914893617021274
1996-11-24,126,0,0.0
1996-11-25,754,2,0.002652519893899204
1996-11-26,696,0,0.0
1996-11-27,678,0,0.0
1996-11-28,206,3,0.014563106796116505
1996-11-29,443,1,0.002257336343115124
1996-11-30,33,0,0.0
1996-12-01,42,0,0.0
1996-12-02,762,2,0.0026246719160104987
1996-12-03,1018,0,0.0
1996-12-04,929,2,0.002152852529601722
1996-12-05,944,0,0.0
1996-12-06,743,1,0.0013458950201884253
1996-12-07,36,0,0.0
1996-12-08,73,0,0.0
1996-12-09,771,0,0.0
1996-12-10,1063,2,0.0018814675446848542
1996-12-11,934,0,0.0
1996-12-12,1065,0,0.0
1996-12-13,728,0,0.0
1996-12-14,69,0,0.0
1996-12-15,100,0,0.0
1996-12-16,787,0,0.0
1996-12-17,893,1,0.0011198208286674132
1996-12-18,913,0,0.0
1996-12-19,926,1,0.0010799136069114472
1996-12-20,634,0,0.0
1996-12-21,63,0,0.0
1996-12-22,44,0,0.0
1996-12-23,509,0,0.0
1996-12-24,320,0,0.0
1996-12-25,37,1,0.02702702702702703
1996-12-26,289,0,0.0
1996-12-27,336,1,0.002976190476190476
1996-12-28,26,0,0.0
1996-12-29,47,0,0.0
1996-12-30,362,4,0.011049723756906077
1996-12-31,315,1,0.0031746031746031746
1997-01-01,40,0,0.0
1997-01-02,456,0,0.0
1997-01-03,428,1,0.002336448598130841
1997-01-04,32,2,0.0625
1997-01-05,40,0,0.0
1997-01-06,528,2,0.003787878787878788
1997-01-07,777,0,0.0
1997-01-08,834,0,0.0
1997-01-09,963,2,0.0020768431983385254
1997-01-10,774,0,0.0
1997-01-11,59,0,0.0
1997-01-12,99,0,0.0
1997-01-13,824,1,0.0012135922330097086
1997-01-14,917,2,0.0021810250817884407
1997-01-15,974,0,0.0
1997-01-16,909,1,0.0011001100110011
1997-01-17,813,1,0.0012300123001230013
1997-01-18,45,0,0.0
1997-01-19,73,2,0.0273972602739726
1997-01-20,566,1,0.0017667844522968198
