date,n_articles,n_gep_articles,GEP_daily
1996-01-01,30,11,0.36666666666666664
1996-01-02,374,137,0.3663101604278075
1996-01-03,497,123,0.24748490945674045
1996-01-04,562,170,0.302491103202847
1996-01-05,530,191,0.360377358490566
1996-01-06,43,21,0.4883720930232558
1996-01-07,60,32,0.5333333333333333
1996-01-08,513,149,0.290448343079922
1996-01-09,609,191,0.3136288998357964
1996-01-10,578,168,0.2906574394463668
1996-01-11,628,175,0.2786624203821656
1996-01-12,455,130,0.2857142857142857
1996-01-13,63,28,0.4444444444444444
1996-01-14,48,15,0.3125
1996-01-15,379,132,0.3482849604221636
1996-01-16,822,258,0.31386861313868614
1996-01-17,889,276,0.31046119235095615
1996-01-18,826,235,0.2845036319612591
1996-01-19,588,187,0.31802721088435376
1996-01-20,170,58,0.3411764705882353
1996-01-21,84,51,0.6071428571428571
1996-01-22,611,181,0.29623567921440264
1996-01-23,775,242,0.31225806451612903
1996-01-24,792,250,0.31565656565656564
1996-01-25,976,296,0.30327868852459017
1996-01-26,501,164,0.3273453093812375
1996-01-27,52,26,0.5
1996-01-28,63,26,0.4126984126984127
1996-01-29,514,139,0.2704280155642023
1996-01-30,739,260,0.35182679296346414
1996-01-31,889,285,0.3205849268841395
1996-02-01,936,266,0.2841880341880342
1996-02-02,718,230,0.3203342618384401
1996-02-03,12,5,0.4166666666666667
1996-02-04,45,29,0.6444444444444445
1996-02-05,573,177,0.3089005235602094
1996-02-06,851,253,0.2972972972972973
1996-02-07,949,279,0.2939936775553214
1996-02-08,1139,275,0.2414398595258999
1996-02-09,747,219,0.2931726907630522
1996-02-10,32,19,0.59375
1996-02-11,53,24,0.4528301886792453
1996-02-12,666,193,0.2897897897897898
1996-02-13,995,266,0.26733668341708544
1996-02-14,867,257,0.2964244521337947
1996-02-15,1213,329,0.27122835943940643
1996-02-16,745,235,0.31543624161073824
1996-02-17,42,18,0.42857142857142855
1996-02-18,60,38,0.6333333333333333
1996-02-19,211,83,0.3933649289099526
1996-02-20,611,182,0.2978723404255319
1996-02-21,768,251,0.3268229166666667
1996-02-22,594,194,0.3265993265993266
1996-02-23,690,240,0.34782608695652173
1996-02-24,21,10,0.47619047619047616
1996-02-25,42,8,0.19047619047619047
1996-02-26,567,183,0.32275132275132273
1996-02-27,809,252,0.311495673671199
1996-02-28,793,222,0.27994955863808324
1996-02-29,733,202,0.2755798090040928
1996-03-01,493,135,0.2738336713995943
1996-03-02,31,14,0.45161290322580644
1996-03-03,32,13,0.40625
1996-03-04,593,158,0.26644182124789206
1996-03-05,643,173,0.2690513219284603
1996-03-06,688,211,0.3066860465116279
1996-03-07,806,220,0.2729528535980149
1996-03-08,567,196,0.345679012345679
1996-03-09,54,26,0.48148148148148145
1996-03-10,77,47,0.6103896103896104
1996-03-11,641,235,0.3666146645865835
1996-03-12,880,257,0.29204545454545455
1996-03-13,1011,372,0.36795252225519287
1996-03-14,889,273,0.30708661417322836
1996-03-15,664,190,0.286144578313253
1996-03-16,48,26,0.5416666666666666
1996-03-17,70,49,0.7
1996-03-18,705,186,0.26382978723404255
1996-03-19,824,271,0.3288834951456311
1996-03-20,784,208,0.2653061224489796
1996-03-21,766,219,0.2859007832898172
1996-03-22,689,232,0.3367198838896952
1996-03-23,43,32,0.7441860465116279
1996-03-24,48,37,0.7708333333333334
1996-03-25,537,173,0.3221601489757914
1996-03-26,772,234,0.30310880829015546
1996-03-27,844,262,0.3104265402843602
1996-03-28,804,258,0.3208955223880597
1996-03-29,713,193,0.270687237026648
1996-03-30,40,19,0.475
1996-03-31,53,25,0.4716981132075472
1996-04-01,691,218,0.3154848046309696
1996-04-02,712,222,0.31179775280898875
