month,n_articles,n_gep_articles,GEP_monthly
1996-01,14660,4607,0.314256480218281
1996-02,16482,4939,0.2996602354083242
1996-03,15809,4944,0.31273325321019674
1996-04,13907,4609,0.3314158337527864
1996-05,15659,4825,0.3081295101858356
1996-06,12057,3811,0.31608194409886375
1996-07,16485,5144,0.31204124962086743
1996-08,14237,4213,0.29591908407670153
1996-09,15713,5082,0.32342646216508625
1996-10,18520,5498,0.2968682505399568
1996-11,15809,4984,0.3152634575241951
1996-12,15778,4773,0.3025098238052985
1997-01,16632,4954,0.2978595478595479
1997-02,18372,5402,0.2940344001741781
1997-03,18284,5701,0.31180266900021875
1997-04,20961,6110,0.291493726444349
1997-05,20370,5945,0.2918507609229259
1997-06,20615,5927,0.28750909531894253
1997-07,22935,6850,0.2986701547852627
1997-08,22577,6999,0.3100057580723745
1997-09,24069,7261,0.30167435290207323
1997-10,32481,10445,0.32157261168067486
1997-11,28355,9610,0.33891729853641334
1997-12,26369,8796,0.33357351435397625
1998-01,24140,8105,0.3357497928748964
1998-02,19484,6584,0.33791829193184153
1998-03,40680,12551,0.3085299901671583
1998-04,40186,12140,0.30209525705469564
1998-05,39917,12678,0.3176090387554175
1998-06,39008,13903,0.35641406890894173
1998-07,36389,11295,0.3103959987908434
1998-08,37034,13181,0.35591618512718043
1998-09,35477,13532,0.3814302223976097
1998-10,41680,14016,0.3362763915547025
1998-11,36190,12002,0.3316385741917657
1998-12,31343,12021,0.3835306128960214
1999-01,34461,12175,0.3532979309944575
1999-02,35806,11868,0.33145282913478186
1999-03,40475,14442,0.35681284743668934
1999-04,39468,13615,0.34496300800648627
1999-05,34229,12638,0.36921908323351543
1999-06,34862,12421,0.35629051689518676
1999-07,34521,11988,0.34726688102893893
1999-08,28965,10454,0.3609183497324357
1999-09,28577,10222,0.35770024845155196
1999-10,30621,10164,0.33192906828647006
1999-11,29044,10259,0.3532226965982647
1999-12,25322,8987,0.3549087749782798
2000-01,28752,9679,0.3366374513077351
2000-02,30404,10836,0.35640047362189187
2000-03,27873,10569,0.3791841567107954
2000-04,25521,9596,0.3760040750754281
2000-05,27406,10909,0.39805152156462087
2000-06,26490,10218,0.3857304643261608
2000-07,26813,9951,0.37112594636929847
2000-08,26037,10008,0.38437608019357067
2000-09,26778,11144,0.4161625214728508
2000-10,30085,12024,0.39966760844274557
2000-11,27655,11390,0.4118604230699693
2000-12,3819,1626,0.4257659073055774
2001-01,29929,11889,0.39724013498613386
2001-02,27485,11090,0.4034928142623249
2001-03,27739,11989,0.43220736147662137
2001-04,21271,8848,0.4159653988999107
2001-05,27131,11297,0.4163871586008625
2001-06,30344,12603,0.4153374637490113
2001-07,31482,13749,0.43672574804650277
2001-08,27497,11930,0.4338655126013747
2001-09,32372,15433,0.476739157296429
2001-10,36349,16460,0.45283226498665713
2001-11,29831,13210,0.4428279306761423
2001-12,24282,10704,0.4408203607610576
2002-01,26941,11722,0.4350989198619205
2002-02,26939,11308,0.4197631686402613
2002-03,26648,11404,0.4279495646952867
2002-04,28980,12183,0.4203933747412008
2002-05,26560,11283,0.4248117469879518
2002-06,25162,10818,0.4299340275017884
2002-07,30142,13099,0.4345763386636587
2002-08,24521,10737,0.4378695811753191
2002-09,25004,11812,0.47240441529355304
2002-10,28968,12978,0.4480115990057995
2002-11,23387,10281,0.43960319835806216
2002-12,22774,10108,0.4438394660577852
2003-01,36166,15328,0.42382348061715425
2003-02,36732,15924,0.4335184580202548
2003-03,42500,18714,0.44032941176470586
2003-04,39593,16820,0.42482256964614956
2003-05,39745,15863,0.39911938608630015
2003-06,40212,16025,0.39851288172684773
2003-07,45245,18458,0.40795668029616533
2003-08,38029,16299,0.4285939677614452
2003-09,44426,21802,0.4907486606941881
2003-10,46207,22107,0.4784340035059623
2003-11,40417,19953,0.49367840265234925
2003-12,42493,20846,0.49057491822182475
2004-01,40748,16448,0.4036517129675076
2004-02,44059,17288,0.39238294105631083
2004-03,50203,19332,0.38507658904846326
2004-04,46079,18617,0.40402352481607673
2004-05,41616,16720,0.4017685505574779
2004-06,43086,18156,0.42138977858237014
2004-07,47030,19172,0.4076546884967042
2004-08,44796,18792,0.41950174122689526
2004-09,42145,17978,0.4265749199193261
2004-10,46291,17689,0.38212611522758205
2004-11,43666,17094,0.39147162552100034
2004-12,41373,15587,0.3767432866845527
2005-01,45855,17276,0.37675280776360265
2005-02,45591,16752,0.3674409422912417
2005-03,52231,18673,0.3575079933372901
2005-04,51594,19184,0.3718261813389154
2005-05,47545,18282,0.38451992848880007
2005-06,52155,19678,0.37729843735020613
2005-07,49615,18507,0.3730121938929759
2005-08,49809,19162,0.3847095906362304
2005-09,52934,20328,0.38402539010843695
2005-10,56929,19517,0.3428305433083314
2005-11,53901,18541,0.3439824864102707
2005-12,49667,17433,0.350997644311112
2006-01,55260,19211,0.34764748461816863
2006-02,54391,18343,0.3372432939273041
2006-03,61998,21199,0.3419303848511242
2006-04,54835,18533,0.3379775690708489
2006-05,62521,21188,0.3388941315717919
2006-06,62037,20550,0.33125392910682333
2006-07,59888,20535,0.34289006144803635
2006-08,63581,21481,0.3378525031062739
2006-09,55445,19231,0.3468482279736676
2006-10,67441,21060,0.3122729496893581
2006-11,65186,20381,0.3126591599423189
2006-12,53432,17577,0.3289601736786944
2007-01,61201,21225,0.34680805869185144
2007-02,61967,20983,0.33861571481595043
2007-03,66997,23494,0.3506724181679777
2007-04,65359,22726,0.3477103382854695
2007-05,69565,23961,0.34444045137641055
2007-06,65446,23146,0.35366561745561226
2007-07,66971,24082,0.35958847859521287
2007-08,67673,25263,0.3733098872519321
2007-09,59630,21438,0.359517021633406
2007-10,77416,27346,0.3532344734938514
2007-11,69743,24048,0.34480879801557146
2007-12,54979,18917,0.34407682933483696
2008-01,74104,26822,0.36195077188815716
2008-02,71352,23920,0.33523937661172776
2008-03,72364,23154,0.3199657288154331
2008-04,77856,25738,0.3305846691327579
2008-05,73028,23346,0.3196856000438188
2008-06,71855,23394,0.3255723331709693
2008-07,82969,26244,0.31631091130422206
2008-08,71438,22700,0.3177580559366164
2008-09,90255,25919,0.28717522574926596
2008-10,110199,28289,0.256708318587283
2008-11,84723,22810,0.26923031526267954
2008-12,78137,22440,0.28718788794041233
2009-01,81835,23136,0.2827152196492943
2009-02,85939,22957,0.26713133734393
2009-03,95840,24895,0.2597558430717863
2009-04,92100,23956,0.2601085776330076
2009-05,87036,21588,0.2480352957396939
2009-06,88747,22594,0.2545888875116905
2009-07,91215,24219,0.26551554020720275
2009-08,81387,20476,0.25158809146423877
2009-09,83788,22035,0.2629851530052036
2009-10,88669,22999,0.25938039224531684
2009-11,76227,20809,0.2729872617314075
