date,n_articles,n_gep_articles,GEP_daily
1996-01-01,685,42,0.061313868613138686
1996-01-02,4657,319,0.06849903371269057
1996-01-03,5578,360,0.0645392613840086
1996-01-04,6233,365,0.05855928124498636
1996-01-05,5637,430,0.07628171012950151
1996-01-06,513,35,0.0682261208576998
1996-01-07,846,73,0.08628841607565012
1996-01-08,5632,425,0.07546164772727272
1996-01-09,6393,417,0.0652275926794932
1996-01-10,6600,426,0.06454545454545454
1996-01-11,6965,492,0.07063890882986361
1996-01-12,5886,405,0.06880733944954129
1996-01-13,589,38,0.06451612903225806
1996-01-14,901,46,0.051054384017758046
1996-01-15,5855,350,0.059777967549103334
1996-01-16,6628,453,0.06834640917320459
1996-01-17,7535,470,0.062375580623755804
1996-01-18,7776,724,0.09310699588477367
1996-01-19,6453,569,0.08817604215093755
1996-01-20,797,68,0.08531994981179424
1996-01-21,982,64,0.06517311608961303
1996-01-22,6903,510,0.07388092133854846
1996-01-23,6968,631,0.09055683122847302
1996-01-24,7530,596,0.07915006640106241
1996-01-25,7871,636,0.08080294752890357
1996-01-26,6208,581,0.0935889175257732
1996-01-27,601,52,0.08652246256239601
1996-01-28,1022,83,0.0812133072407045
1996-01-29,6744,511,0.07577105575326216
1996-01-30,7647,632,0.08264678959068916
1996-01-31,8015,611,0.07623206487835309
1996-02-01,7607,601,0.0790061785197844
1996-02-02,6343,590,0.09301592306479584
1996-02-03,134,12,0.08955223880597014
1996-02-04,933,142,0.15219721329046088
1996-02-05,6857,598,0.08721015021146274
1996-02-06,7373,685,0.09290655092906551
1996-02-07,7677,611,0.07958838087794712
1996-02-08,7762,560,0.07214635403246586
1996-02-09,6504,540,0.08302583025830258
1996-02-10,580,67,0.11551724137931034
1996-02-11,971,53,0.05458290422245108
1996-02-12,6429,394,0.061284803235339864
1996-02-13,7275,444,0.06103092783505155
1996-02-14,7299,590,0.08083299082066037
1996-02-15,7767,600,0.0772499034376207
1996-02-16,6423,440,0.06850381441693912
1996-02-17,593,67,0.11298482293423272
1996-02-18,996,54,0.05421686746987952
1996-02-19,4372,373,0.0853156450137237
1996-02-20,6714,564,0.0840035746201966
1996-02-21,6757,486,0.07192541068521534
1996-02-22,7115,479,0.06732255797610681
1996-02-23,6288,444,0.07061068702290077
1996-02-24,536,59,0.11007462686567164
1996-02-25,1095,66,0.06027397260273973
1996-02-26,6775,483,0.07129151291512915
1996-02-27,7508,659,0.087773042088439
1996-02-28,7500,679,0.09053333333333333
1996-02-29,7686,707,0.09198542805100182
1996-03-01,6526,543,0.08320563898253142
1996-03-02,741,68,0.09176788124156546
1996-03-03,1211,112,0.09248554913294797
1996-03-04,6989,612,0.0875661754185148
1996-03-05,6968,538,0.07721010332950631
1996-03-06,7379,583,0.07900799566336902
1996-03-07,7453,582,0.07808935998926607
1996-03-08,6106,374,0.06125122830003275
1996-03-09,897,71,0.07915273132664437
1996-03-10,975,69,0.07076923076923076
1996-03-11,6781,438,0.06459224303200117
1996-03-12,7066,520,0.0735918482875743
1996-03-13,7254,538,0.07416597739178385
1996-03-14,7612,485,0.0637151865475565
1996-03-15,6644,465,0.06998795906080674
1996-03-16,676,57,0.08431952662721894
1996-03-17,1232,77,0.0625
1996-03-18,6513,447,0.06863196683555965
1996-03-19,7035,412,0.05856432125088842
1996-03-20,6741,454,0.06734905800326361
1996-03-21,7073,469,0.06630849710165418
1996-03-22,6219,502,0.08072037305032964
1996-03-23,565,41,0.07256637168141593
1996-03-24,953,102,0.10703043022035677
1996-03-25,6560,606,0.0923780487804878
1996-03-26,7079,571,0.08066111032631727
1996-03-27,7131,549,0.07698779974758098
1996-03-28,7549,621,0.08226255133130216
1996-03-29,6674,564,0.08450704225352113
1996-03-30,673,59,0.08766716196136701
1996-03-31,889,54,0.06074240719910011
1996-04-01,6610,624,0.09440242057488654
1996-04-02,6950,510,0.07338129496402877
1996-04-03,6806,576,0.0846312077578607
1996-04-04,5461,442,0.08093755722395166
1996-04-05,2035,129,0.06339066339066339
1996-04-06,0,0,0.06339066339066339
1996-04-07,0,0,0.06339066339066339
1996-04-08,0,0,0.06339066339066339
1996-04-09,0,0,0.06339066339066339
1996-04-10,0,0,0.06339066339066339
1996-04-11,7117,550,0.07727975270479134
1996-04-12,6222,512,0.0822886531661845
1996-04-13,681,64,0.09397944199706314
1996-04-14,1074,107,0.09962756052141528
1996-04-15,6875,643,0.09352727272727272
1996-04-16,7605,698,0.09178172255095332
1996-04-17,7592,731,0.09628556375131718
1996-04-18,8278,599,0.07236047354433438
1996-04-19,6527,532,0.08150758388233492
1996-04-20,756,34,0.04497354497354497
1996-04-21,1157,85,0.07346585998271392
1996-04-22,7526,535,0.07108689875099655
1996-04-23,7889,450,0.05704145012042084
1996-04-24,7739,616,0.07959684713787311
1996-04-25,7695,577,0.07498375568551006
1996-04-26,6869,537,0.0781773183869559
1996-04-27,629,21,0.033386327503974564
1996-04-28,938,79,0.08422174840085288
1996-04-29,639,35,0.054773082942097026
1996-04-30,7474,586,0.0784051378110784
1996-05-01,5210,457,0.08771593090211133
1996-05-02,7096,482,0.06792559188275085
1996-05-03,5921,419,0.07076507346731971
1996-05-04,547,33,0.0603290676416819
1996-05-05,915,56,0.06120218579234973
1996-05-06,5409,413,0.07635422444074691
1996-05-07,7000,499,0.07128571428571429
1996-05-08,6894,615,0.08920800696257615
1996-05-09,7572,672,0.08874801901743265
1996-05-10,6575,648,0.09855513307984791
1996-05-11,690,30,0.043478260869565216
1996-05-12,985,73,0.07411167512690356
1996-05-13,6786,573,0.08443854995579134
1996-05-14,7464,619,0.08293140407288317
1996-05-15,7529,643,0.0854031079824678
1996-05-16,7126,546,0.07662082514734773
1996-05-17,6851,551,0.08042621515107283
1996-05-18,546,28,0.05128205128205128
1996-05-19,904,77,0.08517699115044247
1996-05-20,6837,437,0.06391692262688313
1996-05-21,7465,468,0.06269256530475553
1996-05-22,7501,572,0.07625649913344887
1996-05-23,8132,613,0.07538121003443188
1996-05-24,7179,440,0.06128987324139852
1996-05-25,552,16,0.028985507246376812
1996-05-26,954,69,0.07232704402515723
1996-05-27,3641,250,0.068662455369404
1996-05-28,6723,465,0.06916555109326193
1996-05-29,6992,467,0.06679061784897025
1996-05-30,7054,399,0.056563651828749645
1996-05-31,6207,482,0.07765426131786693
1996-06-01,734,34,0.04632152588555858
1996-06-02,1088,56,0.051470588235294115
1996-06-03,6578,454,0.06901793858315597
1996-06-04,7091,709,0.09998589761669723
1996-06-05,6968,566,0.0812284730195178
1996-06-06,7109,532,0.0748347165564777
1996-06-07,6373,585,0.09179350384434333
1996-06-08,625,51,0.0816
1996-06-09,939,58,0.0617678381256656
1996-06-10,6336,526,0.08301767676767677
1996-06-11,68,2,0.029411764705882353
1996-06-12,6829,547,0.0800995753404598
1996-06-13,7228,648,0.0896513558384062
1996-06-14,6657,528,0.07931500675980171
1996-06-15,264,18,0.06818181818181818
1996-06-16,1156,104,0.08996539792387544
1996-06-17,6491,526,0.08103527961793253
1996-06-18,7192,543,0.07550055617352613
1996-06-19,6888,534,0.07752613240418119
1996-06-20,7217,629,0.08715532769848967
1996-06-21,5985,567,0.09473684210526316
1996-06-22,686,76,0.11078717201166181
1996-06-23,971,86,0.08856848609680741
1996-06-24,6420,614,0.0956386292834891
1996-06-25,0,0,0.0956386292834891
1996-06-26,0,0,0.0956386292834891
1996-06-27,7218,634,0.08783596564145192
1996-06-28,6550,476,0.07267175572519084
1996-06-29,0,0,0.07267175572519084
1996-06-30,0,0,0.07267175572519084
1996-07-01,6365,519,0.08153967007069914
1996-07-02,6448,468,0.07258064516129033
1996-07-03,6493,387,0.059602649006622516
1996-07-04,4600,265,0.057608695652173914
1996-07-05,5193,379,0.07298286154438667
1996-07-06,587,53,0.09028960817717206
1996-07-07,878,119,0.13553530751708429
1996-07-08,6300,448,0.07111111111111111
1996-07-09,5829,501,0.08594956253216675
1996-07-10,6700,440,0.06567164179104477
1996-07-11,6817,573,0.08405456945870618
1996-07-12,5834,473,0.08107644840589646
1996-07-13,505,32,0.06336633663366337
1996-07-14,903,69,0.07641196013289037
1996-07-15,6753,492,0.07285650821856952
1996-07-16,7620,488,0.06404199475065617
1996-07-17,7152,547,0.07648210290827741
1996-07-18,7750,630,0.08129032258064516
1996-07-19,6231,556,0.0892312630396405
1996-07-20,12,0,0.0
1996-07-21,1074,79,0.07355679702048418
1996-07-22,6950,694,0.09985611510791367
1996-07-23,7633,643,0.08423948644045591
1996-07-24,7691,636,0.08269405798985828
1996-07-25,8083,642,0.07942595570951379
1996-07-26,6549,547,0.08352420216826996
1996-07-27,910,67,0.07362637362637363
1996-07-28,1154,79,0.0684575389948007
1996-07-29,6545,547,0.08357524828113064
1996-07-30,7028,451,0.06417188389299944
1996-07-31,7333,462,0.06300286376653484
1996-08-01,7380,548,0.07425474254742548
1996-08-02,6248,465,0.07442381562099872
1996-08-03,603,40,0.06633499170812604
1996-08-04,938,60,0.06396588486140725
1996-08-05,6076,400,0.06583278472679395
1996-08-06,6430,420,0.06531881804043546
1996-08-07,6661,473,0.07101035880498424
1996-08-08,6801,465,0.06837229819144243
1996-08-09,5595,327,0.05844504021447721
1996-08-10,550,29,0.05272727272727273
1996-08-11,977,54,0.05527123848515865
1996-08-12,6359,442,0.06950778424280547
1996-08-13,6499,428,0.0658562855823973
1996-08-14,6761,552,0.08164472711137406
1996-08-15,6484,616,0.09500308451573103
1996-08-16,5666,459,0.08100953053300389
1996-08-17,505,28,0.055445544554455446
1996-08-18,919,74,0.08052230685527748
1996-08-19,6228,434,0.06968529222864484
1996-08-20,6783,631,0.0930266843579537
1996-08-21,6655,542,0.08144252441773103
1996-08-22,7072,621,0.08781108597285067
1996-08-23,5900,509,0.08627118644067797
1996-08-24,558,22,0.03942652329749104
