month,n_articles,n_gep_articles,GEP_monthly
1996-01,152650,11414,0.07477235506059614
1996-02,151869,12047,0.07932494452455735
1996-03,154164,11583,0.07513427259282322
1996-04,129144,10272,0.07953911912283962
1996-05,161257,12112,0.07510991770899868
1996-06,121661,10103,0.0830422238844001
1996-07,159920,12286,0.07682591295647824
1996-08,147373,11232,0.07621477475521296
1996-09,149709,11905,0.07952093728499957
1996-10,26325,2190,0.08319088319088319
1997-01,153614,11586,0.0754228130248545
1997-02,153814,12092,0.07861443041595693
1997-03,158603,12628,0.07962018372918545
1997-04,154638,12425,0.08034894398530762
1997-05,165987,13278,0.0799942164145385
1997-06,159287,11948,0.07500926001494158
1997-07,159522,12547,0.07865372801243715
1997-08,146478,11855,0.08093365556602357
1997-09,132325,10110,0.07640279614585302
1997-10,166180,13298,0.08002166325670959
1997-11,65368,5445,0.08329763798800636
1998-01,194815,19339,0.09926853681698021
1998-02,147136,13683,0.09299559591126577
1998-03,163129,16670,0.10218906509572179
1998-04,144048,13796,0.09577363101188492
1998-05,156907,14637,0.09328455709432976
1998-06,153982,15892,0.10320686833525997
1998-07,134925,12830,0.09508986473967018
1998-08,139534,13026,0.09335359123941118
1998-09,142766,13974,0.09788044772564897
1998-10,151577,15326,0.10111032676461468
1998-11,141684,13242,0.09346150588633861
1998-12,121125,11961,0.09874922600619195
1999-01,240382,23025,0.09578504214125849
1999-02,254934,24066,0.09440090376332698
1999-03,254260,22690,0.08923936128372532
1999-04,133385,12520,0.09386362784421037
1999-05,138292,13247,0.09579006739363087
1999-06,128615,11578,0.09002060412860086
1999-07,126191,11687,0.09261357783043164
1999-08,118054,10850,0.09190709336405374
1999-09,122635,12201,0.0994903575651323
1999-10,127329,11367,0.08927267158306434
1999-11,128155,11607,0.09057001287503413
1999-12,108796,10230,0.09402919224971507
2000-01,229734,20056,0.08730096546440666
2000-02,243506,23381,0.09601816793015368
2000-03,243670,24750,0.10157179792342103
2000-04,115179,11685,0.10145078529940353
2000-05,124444,10911,0.08767799170711324
2000-06,110659,10643,0.09617834970494944
2000-07,104151,10954,0.10517421820241764
2000-08,107343,9814,0.09142654854065937
2000-09,109325,9966,0.09115938714841071
2000-10,112180,10707,0.09544482082367624
2000-11,121053,12680,0.1047475072901952
2000-12,15816,1513,0.09566262013151239
2001-01,205130,24087,0.11742309754789645
2001-02,204972,29549,0.14416115371855667
2001-03,180413,30639,0.169827008031572
2001-04,73372,11090,0.15114757673226845
2001-05,108322,12761,0.11780617049168221
2001-06,102356,12244,0.11962171245457032
2001-07,108570,19550,0.18006815879156304
2001-08,101645,13487,0.13268729401347829
2001-09,100774,11931,0.11839363327842499
2001-10,115565,14711,0.12729632674252586
2001-11,116716,21402,0.18336817574282874
2001-12,87285,10441,0.11961963682190525
2002-01,182220,25603,0.1405059817802656
2002-02,189692,28620,0.150876157138941
2002-03,146438,23601,0.16116718338136277
2002-04,101243,15616,0.15424276246259
2002-05,105090,15322,0.14579883909030356
2002-06,90395,12179,0.13473090325792356
2002-07,100894,17131,0.1697920589926061
2002-08,88486,13043,0.1474018488800488
2002-09,89164,12812,0.14369027858777084
2002-10,103840,16040,0.1544684129429892
2002-11,99286,15521,0.15632616884555728
2002-12,85048,12200,0.1434484056062459
2003-01,179480,27127,0.15114218854468464
2003-02,186898,22316,0.11940202677396226
2003-03,162502,18598,0.11444782218065008
2003-04,91239,11512,0.1261741141397867
2003-05,101223,18209,0.17988994596089822
2003-06,94448,11013,0.11660384550228697
2003-07,103697,11283,0.10880739076347436
2003-08,94501,14606,0.15455921101364006
2003-09,107409,16738,0.15583424107849436
2003-10,113103,12471,0.1102623272592239
2003-11,103626,12849,0.12399397834520294
2003-12,97398,17510,0.1797778188463829
2004-01,187194,20416,0.1090633246792098
2004-02,174978,19620,0.11212838185371875
2004-03,115781,12406,0.10715056874616734
2004-04,102206,11279,0.1103555564252588
2004-05,102103,11873,0.1162845362036375
2004-06,99997,10624,0.10624318729561887
2004-07,106721,11888,0.111393259058667
2004-08,104852,11679,0.11138557204440545
2004-09,101803,11359,0.11157824425606318
2004-10,103650,11307,0.10908827785817655
2004-11,111094,12227,0.11005994923218175
2004-12,96221,11026,0.11459037008553226
2005-01,203334,21336,0.10493080350556228
2005-02,106162,10803,0.1017595749891675
2005-03,117666,12023,0.10217904917308314
2005-04,113621,11826,0.10408287200429497
2005-05,113464,11749,0.10354826200380737
2005-06,112614,11420,0.10140835064912
2005-07,108990,11381,0.10442242407560326
2005-08,110980,11343,0.10220760497386916
2005-09,114566,11695,0.10208089660108584
2005-10,121514,12716,0.1046463781951051
2005-11,123307,12584,0.10205422238802339
2005-12,104698,10560,0.10086152553057365
2006-01,160945,17661,0.10973313864984932
2006-02,121067,13009,0.10745289798210908
2006-03,130400,13564,0.10401840490797545
2006-04,114533,12535,0.10944443959382885
2006-05,137201,14872,0.10839571140152039
2006-06,132484,13974,0.10547688777512756
2006-07,126879,13790,0.10868622861151175
2006-08,133065,14387,0.10812009168451509
2006-09,122526,13163,0.10743025969998204
2006-10,142953,15297,0.1070071981700279
2006-11,146299,15953,0.10904380754482258
2006-12,113768,11891,0.10451972435131145
2007-01,138977,13423,0.09658432690301273
2007-02,136530,12292,0.0900314949095437
2007-03,144318,13557,0.09393838606410843
2007-04,139040,13525,0.09727416570771001
2007-05,155203,13915,0.08965677209847747
2007-06,138021,12898,0.09344954753262184
2007-07,147588,14176,0.09605116947177278
2007-08,146465,13251,0.09047212644659133
2007-09,129182,12180,0.09428558158257343
2007-10,164313,15463,0.09410697875396347
2007-11,154123,14302,0.09279601357357435
2007-12,115152,10662,0.09259066277615673
2008-01,155997,15531,0.0995596069155176
2008-02,150505,14619,0.09713298561509584
2008-03,146945,14220,0.0967709006771241
2008-04,161989,16282,0.10051299779614666
2008-05,158799,15259,0.0960900257558297
2008-06,148254,14256,0.09615929418430531
2008-07,168089,16921,0.10066690860199061
2008-08,151253,14393,0.09515844313831792
2008-09,171109,16666,0.09739990298581606
2008-10,213809,20860,0.09756371340776113
2008-11,173938,17545,0.10086927525900033
2008-12,116693,10860,0.09306470825156607
2009-01,189571,17329,0.09141166106630233
2009-02,177426,14996,0.08451974344233652
2009-03,185672,16339,0.08799926752552889
2009-04,176840,16300,0.09217371635376612
2009-05,178304,14544,0.08156855707106964
2009-06,171212,15154,0.08851015115762914
2009-07,181523,16413,0.09041829410047211
2009-08,164236,13606,0.08284419981002947
2009-09,166802,14882,0.08921955372237743
2009-10,175022,16116,0.09207985281850281
2009-11,162972,13188,0.08092187615050438
2009-12,144972,12581,0.08678227519796926
2010-01,287927,26807,0.09310346025207779
2010-02,164073,17878,0.10896369299031529
2010-03,163862,15474,0.09443312055266016
2010-04,164475,15262,0.0927922176622587
2010-05,166726,18430,0.11054064752947951
2010-06,156233,15013,0.09609365498966288
2010-07,160845,14509,0.09020485560632907
2010-08,154712,16719,0.10806530844407673
2010-09,155192,15508,0.09992783133151194
2010-10,169655,15915,0.09380802216262416
2010-11,177572,17833,0.10042686910098439
2010-12,145764,14800,0.10153398644384073
2011-01,265850,27148,0.10211773556516833
2011-02,164401,16654,0.10130108697635659
2011-03,179290,18436,0.10282782084890402
2011-04,152010,15681,0.10315768699427669
2011-05,169667,16915,0.09969528547095192
2011-06,155725,15836,0.1016920854069674
2011-07,161443,16870,0.10449508495258389
2011-08,172261,17245,0.10010971723141047
2011-09,154775,15669,0.1012372799224681
