month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,228,0.003888130968622101
1996-02,65928,156,0.0023662176920276664
1996-03,63236,316,0.004997153520146752
1996-04,55628,472,0.008484935643920328
1996-05,62636,244,0.003895523341209528
1996-06,48228,500,0.010367421414945675
1996-07,65940,416,0.0063087655444343345
1996-08,56948,356,0.006251316990939102
1996-09,62852,728,0.011582765862661491
1996-10,74080,224,0.003023758099352052
1996-11,63236,428,0.0067682965399456
1996-12,63112,492,0.007795664849790848
1997-01,66528,328,0.004930254930254931
1997-02,73488,532,0.007239277160897018
1997-03,73136,332,0.0045394880770072196
1997-04,83844,592,0.0070607318353132
1997-05,81480,452,0.005547373588610702
1997-06,82460,632,0.007664322095561484
1997-07,91740,508,0.005537388271201221
1997-08,90308,484,0.0053594365947645835
1997-09,96276,600,0.00623208276205908
1997-10,129924,636,0.004895169483698162
1997-11,113420,532,0.004690530770587198
1997-12,105476,672,0.00637111760021237
1998-01,96560,500,0.0051781275890637945
1998-02,77936,672,0.008622459453910901
1998-03,162720,1372,0.00843166175024582
1998-04,160744,896,0.005574080525556164
1998-05,159668,1408,0.00881829796828419
1998-06,156032,1308,0.008382895816242821
1998-07,145556,756,0.005193877270603754
1998-08,148136,972,0.006561538046119782
1998-09,141908,992,0.006990444513346675
1998-10,166720,984,0.005902111324376199
1998-11,144760,716,0.004946117712075159
1998-12,125372,744,0.005934339405927958
1999-01,137844,800,0.00580366211079191
1999-02,143224,1132,0.007903703289951405
1999-03,161900,1132,0.006991970352069179
1999-04,157872,1348,0.008538562886388974
1999-05,136916,1484,0.010838762452890824
1999-06,139448,1816,0.01302277551488727
1999-07,138084,720,0.005214217432866951
1999-08,115860,464,0.004004833419644398
1999-09,114308,396,0.0034643244567309373
1999-10,122484,584,0.004767969694000849
1999-11,116176,548,0.0047169811320754715
1999-12,101288,616,0.006081668114682885
2000-01,115008,572,0.0049735670562047855
2000-02,121616,776,0.0063807393763978424
2000-03,111492,648,0.005812076202776881
2000-04,102084,428,0.00419262568081188
2000-05,109624,640,0.005838137634094724
2000-06,105960,672,0.0063420158550396375
2000-07,107252,732,0.00682504755156081
2000-08,104148,444,0.004263163958981449
2000-09,107112,1144,0.010680409291209201
2000-10,120340,816,0.006780787767990693
2000-11,110620,720,0.006508768757909962
2000-12,15276,88,0.005760670332547788
2001-01,119716,732,0.006114470914497645
2001-02,109940,1028,0.009350554848098963
2001-03,110956,812,0.00731821622985688
2001-04,85084,444,0.005218372431949603
2001-05,108524,700,0.0064501861339427225
2001-06,121376,864,0.007118375955707883
2001-07,125928,1312,0.01041865192808589
2001-08,109988,1060,0.009637414990726262
2001-09,129488,1784,0.013777338440627703
2001-10,145396,1440,0.009903986354507689
2001-11,119324,1160,0.00972143072642553
2001-12,97128,1016,0.01046042335886665
2002-01,107764,616,0.005716194647563194
2002-02,107756,648,0.00601358625041761
2002-03,106592,668,0.006266886820774542
2002-04,115920,832,0.007177363699102829
2002-05,106240,688,0.006475903614457832
2002-06,100648,824,0.00818694857324537
2002-07,120568,620,0.0051423263220755095
2002-08,98084,528,0.005383140981199788
2002-09,100016,1032,0.010318349064149737
2002-10,115872,688,0.005937586302126484
2002-11,93548,616,0.006584854833882071
2002-12,91096,820,0.009001492930534821
2003-01,144664,2176,0.015041751921694409
2003-02,146928,2996,0.020390939780028313
2003-03,170000,2740,0.016117647058823528
2003-04,158372,1220,0.007703381910943854
2003-05,158980,1864,0.011724745250974965
2003-06,160848,784,0.004874166915348652
2003-07,180980,612,0.003381589125870262
2003-08,152116,756,0.004969891398669437
2003-09,177704,1364,0.00767568540944492
2003-10,184828,1384,0.007488042937217305
2003-11,161668,1976,0.012222579607590866
2003-12,169972,1064,0.006259854564281176
2004-01,162992,892,0.0054726612349072345
2004-02,176236,876,0.004970607594362106
2004-03,200812,1064,0.005298488138159074
2004-04,184316,752,0.00407994965168515
2004-05,166464,944,0.005670895809304114
2004-06,172344,1352,0.007844775565148772
2004-07,188120,792,0.004210078673187327
2004-08,179184,804,0.004487007768550763
2004-09,168580,1004,0.005955629374777554
2004-10,185164,1088,0.0058758721997796545
2004-11,174664,1720,0.00984747858745935
2004-12,165492,704,0.004253982065598337
2005-01,183420,692,0.0037727619670701123
2005-02,182364,1380,0.007567283016384813
2005-03,208924,1140,0.005456529647144416
2005-04,206376,884,0.004283443811295887
2005-05,190180,1088,0.0057208959932695345
2005-06,208620,1312,0.006288946409740198
2005-07,198460,728,0.0036682454902751183
2005-08,199236,980,0.0049187897769479415
2005-09,211736,1516,0.00715985944761401
2005-10,227716,980,0.004303606246377066
2005-11,215604,1352,0.006270755644607707
2005-12,198668,1160,0.005838886987335656
