month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,388,0.006616643929058663
1996-02,65928,488,0.007402014318650649
1996-03,63236,444,0.007021316971345436
1996-04,55628,852,0.015316027899618896
1996-05,62636,712,0.011367264831726164
1996-06,48228,548,0.01136269387078046
1996-07,65940,908,0.013770094024871095
1996-08,56948,664,0.011659759780852708
1996-09,62852,504,0.008018837904919493
1996-10,74080,452,0.006101511879049676
1996-11,63236,772,0.012208235815042065
1996-12,63112,1116,0.017682849537330462
1997-01,66528,364,0.005471380471380472
1997-02,73488,644,0.008763335510559547
1997-03,73136,788,0.010774447604462918
1997-04,83844,820,0.0097800677448595
1997-05,81480,596,0.007314678448699067
1997-06,82460,740,0.008974048023284017
1997-07,91740,684,0.007455853499018967
1997-08,90308,680,0.007529786951322142
1997-09,96276,996,0.010345257385018073
1997-10,129924,1432,0.01102182814568517
1997-11,113420,1164,0.010262740257450186
1997-12,105476,1196,0.011339072395616065
1998-01,96560,1000,0.010356255178127589
1998-02,77936,1008,0.012933689180866351
1998-03,162720,1128,0.006932153392330383
1998-04,160744,1432,0.008908575125665655
1998-05,159668,2672,0.016734724553448405
1998-06,156032,2592,0.016611977030352748
1998-07,145556,1352,0.009288521256423644
1998-08,148136,1760,0.011880974239887671
1998-09,141908,1488,0.010485666770020012
1998-10,166720,1256,0.00753358925143954
1998-11,144760,1744,0.012047526941143962
1998-12,125372,1080,0.008614363653766392
1999-01,137844,2244,0.01627927222077131
1999-02,143224,1372,0.00957940010054181
1999-03,161900,1528,0.009437924644842496
1999-04,157872,1240,0.007854464376203506
1999-05,136916,1612,0.011773642233194076
1999-06,139448,1268,0.009092995238368424
1999-07,138084,1036,0.007502679528403001
1999-08,115860,892,0.007698947005006042
1999-09,114308,1224,0.010707911957168352
1999-10,122484,868,0.007086639887658796
1999-11,116176,1240,0.010673460955791213
1999-12,101288,908,0.008964536766448148
2000-01,115008,808,0.007025598219254313
2000-02,121616,868,0.00713721878700171
2000-03,111492,872,0.007821188964230617
2000-04,102084,708,0.006935464911249559
2000-05,109624,812,0.00740713712325768
2000-06,105960,932,0.008795771989429973
2000-07,107252,1516,0.01413493454667512
2000-08,104148,856,0.008219072857856127
2000-09,107112,1500,0.014004033161550527
2000-10,120340,1128,0.00937344191457537
2000-11,110620,2072,0.018730790092207558
2000-12,15276,160,0.010473946059177796
2001-01,119716,1140,0.009522536670119283
2001-02,109940,1324,0.012042932508641076
2001-03,110956,1448,0.013050218104473845
2001-04,85084,740,0.008697287386582672
2001-05,108524,1044,0.009619991891194574
2001-06,121376,1152,0.009491167940943844
2001-07,125928,1696,0.013468013468013467
2001-08,109988,868,0.007891770011273957
2001-09,129488,3016,0.023291733596935624
2001-10,145396,2160,0.014855979531761534
2001-11,119324,1460,0.012235593845328685
2001-12,97128,1036,0.010666337204513631
2002-01,107764,1288,0.01195204335399577
2002-02,107756,1040,0.009651434722892462
2002-03,106592,1836,0.017224557190033022
2002-04,115920,1452,0.012525879917184264
2002-05,106240,1312,0.012349397590361445
2002-06,100648,1264,0.01255862014148319
2002-07,120568,1112,0.009223011080883817
2002-08,98084,1052,0.01072550059132988
2002-09,100016,1560,0.015597504399296113
2002-10,115872,1660,0.014326152996409831
2002-11,93548,1288,0.013768332834480694
2002-12,91096,1928,0.02116448581715992
2003-01,144664,2404,0.016617817839960185
2003-02,146928,2740,0.018648589785473155
2003-03,170000,2392,0.014070588235294118
2003-04,158372,1600,0.010102795948778824
2003-05,158980,2080,0.013083406717826141
2003-06,160848,1732,0.01076792997115289
2003-07,180980,1784,0.00985744281136037
2003-08,152116,2052,0.013489705224959899
2003-09,177704,1936,0.010894521226308919
2003-10,184828,2000,0.0108208712965568
2003-11,161668,2048,0.01266793675928446
2003-12,169972,2160,0.0127079754312475
2004-01,162992,2012,0.012344164130754884
2004-02,176236,2176,0.012347080051748791
2004-03,200812,1968,0.009800211142760393
2004-04,184316,1884,0.010221575989062263
2004-05,166464,1520,0.00913110342176086
2004-06,172344,1916,0.011117300283154621
2004-07,188120,1516,0.008058685945141399
2004-08,179184,1600,0.00892936869363336
2004-09,168580,1772,0.01051132993237632
2004-10,185164,2068,0.011168477673845888
2004-11,174664,2340,0.013397151101543535
2004-12,165492,1584,0.009571459647596259
2005-01,183420,1472,0.008025297132264747
2005-02,182364,1904,0.010440657147243973
2005-03,208924,1892,0.009055924642453715
2005-04,206376,1852,0.008973911695158352
2005-05,190180,1628,0.008560311284046693
2005-06,208620,2760,0.013229795800977854
2005-07,198460,2352,0.011851254660888844
2005-08,199236,1836,0.009215202071914714
2005-09,211736,2424,0.011448218536290475
2005-10,227716,1900,0.00834372639603717
2005-11,215604,1932,0.008960872711081426
2005-12,198668,2056,0.010348923832725955
2006-01,221040,2928,0.013246471226927252
2006-02,217564,2024,0.009303009689102977
2006-03,247992,2208,0.00890351301654892
2006-04,219340,2164,0.009865961520926416
2006-05,250084,1888,0.007549463380304218
2006-06,248148,2432,0.009800602866031561
2006-07,239552,3088,0.012890729361474753
2006-08,254324,1916,0.007533697173683962
2006-09,221780,2672,0.012047975471187664
2006-10,269764,3592,0.013315342299194852
2006-11,260744,2028,0.007777743687294818
2006-12,213728,1756,0.008216050306932175
2007-01,244804,1572,0.006421463701573504
2007-02,247868,2128,0.008585214711055885
2007-03,267988,2208,0.00823917488842784
2007-04,261436,1588,0.006074144341253691
2007-05,278260,1644,0.005908143462948321
2007-06,261784,1812,0.006921737004553372
2007-07,267884,1480,0.0055247793821206195
2007-08,270692,1448,0.005349253025578887
