date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,12,0.1
1996-01-02,1496,92,0.06149732620320856
1996-01-03,1988,36,0.018108651911468814
1996-01-04,2248,84,0.037366548042704624
1996-01-05,2120,56,0.026415094339622643
1996-01-06,172,0,0.0
1996-01-07,240,20,0.08333333333333333
1996-01-08,2052,96,0.04678362573099415
1996-01-09,2436,64,0.026272577996715927
1996-01-10,2312,76,0.0328719723183391
1996-01-11,2512,76,0.030254777070063694
1996-01-12,1820,52,0.02857142857142857
1996-01-13,252,20,0.07936507936507936
1996-01-14,192,24,0.125
1996-01-15,1516,80,0.052770448548812667
1996-01-16,3288,168,0.051094890510948905
1996-01-17,3556,156,0.043869516310461196
1996-01-18,3304,140,0.0423728813559322
1996-01-19,2352,116,0.04931972789115646
1996-01-20,680,44,0.06470588235294118
1996-01-21,336,72,0.21428571428571427
1996-01-22,2444,176,0.07201309328968904
1996-01-23,3100,208,0.06709677419354838
1996-01-24,3168,180,0.056818181818181816
1996-01-25,3904,220,0.05635245901639344
1996-01-26,2004,80,0.03992015968063872
1996-01-27,208,24,0.11538461538461539
1996-01-28,252,32,0.12698412698412698
1996-01-29,2056,68,0.033073929961089495
1996-01-30,2956,92,0.03112313937753721
1996-01-31,3556,188,0.052868391451068614
1996-02-01,3744,172,0.045940170940170943
1996-02-02,2872,40,0.013927576601671309
1996-02-03,48,0,0.0
1996-02-04,180,40,0.2222222222222222
1996-02-05,2292,84,0.03664921465968586
1996-02-06,3404,188,0.055229142185663924
1996-02-07,3796,168,0.044257112750263436
1996-02-08,4556,188,0.041264266900790166
1996-02-09,2988,160,0.0535475234270415
1996-02-10,128,24,0.1875
1996-02-11,212,24,0.11320754716981132
1996-02-12,2664,56,0.021021021021021023
1996-02-13,3980,116,0.02914572864321608
1996-02-14,3468,140,0.040369088811995385
1996-02-15,4852,244,0.05028854080791426
1996-02-16,2980,116,0.038926174496644296
1996-02-17,168,32,0.19047619047619047
1996-02-18,240,116,0.48333333333333334
1996-02-19,844,72,0.08530805687203792
1996-02-20,2444,80,0.03273322422258593
1996-02-21,3072,244,0.07942708333333333
1996-02-22,2376,168,0.0707070707070707
1996-02-23,2760,116,0.042028985507246375
1996-02-24,84,12,0.14285714285714285
1996-02-25,168,20,0.11904761904761904
1996-02-26,2268,232,0.10229276895943562
1996-02-27,3236,208,0.06427688504326329
1996-02-28,3172,152,0.04791929382093316
1996-02-29,2932,156,0.05320600272851296
1996-03-01,1972,80,0.04056795131845842
1996-03-02,124,24,0.1935483870967742
1996-03-03,128,12,0.09375
1996-03-04,2372,160,0.06745362563237774
1996-03-05,2572,128,0.049766718506998445
1996-03-06,2752,148,0.05377906976744186
1996-03-07,3224,236,0.07320099255583126
1996-03-08,2268,144,0.06349206349206349
1996-03-09,216,52,0.24074074074074073
1996-03-10,308,56,0.18181818181818182
1996-03-11,2564,212,0.08268330733229329
1996-03-12,3520,220,0.0625
1996-03-13,4044,276,0.06824925816023739
1996-03-14,3556,220,0.06186726659167604
1996-03-15,2656,104,0.0391566265060241
1996-03-16,192,24,0.125
1996-03-17,280,80,0.2857142857142857
1996-03-18,2820,152,0.05390070921985816
1996-03-19,3296,280,0.08495145631067962
1996-03-20,3136,220,0.07015306122448979
1996-03-21,3064,220,0.07180156657963446
1996-03-22,2756,184,0.06676342525399129
1996-03-23,172,20,0.11627906976744186
1996-03-24,192,20,0.10416666666666667
1996-03-25,2148,104,0.048417132216014895
1996-03-26,3088,104,0.03367875647668394
1996-03-27,3376,204,0.06042654028436019
1996-03-28,3216,192,0.05970149253731343
1996-03-29,2852,88,0.030855539971949508
1996-03-30,160,40,0.25
1996-03-31,212,44,0.20754716981132076
1996-04-01,2764,144,0.05209840810419682
1996-04-02,2848,160,0.056179775280898875
1996-04-03,2392,192,0.0802675585284281
1996-04-04,2476,172,0.06946688206785137
1996-04-05,484,32,0.06611570247933884
1996-04-06,0,0,0.06611570247933884
1996-04-07,0,0,0.06611570247933884
1996-04-08,0,0,0.06611570247933884
1996-04-09,0,0,0.06611570247933884
1996-04-10,0,0,0.06611570247933884
1996-04-11,3040,280,0.09210526315789473
1996-04-12,2728,152,0.05571847507331378
1996-04-13,132,24,0.18181818181818182
1996-04-14,188,16,0.0851063829787234
1996-04-15,2928,120,0.040983606557377046
1996-04-16,3644,184,0.050493962678375415
1996-04-17,3964,184,0.04641775983854692
1996-04-18,3852,252,0.06542056074766354
1996-04-19,2460,200,0.08130081300813008
1996-04-20,476,108,0.226890756302521
1996-04-21,516,132,0.2558139534883721
1996-04-22,3020,164,0.054304635761589407
1996-04-23,3936,340,0.08638211382113821
1996-04-24,3664,180,0.04912663755458515
1996-04-25,3604,160,0.04439511653718091
1996-04-26,2476,164,0.06623586429725363
1996-04-27,136,36,0.2647058823529412
1996-04-28,156,32,0.20512820512820512
1996-04-29,228,4,0.017543859649122806
1996-04-30,3516,92,0.026166097838452786
1996-05-01,2436,48,0.019704433497536946
1996-05-02,3136,120,0.03826530612244898
1996-05-03,2272,140,0.061619718309859156
1996-05-04,76,12,0.15789473684210525
1996-05-05,164,52,0.3170731707317073
1996-05-06,2064,172,0.08333333333333333
1996-05-07,3604,184,0.051054384017758046
1996-05-08,3296,184,0.055825242718446605
1996-05-09,3568,256,0.07174887892376682
1996-05-10,2812,164,0.05832147937411095
1996-05-11,160,32,0.2
1996-05-12,300,44,0.14666666666666667
1996-05-13,3256,132,0.04054054054054054
1996-05-14,3120,124,0.03974358974358974
1996-05-15,2772,284,0.10245310245310245
1996-05-16,2712,292,0.10766961651917405
1996-05-17,2240,220,0.09821428571428571
1996-05-18,108,16,0.14814814814814814
1996-05-19,236,88,0.3728813559322034
1996-05-20,2640,216,0.08181818181818182
1996-05-21,2724,216,0.07929515418502203
1996-05-22,3036,272,0.08959156785243742
1996-05-23,3112,292,0.09383033419023136
1996-05-24,2060,152,0.07378640776699029
1996-05-25,120,20,0.16666666666666666
1996-05-26,224,36,0.16071428571428573
1996-05-27,348,52,0.14942528735632185
1996-05-28,1744,72,0.04128440366972477
1996-05-29,2828,116,0.04101838755304102
1996-05-30,3004,152,0.05059920106524634
1996-05-31,2464,120,0.048701298701298704
1996-06-01,172,40,0.23255813953488372
1996-06-02,288,88,0.3055555555555556
1996-06-03,2900,136,0.04689655172413793
1996-06-04,3228,168,0.05204460966542751
1996-06-05,2712,108,0.03982300884955752
1996-06-06,3052,156,0.05111402359108781
1996-06-07,2036,56,0.0275049115913556
1996-06-08,84,8,0.09523809523809523
1996-06-09,264,16,0.06060606060606061
1996-06-10,2336,88,0.03767123287671233
1996-06-11,4,4,1.0
1996-06-12,3212,196,0.06102117061021171
1996-06-13,3136,192,0.061224489795918366
1996-06-14,2768,240,0.08670520231213873
1996-06-15,28,0,0.0
1996-06-16,288,76,0.2638888888888889
1996-06-17,2500,248,0.0992
1996-06-18,2528,148,0.058544303797468354
1996-06-19,2596,112,0.04314329738058552
1996-06-20,2928,160,0.0546448087431694
1996-06-21,2192,44,0.020072992700729927
1996-06-22,128,60,0.46875
1996-06-23,136,16,0.11764705882352941
1996-06-24,2204,152,0.06896551724137931
1996-06-25,0,0,0.06896551724137931
1996-06-26,0,0,0.06896551724137931
1996-06-27,3392,252,0.07429245283018868
1996-06-28,3116,292,0.09370988446726572
1996-06-29,0,0,0.09370988446726572
1996-06-30,0,0,0.09370988446726572
1996-07-01,2364,120,0.050761421319796954
1996-07-02,2488,108,0.04340836012861737
1996-07-03,2316,304,0.13126079447322972
1996-07-04,776,72,0.09278350515463918
1996-07-05,1612,164,0.10173697270471464
1996-07-06,112,40,0.35714285714285715
1996-07-07,192,48,0.25
1996-07-08,2044,104,0.050880626223091974
1996-07-09,2852,132,0.04628330995792426
1996-07-10,2964,208,0.07017543859649122
1996-07-11,3360,276,0.08214285714285714
1996-07-12,2496,124,0.049679487179487176
1996-07-13,112,36,0.32142857142857145
1996-07-14,204,56,0.27450980392156865
1996-07-15,3212,184,0.057285180572851806
1996-07-16,4100,316,0.07707317073170732
1996-07-17,3568,264,0.07399103139013453
1996-07-18,3856,316,0.08195020746887967
1996-07-19,2812,104,0.03698435277382646
1996-07-20,0,0,0.03698435277382646
1996-07-21,152,28,0.18421052631578946
1996-07-22,2580,104,0.040310077519379844
1996-07-23,3500,200,0.05714285714285714
1996-07-24,3388,256,0.0755608028335301
1996-07-25,3524,172,0.04880817253121453
1996-07-26,2212,112,0.05063291139240506
1996-07-27,212,36,0.16981132075471697
1996-07-28,184,28,0.15217391304347827
1996-07-29,2440,168,0.06885245901639345
1996-07-30,2804,176,0.06276747503566334
1996-07-31,3504,196,0.05593607305936073
1996-08-01,2916,196,0.06721536351165981
1996-08-02,2416,120,0.04966887417218543
1996-08-03,176,76,0.4318181818181818
1996-08-04,236,56,0.23728813559322035
1996-08-05,2452,164,0.06688417618270799
1996-08-06,2556,180,0.07042253521126761
1996-08-07,2848,276,0.09691011235955056
1996-08-08,3044,204,0.06701708278580815
1996-08-09,1956,140,0.07157464212678936
1996-08-10,184,48,0.2608695652173913
1996-08-11,244,36,0.14754098360655737
1996-08-12,2748,120,0.043668122270742356
1996-08-13,2888,128,0.0443213296398892
1996-08-14,2636,152,0.057663125948406675
1996-08-15,2820,128,0.04539007092198582
1996-08-16,2164,124,0.05730129390018484
1996-08-17,112,20,0.17857142857142858
1996-08-18,252,20,0.07936507936507936
1996-08-19,2092,80,0.03824091778202677
1996-08-20,2748,128,0.046579330422125184
1996-08-21,2536,228,0.08990536277602523
1996-08-22,2772,116,0.04184704184704185
1996-08-23,2112,96,0.045454545454545456
1996-08-24,200,24,0.12
1996-08-25,200,44,0.22
1996-08-26,1872,72,0.038461538461538464
1996-08-27,2856,104,0.036414565826330535
1996-08-28,2468,120,0.04862236628849271
