,weight
pursuing_nuclear,44.95002672911083
david_albright,39.3616187829392
weapons_capability,39.00159757476317
sanctions_relief,38.41368581091154
fissionable,36.50531338674357
halt_enrichment,36.38856369975596
suspend_enrichment,34.50138678139811
covert_nuclear,33.45673101667101
tougher_sanctions,31.496688164464416
weapons_programme,30.890505806062265
weaponisation,30.114499899916133
entirely_peaceful,30.047446472708035
arak_reactor,29.988479271213585
clandestine_nuclear,29.80247876087886
iran's_refusal,29.64364005733783
isolate_tehran,29.53499529567524
intrusive_inspections,29.211077740611383
fissile,29.01592407041484
enrichment_activities,28.347760459113662
iran's_insistence,28.13866380185771
missile_proliferation,27.81521682741028
enrichment_program,27.575926731438074
prohibited_weapons,27.447706341820687
thermonuclear,27.290544617674268
mousavian,26.911338043306532
incentives_package,26.600516491137665
undeclared_nuclear,26.378816264164627
western_suspicions,26.328062551638403
persuade_tehran,25.83935809480125
heinonen,25.826489331431695
gfms_ltd,25.554566999036286
reprocess,25.428567062371105
bombmaking,25.163200675753682
soltanieh,24.988015301795283
subrahmanyam,24.61322006876361
perkovich,24.519857750758735
vaeedi,24.293695061988444
mehmanparast,24.287730284344146
jalili's,24.183605377921218
germ_weapons,23.86794019632663
suspend_uranium,23.468114774166924
nuclear_nonproliferation,23.36450142355673
atom_body,23.344364967093252
laser_enrichment,22.840493384839355
heu,22.274257250030573
paclitaxel_coated,22.26965278194075
ncnd,22.226633592021763
iaea_visits,22.225708384058304
despicable_escalation,22.20633814869591
sanitisation,22.00988748346523
hostile_attitude,21.992057549671998
taleyarkhan,21.759054243529484
verifiably,21.36722742349458
weaponised,21.154471980305996
profileration,21.08730726167247
wepaons,20.576747955675593
civilian_reactors,20.393037623804272
schn,20.208137315486507
kurie,20.164299175462954
intelligence_allegations,20.14694354406293
globaldigital,19.28438687595451
metamaterials,18.90537355812048
proliferant,18.50716336294407
ideasphere,18.007329923708845
mithen,17.92246572748256
berrigans,17.49270890353753
khodro's,17.229348086877664
hcpo,17.01893586267697
denies_accusations,16.371827342905735
dutson,16.21852577673633
konka's,15.882088734279915
burim,15.369153228078854
ajayan,14.994745887803226
labtech,14.697902039206815
builiding,14.525856019996134
escalaton,14.352045033631637
expressed_scepticism,14.330141244573113
paksitan's,13.708776860810076
columbite,13.68606708577822
sophisicated,13.341958174725034
inseperable,13.229380819546884
puregraphite,13.14733466513368
powershed,12.976279914809028
enrichments,12.8768893005629
une_quipe,12.7056737154832
missile_peddler,12.565463594925465
inspecciones,12.336092551477494
altavant,11.939415939203734
alllows,11.785961384273975
establishment_divisions,11.488833383908268
enrichi,11.195131229730096
scientist_jailed,11.123019513740216
weaons,10.734363047528998
accelink_technologies,10.44851839061315
hypulsion,10.39162994477773
avlb,10.241353790544215
airtime_wholesale,9.835051779222269
trade_embargo,9.374828084861916
lazardcapital,8.719853482243561
negaron,6.780906976720487
