,weight
export_controls,78.67700667026068
export_licenses,55.87798756620878
chipmaking_tools,54.96397040543986
entity_list,49.10818628062916
beijing's_technological,47.28744610907446
chipmaking_equipment,44.25020763824558
chipmaking,42.65077371935038
trade_blacklist,42.5706155566153
semiconductor_manufacturing,42.117534497672224
germanium_products,40.65771110012494
ymtc,39.65423018854112
chipmakers,39.38785357381447
gallium,38.86572560511523
fdpr,38.578394255906545
smic,38.29906090189824
changxin_memory,38.25916872968201
microchips,37.46759964491261
hikvision,36.63936838546804
advanced_semiconductors,35.004161953594824
cyber_theft,34.14215841849844
computer_chips,33.78087069267757
germanium,33.32694814390753
inspur,32.99922449747161
secretary_gina,31.881783834648008
muslim_minorities,31.84874600362406
autel_robotics,31.046880847288413
export_credits,30.87759092323352
microchip,30.268244150905762
dahua,30.152390351625556
haishi,30.01243318775049
megvii,29.746365838937567
zte's,29.26335047931381
cxmt,29.227914668313723
duv,28.334535962306155
zhejiang_dahua,28.218725151631165
synthetic_opioid,28.125728210037536
magnets,28.041436931944116
microelectronics,28.033043704447614
kla_corp,27.80322404247484
etching,27.58213127787655
electronic_devices,27.561263409182878
engineers_aim,27.42872664308415
semiconductor_makers,27.17245636908793
miit,26.78223526294058
weiye,26.63534448671773
cursors,26.057565174536958
camel_group,25.25780112923741
phytium,25.24935485074996
semi_conductors,25.194234220510562
cyberspying,25.146938895264427
licensing_requirements,24.303409608875256
cloudwalk,23.965634851984614
slapped_duties,23.785722886863695
wassenaar,23.61528354232785
retendered,23.430868241949003
changgwang,23.216089722403268
mtsi,22.859574963153502
ibrahim_hooper,22.812115737898818
sdgt,22.54587161069405
brite,22.514329004783264
hambali's,22.489768646823254
haiguo,22.48715675635895
papovich,22.478808003343044
naura,22.408843197335724
toolmakers,22.06987672326792
tanyuan,22.045525068600043
bitland,22.034425371121188
axt,21.871645968251414
everwin,21.808104420252675
firrma,21.758350774269275
asat's,21.607449310914863
nanjing_panda,21.214992317467175
todd_young,20.52725976826171
acacia_communications,20.362973494232158
micrel_inc,19.917848796550697
shippable,19.358240930275628
freeport_smelter,19.330399162151313
goldenstone,19.221535944214764
sijia,19.06816541456531
shinmoorim,18.787266653017202
status_tps,18.707926332367652
ucii,18.223100697132846
lrcx's,17.583931520770502
management's_discretion,17.056225743566863
youshan,16.97147811542561
reissued,16.596114969462974
materialsciences,16.478245552238295
availabilty,16.380408943022314
kuang_chi,16.378547655587376
axti,16.11107610922114
procure_materials,15.51034608676975
jinrong,14.875225156393093
slovakia_anastasia,13.388541747790338
tooraj,12.543255157741624
fabiola_ortiz,12.346075036596025
plasticized,11.084332914657672
microfabrication,10.383708202657914
brijot,9.721470751451655
operresults,8.437874882853396
toreplace,5.502963946345997
