,weight
uranium_enrichment,66.91705363330837
tehran's_nuclear,65.12354770832717
nuclear_programme,63.84124757579785
enrichment,58.69018920422194
weapons_inspectors,55.918545523203505
sanctions_imposed,54.72532609617813
nuclear_program,54.640128640559226
embargo,54.226262643820874
arms_embargo,53.54927341528026
tougher_sanctions,52.919788633191125
nuclear_enrichment,52.10014751950268
nuclear_arms,51.34781618425731
stop_enriching,48.49375703285825
lifting_sanctions,47.62574785592906
western_powers,47.330682372932266
nuclear_ambitions,46.83450114357302
tehran's,46.62684728332793
disputed_nuclear,45.778742308742366
reimposed_sanctions,45.300672111497015
halt_enrichment,45.27696168308976
atomic_weapons,44.26465676014201
jcpoa,44.1776451090874
enrich_uranium,42.75879494319931
diplomatic_solution,42.74653457565873
islamic_republic,42.68525674177258
low_enriched,42.28531773029898
suspend_enrichment,41.00778159989528
banned_weapons,40.867854008966795
atom_bombs,40.2770731037137
embargoes,40.19752675251657
enrichment_programme,40.16770016136127
reimpose_sanctions,39.9106850237851
missile_programme,39.28249907125999
atomic_programme,39.00421957591271
iaea_board,38.49412198200794
eu_trio,38.40956109657292
sanctions_snapback,38.39648468838719
nuclear_proliferation,38.357869364318475
civilian_atomic,37.51466381701179
lift_sanctions,37.479671264933984
peaceful_nuclear,37.44445620756782
western_diplomats,37.424254769363664
enriching_uranium,37.37634080680864
diplomats_say,37.32677578700762
uranium_abroad,37.05449717399768
persuade_iran,37.04034875009116
tehran's_atomic,36.97397154135485
diplomatic_efforts,36.82481354400143
enrichment_work,35.7406515725193
peaceful_purposes,35.48026076786096
incentives_package,35.25241900091231
uranium_conversion,35.01999430385059
crippling_sanctions,34.68663960658715
persuade_tehran,34.66683174976636
iaea_inspections,34.61577261924011
suspend_uranium,34.166458831209546
nuclear_accord,34.1647379298116
reimposed,33.96240747915364
intrusive_inspections,33.67002171207861
nuclear_activities,33.64882367670441
negotiated_solution,33.56437370307777
nuclear_negotiator,33.35258076545951
iran's_refusal,33.021607053271076
west_suspects,32.958888631122896
iaea_resolution,32.84872635212562
enrichment_activities,32.57784841093268
isolate_tehran,32.45963068359811
civilian_purposes,32.35161903141957
sensitive_atomic,32.308786813488545
reimposing_sanctions,32.162527055387415
weapons_programmes,31.835433170057264
curb_tehran's,31.821309068011352
atomic_ambitions,31.64237353262854
suspending_sanctions,31.491735113494475
arak_reactor,30.85835736480555
iran_insists,30.78570442582793
tehran_insists,30.744638740311654
inspection_regime,30.686084938129483
atomic_watchdog,30.628508367923033
iraq's_ambassador,30.578340472761052
develop_atomic,29.62504317591619
punitive_sanctions,29.50330596551187
unilateral_action,29.430778430923823
reimposing,29.143168884994516
weapons_programme,29.070389057695053
visa_ban,28.983937482603345
reimposition,28.278091877744252
developing_atomic,28.0244918045234
traditional_ally,27.198254197992295
disarming_iraq,27.09976626355173
retaliatory_sanctions,26.940632805194383
iraqi_disarmament,26.624677303701045
verifiably,26.054550091730597
resolution_demanding,25.890069245152013
enrichment_reprocessing,25.305729123009282
curbing_tehran's,24.6305042908622
embargo_imposed,24.474758127721174
resolution_imposing,24.176898744457763
extraterritorial_application,16.89933274140595
voicing_concern,15.422145123996431
