,weight
magnitsky_act,65.74232665820017
magnitsky,65.16530825123962
sergei_magnitsky,62.2348180428275
deny_visas,51.15271844186619
asset_freezes,48.70646161671436
magnitsky's,42.781345268265746
imposed_sanctions,42.08210419458752
magnitsky_bill,41.41894964006185
sanctions_imposed,39.755512950902705
blacklist,39.50674208572397
blacklisted,38.1351304785864
visa_restrictions,35.417729080327106
visa_bans,35.3540057858947
specially_designated,35.12087798246339
travel_bans,34.92193291040184
impose_sanctions,34.61648869475278
visa_ban,34.33448402508107
imprisonment,34.17639628268688
uighur_muslims,33.94361614762818
children_adopted,33.84445394934073
violators,33.182867105179405
espionage_charges,31.928272650759716
punitive_measures,31.78556683978926
imposing_sanctions,31.21730774571876
fedotov,31.104561110653947
caesar_act,31.104498268111886
sectoral_sanctions,30.50714955901423
undermining_democracy,30.501685017597463
blacklists,30.259656036316947
prison_sentences,29.855418410367736
religious_persecution,29.83741285901889
russian_businessmen,29.405773120325144
voloshin,29.173600437204076
bastrykin,29.115286599934244
radnofsky,29.05545097996285
nastassia_astrasheuskaya,28.917131809580148
slap_sanctions,28.54982861193406
criminalizes,28.543560613880505
steve_gutterman,28.519203934954707
prohibitions,28.44613637759573
terren_peizer,28.3368508520072
blacklisting,28.300116952358565
arbitrary_detention,27.558792650187538
lawyer_sergei,27.321751727140093
ros_lehtinen,27.061161944845026
rights_violators,26.590976806277855
revoking,26.58566813740914
jail_sentences,26.38290950786692
senators_marco,26.328278255853927
inclusion_factor,26.13419022823272
znak,25.54670582759239
sanctioning,25.48135858838699
buriko,25.4470121328177
gudkov,24.841375115423226
ofac's,24.3056626017985
lebedev,24.086957012799257
darya_korsunskaya,23.791075739707416
amnesties,23.63208486735298
slapped_sanctions,23.55113351104611
intrusion_into,23.523702149640513
pntr_legislation,23.473912615264226
repressions,23.333882086628815
zhukov,22.962243768932737
praises_lionsgate,22.887572706030554
kuzmin,22.853454411076193
dmitrii,22.632068518017487
restrictive_measures,21.876608570674406
dirienzo,21.300493781717286
strugatsky,21.217602556474795
kalugin,21.101137631279034
anatolievna,21.053112703175056
khlebnikov,20.98263183288901
rights_campaigners,20.910304615949304
chaika,20.90300530627721
komarovsky,20.801853735658717
alfred_kueppers,20.674289313337354
sonia_elks,20.55688596008637
levada_center,20.430687143384308
funded_charities,20.316116706375986
reiman,20.068879023917724
contravening,19.84986400392238
pussyriot,19.81151102401248
dunja,19.784363129165424
zarema,19.412706745139857
dzhelyalov,19.294137713217907
shalish,18.671734596934918
moroccan_brahim,18.02097943840354
shchekochikhin,17.85528598868768
russia's_proxies,17.704743541090963
demidov,17.27228176396594
bigtoken,16.79020986369503
cemal_demirtas,16.142907856985254
shikhmuradov's,16.049635148377764
pornography's,15.514396653619503
corcoran_gallery,15.4702629071088
zug_estates,14.773828102825005
reincorporations,14.279335229171316
akhmednabiyev,13.172380858398142
bovim,12.741941897005375
intelectuales,6.327904246543772
