,weight
uranium_enrichment,87.35880704663224
tehran's_nuclear,86.35402961339071
nuclear_programme,82.50896535201954
enrichment,74.64887509643445
tehran's,65.25227922170355
nuclear_program,60.77855535765786
enriched_uranium,59.12589949116084
atomic_bombs,58.45375574236475
atomic_weapons,58.43764932882983
islamic_republic,58.146469083956994
atomic,57.27476359914787
enrich_uranium,56.70872184576628
nuclear_arms,55.89499820491996
nuclear_ambitions,53.36966752956183
atomic_bomb,53.36863666612093
western_powers,53.29788818690836
disputed_nuclear,53.14717155454822
enriching_uranium,51.00083783671542
nuclear_enrichment,50.47525482273542
reimposed_sanctions,50.13118015019254
atom_bombs,50.11133025537224
tehran_denies,49.61052426088929
iran's_atomic,47.387185392160184
peaceful_purposes,47.27829055526876
enrichment_programme,46.77022933051436
iran's_ballistic,46.50264206876083
stop_enriching,45.96335188400438
nuclear_watchdog,45.85651584259153
islamic_republic's,45.704578192997865
sanctions_imposed,45.63733351318258
atomic_programme,45.1106968424871
tehran's_atomic,44.9108860176308
nuclear_programmes,44.3608059716585
diplomatic_solution,44.204962330128424
civilian_nuclear,44.133497822185234
mottaki,43.56407952423736
missile_programme,43.05153270042269
zarif,42.9123017283941
banned_weapons,42.706126144592034
western_diplomats,42.41801066255068
iaea's,42.209595851205975
atomic_activities,42.18330499829434
missile_programmes,41.885605483537454
peaceful_nuclear,41.883687403324444
atom_bomb,41.63683465717094
civilian_atomic,41.37774146038562
advanced_centrifuges,40.910824362358206
suspend_enrichment,40.53359614093788
reimpose_sanctions,40.302379096174626
enrichment_process,40.00461669929324
iran_denies,39.828184678988706
west_suspects,39.77933473551239
halt_enrichment,39.52720383173418
tougher_sanctions,39.47970539267741
weapons_programmes,39.37192346753669
nuclear_proliferation,39.370165906538716
nuclear_disarmament,39.28340400095502
larijani,39.27826195223893
diplomatic_efforts,39.14479217146009
generate_electricity,39.11586721205184
punitive_measures,38.67566655130779
javad_zarif,38.258691036015904
tehran_insists,37.884066730983285
nuclear_accord,37.83309404754536
incentives_aimed,37.74272010466626
atomic_weapon,37.64841259140387
iran's_enrichment,37.4616242945987
salehi,37.122173400048396
fissile_material,36.96828512958413
nuclear_activities,36.55162964222494
enrichment_work,36.47839397779239
isolate_iran,35.88514330698057
civilian_purposes,35.63979466583626
nuclear_standoff,35.62525751324663
tehran's_disputed,35.175742815872525
generating_electricity,35.13626792023129
atomic_ambitions,34.81819184707483
atomic_watchdog,34.63453102944536
iran's_refusal,34.614390704586036
weapons_programme,34.60494883190517
president_hassan,34.26199390557172
curb_tehran's,33.840023165533026
iran_insists,33.44521832417604
grade_uranium,33.18539095798356
develop_atomic,33.02489448335006
asefi,32.9198499043569
sensitive_atomic,32.44573973849764
purify_uranium,32.429859070749394
enrichment_activities,31.559392432867373
agency_iaea,31.201258256426566
soltanieh,31.090598468223313
crippling_sanctions,31.037729752728314
suspend_uranium,30.406126788342398
atomic_arms,30.168935495137895
developing_atomic,30.09280136358593
iran's_ambassador,28.183361119475894
entirely_peaceful,27.9616756153597
iran's_disputed,27.903364383054697
purely_peaceful,26.88833244423684
curbing_tehran's,24.515917704413194
