,weight
organization_wto,66.26264681721959
trade_representative's,63.017357325340754
wto_rules,62.43237394806571
countervailing_duties,60.92325749641428
duties,60.65491209382282
ustr,58.67825302749799
countervailing_duty,57.52810191295935
wto_panel,56.65975180122295
unfair_trade,56.458052053675004
farm_subsidies,55.36905419555773
antidumping,54.04452484177483
wto's,52.80224246534342
trade_pacts,51.92034897288281
unfair_subsidies,51.637327788388134
punitive_duties,50.64623828572001
agreement_nafta,49.01117914779693
representative_ron,48.76604246441215
uruguay_round,48.737883437036544
retaliatory_tariffs,48.7259975613772
wto's_dispute,48.390025012326475
permanent_normal,47.53855105455612
pntr,47.22187800773698
promotion_authority,46.03158618240542
lamy,45.96318252344858
wto_ruling,45.76405927276961
mercosur,45.757576709557256
impose_countervailing,45.55394762295952
wto_accession,45.15457801766551
zoellick,44.913486307685666
dumping_duties,44.76494031214644
tire_imports,44.75225504246953
import_restrictions,44.38906471800767
wto_complaint,44.33164896808492
slap_duties,43.945909205934285
antidumping_duties,43.70636504916292
wto_membership,43.55927194973927
wto_dispute,43.431592550056976
ftaa,43.308886681508135
byrd_amendment,42.76241506551241
glossy_paper,41.9958246537322
chinese_textile,41.98810751095064
unfairly_subsidized,41.963852203766955
currency_undervaluation,41.40635374136265
agricultural_subsidies,41.156677647078126
duties_ranging,41.016560886111414
indigenous_innovation,40.949337100033915
cccme,40.72189227475855
nafta_panel,40.32496298608454
brittan,40.186024556189466
safeguard_duties,39.557697057124344
wto_ministerial,39.47109933084054
de_gucht,39.371639371441375
usitc,38.94301273362382
favoured_nation,38.36785942582785
protectionist_measures,37.98537202856008
retaliatory_duties,37.63786860318798
aldonas,37.54472844819939
representative_charlene,37.19015134129065
representative_robert,36.35206995995202
wto_rulings,36.0737822919228
impose_duties,35.50342132479388
countervailable,35.48719836479426
imposing_tariffs,34.99338861221273
safeguard_measures,34.678882432952435
itc's,34.64979470064821
ustr_kirk,34.28422454815478
nafta_ruling,34.205536141822485
tariffs_imposed,34.146005612481964
ustr's,34.11190571369428
impose_punitive,33.718646146652105
trade_barriers,33.312608373219305
representative_rob,32.49830250035029
subsidy_programs,32.181382949066304
katherine_tai,32.069526637940456
auxin,31.96377567051231
leon_brittan,31.933079851965136
cold_rolled,31.705388971393653
shrimp_imports,31.223349122889633
jcct,30.88709826811491
tariff_reductions,30.52812946496304
liberalize,30.321108467357444
duties_imposed,30.222041754103568
punke,30.068755665010745
commissioner_peter,29.66187042686355
hardwood_plywood,29.54110037495447
eliminating_tariffs,29.50273971629283
retaliatory_sanctions,29.460801715395387
relations_pntr,29.189511326897826
usitc's,29.175270550889454
representative_ustr,27.27695869503386
corrosion_resistant,27.161236285050098
prise_open,27.073943023541528
antidumping_petition,27.06844721710103
esserman,26.484658410228064
dispute_settlement,26.437052708586247
allgeier,25.84350319802561
juliane_von,25.812717060643607
commissioner_karel,24.93054769216968
representative_michael,24.611805805315765
commissioner_pascal,24.35498646126285
