date,n_articles,n_gep_articles,GEP_daily
1996-01-01,120,68,0.5666666666666667
1996-01-02,1496,248,0.1657754010695187
1996-01-03,1988,224,0.11267605633802817
1996-01-04,2248,536,0.23843416370106763
1996-01-05,2120,276,0.13018867924528302
1996-01-06,172,68,0.3953488372093023
1996-01-07,240,144,0.6
1996-01-08,2052,372,0.18128654970760233
1996-01-09,2436,348,0.14285714285714285
1996-01-10,2312,396,0.17128027681660898
1996-01-11,2512,348,0.13853503184713375
1996-01-12,1820,364,0.2
1996-01-13,252,88,0.3492063492063492
1996-01-14,192,60,0.3125
1996-01-15,1516,344,0.22691292875989447
1996-01-16,3288,764,0.23236009732360097
1996-01-17,3556,652,0.18335208098987626
1996-01-18,3304,612,0.18523002421307505
1996-01-19,2352,604,0.2568027210884354
1996-01-20,680,152,0.2235294117647059
1996-01-21,336,184,0.5476190476190477
1996-01-22,2444,544,0.2225859247135843
1996-01-23,3100,632,0.20387096774193547
1996-01-24,3168,576,0.18181818181818182
1996-01-25,3904,844,0.21618852459016394
1996-01-26,2004,416,0.20758483033932135
1996-01-27,208,84,0.40384615384615385
1996-01-28,252,80,0.31746031746031744
1996-01-29,2056,320,0.1556420233463035
1996-01-30,2956,480,0.16238159675236807
1996-01-31,3556,624,0.17547806524184478
1996-02-01,3744,584,0.15598290598290598
1996-02-02,2872,324,0.11281337047353761
1996-02-03,48,4,0.08333333333333333
1996-02-04,180,72,0.4
1996-02-05,2292,324,0.14136125654450263
1996-02-06,3404,624,0.18331374853113983
1996-02-07,3796,664,0.1749209694415174
1996-02-08,4556,696,0.1527655838454785
1996-02-09,2988,676,0.22623828647925034
1996-02-10,128,48,0.375
1996-02-11,212,84,0.39622641509433965
1996-02-12,2664,344,0.12912912912912913
1996-02-13,3980,444,0.11155778894472362
1996-02-14,3468,616,0.1776239907727797
1996-02-15,4852,716,0.14756801319043694
1996-02-16,2980,484,0.16241610738255033
1996-02-17,168,72,0.42857142857142855
1996-02-18,240,160,0.6666666666666666
1996-02-19,844,180,0.2132701421800948
1996-02-20,2444,408,0.16693944353518822
1996-02-21,3072,652,0.21223958333333334
1996-02-22,2376,512,0.21548821548821548
1996-02-23,2760,608,0.22028985507246376
1996-02-24,84,28,0.3333333333333333
1996-02-25,168,36,0.21428571428571427
1996-02-26,2268,496,0.21869488536155202
1996-02-27,3236,648,0.20024721878862795
1996-02-28,3172,568,0.17906683480453972
1996-02-29,2932,604,0.20600272851296045
1996-03-01,1972,292,0.14807302231237324
1996-03-02,124,44,0.3548387096774194
1996-03-03,128,60,0.46875
1996-03-04,2372,452,0.1905564924114671
1996-03-05,2572,412,0.16018662519440124
1996-03-06,2752,536,0.19476744186046513
1996-03-07,3224,656,0.20347394540942929
1996-03-08,2268,488,0.21516754850088182
1996-03-09,216,112,0.5185185185185185
1996-03-10,308,176,0.5714285714285714
1996-03-11,2564,720,0.28081123244929795
1996-03-12,3520,888,0.25227272727272726
1996-03-13,4044,964,0.23837784371909002
1996-03-14,3556,880,0.24746906636670415
1996-03-15,2656,460,0.17319277108433734
1996-03-16,192,100,0.5208333333333334
1996-03-17,280,140,0.5
1996-03-18,2820,656,0.2326241134751773
1996-03-19,3296,736,0.22330097087378642
1996-03-20,3136,508,0.16198979591836735
1996-03-21,3064,632,0.206266318537859
1996-03-22,2756,624,0.22641509433962265
1996-03-23,172,120,0.6976744186046512
1996-03-24,192,88,0.4583333333333333
1996-03-25,2148,412,0.19180633147113593
1996-03-26,3088,560,0.18134715025906736
1996-03-27,3376,708,0.20971563981042654
1996-03-28,3216,700,0.21766169154228857
1996-03-29,2852,528,0.18513323983169705
1996-03-30,160,92,0.575
1996-03-31,212,100,0.4716981132075472
1996-04-01,2764,568,0.20549927641099855
1996-04-02,2848,532,0.18679775280898878
1996-04-03,2392,536,0.22408026755852842
1996-04-04,2476,628,0.25363489499192243
