month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,336,0.00572987721691678
1996-02,65928,312,0.004732435384055333
1996-03,63236,468,0.0074008476184451895
1996-04,55628,692,0.012439778528798446
1996-05,62636,764,0.012197458330672456
1996-06,48228,540,0.011196815128141328
1996-07,65940,720,0.01091901728844404
1996-08,56948,788,0.013837184800168574
1996-09,62852,560,0.008909819894354992
1996-10,74080,420,0.005669546436285098
1996-11,63236,388,0.006135745461446011
1996-12,63112,548,0.008682976296108506
1997-01,66528,264,0.003968253968253968
1997-02,73488,396,0.005388634879163945
1997-03,73136,336,0.004594180704441042
1997-04,83844,424,0.005057010638805401
1997-05,81480,548,0.006725576828669613
1997-06,82460,352,0.004268736357021586
1997-07,91740,296,0.003226509701329845
1997-08,90308,564,0.006245293883155424
1997-09,96276,384,0.003988532967717812
1997-10,129924,1072,0.008250977494535267
1997-11,113420,1728,0.015235408217245635
1997-12,105476,720,0.0068261974287989685
1998-01,96560,964,0.009983429991714995
1998-02,77936,2132,0.027355779100800656
1998-03,162720,1084,0.0066617502458210425
1998-04,160744,632,0.003931717513561937
1998-05,159668,2180,0.013653330661121827
1998-06,156032,2084,0.013356234618539787
1998-07,145556,1276,0.00876638544615131
1998-08,148136,948,0.006399524761030405
1998-09,141908,1048,0.007385066381035601
1998-10,166720,1232,0.007389635316698656
1998-11,144760,2520,0.017408123791102514
1998-12,125372,1988,0.01585681013304406
1999-01,137844,1408,0.010214445314993761
1999-02,143224,1196,0.008350555772775513
1999-03,161900,1464,0.0090426189005559
1999-04,157872,1744,0.011046924090402352
1999-05,136916,3092,0.022583189692950423
1999-06,139448,1316,0.009437209569158396
1999-07,138084,628,0.0045479563164450626
1999-08,115860,400,0.0034524426031417228
1999-09,114308,560,0.0048990446862861746
1999-10,122484,776,0.006335521374220306
1999-11,116176,968,0.008332185649359593
1999-12,101288,808,0.00797725298159703
2000-01,115008,512,0.004451864218141347
2000-02,121616,912,0.007499013287725299
2000-03,111492,884,0.007928820005022782
2000-04,102084,812,0.00795423376826927
2000-05,109624,616,0.005619207472816172
2000-06,105960,716,0.0067572668931672325
2000-07,107252,908,0.00846604259128035
2000-08,104148,264,0.0025348542458808617
2000-09,107112,844,0.007879602658899096
2000-10,120340,924,0.007678244972577696
2000-11,110620,888,0.008027481468088953
2000-12,15276,160,0.010473946059177796
2001-01,119716,472,0.0039426643055230715
2001-02,109940,736,0.0066945606694560665
2001-03,110956,556,0.005010995349507913
2001-04,85084,456,0.005359409524704997
2001-05,108524,684,0.006302753308024032
2001-06,121376,1036,0.008535460058001583
2001-07,125928,820,0.006511657455053681
2001-08,109988,976,0.008873695312215877
2001-09,129488,1672,0.012912393426417892
2001-10,145396,780,0.0053646592753583315
2001-11,119324,776,0.006503301934229493
2001-12,97128,700,0.007206984597644346
2002-01,107764,756,0.007015329794736647
2002-02,107756,652,0.006050707153197965
2002-03,106592,956,0.008968778144701291
2002-04,115920,656,0.005659075224292615
2002-05,106240,1076,0.010128012048192771
2002-06,100648,728,0.007233129321993482
2002-07,120568,724,0.006004910092230111
2002-08,98084,792,0.008074711471799683
2002-09,100016,1556,0.015557510798272276
2002-10,115872,1508,0.013014360673847003
2002-11,93548,1776,0.018984906144439217
2002-12,91096,3776,0.04145077720207254
2003-01,144664,5448,0.03765968036277166
2003-02,146928,5224,0.03555482957639116
2003-03,170000,4088,0.02404705882352941
2003-04,158372,2468,0.015583562750991337
2003-05,158980,1880,0.01182538684111209
2003-06,160848,1828,0.011364766736297622
2003-07,180980,1404,0.007757763288761189
2003-08,152116,1764,0.01159641326356202
2003-09,177704,1624,0.009138792598928556
2003-10,184828,2136,0.01155669054472266
2003-11,161668,1456,0.009006111289803796
2003-12,169972,1708,0.010048713905819783
2004-01,162992,1268,0.007779522921370374
2004-02,176236,2292,0.013005288363330989
2004-03,200812,1572,0.007828217437204948
2004-04,184316,1096,0.0059463095987326115
2004-05,166464,840,0.005046136101499423
2004-06,172344,1620,0.00939980504108063
2004-07,188120,1064,0.005655964278120349
2004-08,179184,672,0.003750334851326011
2004-09,168580,1908,0.011318068572784435
2004-10,185164,1424,0.007690479790888077
2004-11,174664,1704,0.009755874135482984
2004-12,165492,848,0.005124114760834361
2005-01,183420,728,0.003969032820848326
2005-02,182364,1984,0.010879340220657585
2005-03,208924,1452,0.006949895655836572
2005-04,206376,780,0.003779509245261077
2005-05,190180,1532,0.008055526343464087
2005-06,208620,1672,0.008014571948998178
2005-07,198460,1244,0.00626826564547012
2005-08,199236,2072,0.010399726956975648
2005-09,211736,2172,0.010258057203309781
2005-10,227716,1224,0.00537511637302605
2005-11,215604,1372,0.006363518302072318
2005-12,198668,892,0.004489902752330521
2006-01,221040,4456,0.020159247195077813
2006-02,217564,4072,0.018716331746060928
2006-03,247992,4248,0.017129584825316947
2006-04,219340,4976,0.02268624053980122
2006-05,250084,4532,0.018121911037891267
2006-06,248148,4564,0.018392249786417784
2006-07,239552,4612,0.01925260486240983
2006-08,254324,4600,0.01808716440446045
2006-09,221780,3492,0.015745333213094057
2006-10,269764,2728,0.010112542815201435
2006-11,260744,2208,0.008468075967232229
2006-12,213728,2080,0.009731995807755653
2007-01,244804,1580,0.006454142906161664
2007-02,247868,4120,0.016621750286442784
2007-03,267988,3692,0.013776736271773364
2007-04,261436,2792,0.01067947796018911
2007-05,278260,2412,0.008668152087975275
2007-06,261784,2252,0.00860251199462152
2007-07,267884,1696,0.006331098535186872
2007-08,270692,1196,0.004418305675823445
2007-09,238520,2040,0.008552741908435352
2007-10,309664,1988,0.006419861527332851
2007-11,278972,2024,0.007255208408012273
2007-12,219916,1348,0.006129613125011368
2008-01,296416,1516,0.005114433768757422
2008-02,285408,1688,0.005914340172665097
2008-03,289456,1304,0.004505002487424687
2008-04,311424,1528,0.004906494040279491
2008-05,292112,1648,0.00564167168757189
2008-06,287420,2760,0.00960267204787419
2008-07,331876,3660,0.011028215357543178
2008-08,285752,1968,0.006887090904000672
2008-09,361020,1672,0.0046313223644119435
